"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Olig2",1.81968097584205e-16,0.544655327737661,0.958,0.917,3.1544169716222e-12,"Olig2","OPC","P08","Up"
"Cd9",3.76138227072133e-12,0.789787398342388,0.769,0.598,6.52035616629543e-08,"Cd9","OPC","P08","Up"
"Col9a3",1.81413318043449e-10,0.854498534452631,0.674,0.535,3.1447998682832e-06,"Col9a3","OPC","P08","Up"
"Uty",3.99550590891900e-10,-1.02137475757231,0.223,0.421,6.92620949311108e-06,"Uty","OPC","P08","Down"
"Cntn6",1.84514375422067e-08,1.23922710248989,0.347,0.169,0.000319855669794154,"Cntn6","OPC","P08","Up"
"Fabp7",5.88594485825849e-08,-0.480677706241956,0.761,0.862,0.00102032854117911,"Fabp7","OPC","P08","Down"
"Slc27a1",7.87075397750155e-08,-0.813940660833206,0.284,0.469,0.00136439520199989,"Slc27a1","OPC","P08","Down"
"Kdm5d",8.85238478206792e-08,-0.931916436195324,0.206,0.37,0.00153456090197147,"Kdm5d","OPC","P08","Down"
"Vcan",2.35816187187011e-07,0.579664189537842,0.702,0.583,0.00408787360488684,"Vcan","OPC","P08","Up"
"Tspan7",3.04113261376253e-07,0.62225863349021,0.686,0.528,0.00527180338595734,"Tspan7","OPC","P08","Up"
"Tnr",3.85509900188126e-07,0.434641887128751,0.916,0.858,0.00668281411976116,"Tnr","OPC","P08","Up"
"Sdc3",4.94637617176056e-07,0.429968408551361,0.824,0.689,0.00857454309374693,"Sdc3","OPC","P08","Up"
"Ednrb",5.8569645239801e-07,0.46397576243399,0.846,0.78,0.0101530480023195,"Ednrb","OPC","P08","Up"
"Serpine2",1.01326287264115e-06,0.387850015783436,0.909,0.862,0.0175649118972344,"Serpine2","OPC","P08","Up"
"mt-Nd1",1.61399597425312e-06,1.00030916780497,0.394,0.24,0.0279786202136779,"mt-Nd1","OPC","P08","Up"
"Cd81",1.68361017948912e-06,0.479768356251823,0.761,0.724,0.0291853824614439,"Cd81","OPC","P08","Up"
"mt-Nd5",1.87897152680417e-06,1.3478491313916,0.272,0.134,0.0325719714171504,"mt-Nd5","OPC","P08","Up"
"Cadm4",2.16007896930542e-06,0.376892644886089,0.827,0.709,0.0374449689329095,"Cadm4","OPC","P08","Up"
