"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cux2",0,1.63237686177326,0.947,0.669,0,"0","Cux2"
"Ccbe1",0,2.4052150771487,0.949,0.692,0,"0","Ccbe1"
"Col14a1",0,1.77672439886512,0.835,0.596,0,"0","Col14a1"
"Dpyd",0,1.05259053507799,0.903,0.67,0,"0","Dpyd"
"Fn1",0,0.545024677482964,0.872,0.645,0,"0","Fn1"
"Crlf1",0,1.49505460109171,0.84,0.614,0,"0","Crlf1"
"Egflam",0,0.453707994629707,0.838,0.613,0,"0","Egflam"
"Pou3f2",0,1.47344484370621,0.854,0.63,0,"0","Pou3f2"
"Lhx2",0,1.30122264700203,0.934,0.713,0,"0","Lhx2"
"Pdyn",0,0.642886143586854,0.85,0.629,0,"0","Pdyn"
"Dipk2a",0,0.999901900994747,0.906,0.685,0,"0","Dipk2a"
"Slc4a5",0,0.675095038766952,0.762,0.542,0,"0","Slc4a5"
"Cpne8",0,1.88304368515938,0.985,0.767,0,"0","Cpne8"
"Pdzrn3",0,1.59910824215466,0.947,0.729,0,"0","Pdzrn3"
"Dnah10",0,1.13251720486519,0.725,0.508,0,"0","Dnah10"
"Flrt3",0,1.1539840728686,0.844,0.629,0,"0","Flrt3"
"Kcnv1",0,1.32235294718724,0.958,0.746,0,"0","Kcnv1"
"Npnt",0,1.82371225186386,0.922,0.712,0,"0","Npnt"
"Egr3",0,1.39938586934273,0.921,0.712,0,"0","Egr3"
"Prex1",0,1.38519392724196,0.925,0.716,0,"0","Prex1"
"Cpne4",0,1.02752521861886,0.87,0.662,0,"0","Cpne4"
"Cacng3",0,1.4772154720033,0.957,0.749,0,"0","Cacng3"
"Vwc2l",0,1.29174423730931,0.887,0.682,0,"0","Vwc2l"
"Prdm8",0,1.50579220352648,0.865,0.661,0,"0","Prdm8"
"Met",0,2.03930985118699,0.971,0.768,0,"0","Met"
"Gpc3",0,0.875961551124676,0.848,0.649,0,"0","Gpc3"
"Ptpru",0,1.12575988807433,0.961,0.762,0,"0","Ptpru"
"Kcnh5",0,0.649131681644111,0.875,0.678,0,"0","Kcnh5"
"Pou3f3",0,0.589099195325687,0.898,0.702,0,"0","Pou3f3"
