"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pdgfra",0,1.93052622383807,1,0.891,0,"0","Pdgfra"
"Pcdh15",0,1.6099934862342,1,0.979,0,"0","Pcdh15"
"Ptprz1",1.92827494971575e-302,1.55823405819482,1,0.998,3.8565498994315e-299,"0","Ptprz1"
"Epn2",2.12035093145731e-295,1.44619129062339,1,0.98,4.24070186291462e-292,"0","Epn2"
"Slc38a3",6.35058742016675e-284,2.15294770801865,0.994,0.717,1.27011748403335e-280,"0","Slc38a3"
"Myt1",2.33721982793482e-282,1.68298237571338,0.997,0.972,4.67443965586964e-279,"0","Myt1"
"Bcan",2.06978081675121e-277,1.33225319450038,1,0.997,4.13956163350242e-274,"0","Bcan"
"Cspg4",2.29222844930745e-277,1.76632715440464,0.999,0.897,4.5844568986149e-274,"0","Cspg4"
"Serpine2",2.98416710723837e-268,1.68647474333126,0.998,0.969,5.96833421447674e-265,"0","Serpine2"
"Emid1",2.10883821943068e-263,1.95171600114438,0.979,0.899,4.21767643886135e-260,"0","Emid1"
"Cspg5",1.00668096990679e-252,1.30686243320703,0.999,0.989,2.01336193981358e-249,"0","Cspg5"
"Matn4",9.28500720765878e-250,1.7592019494568,0.991,0.949,1.85700144153176e-246,"0","Matn4"
"Ednrb",1.50432122529583e-248,1.91446571849226,0.989,0.883,3.00864245059166e-245,"0","Ednrb"
"Calcrl",5.39064558020416e-244,2.03413907715595,0.983,0.843,1.07812911604083e-240,"0","Calcrl"
"Mmp15",3.59487757172219e-228,1.6407770824891,0.983,0.735,7.18975514344437e-225,"0","Mmp15"
"Xylt1",5.66882408793057e-228,1.52014329780269,0.988,0.923,1.13376481758611e-224,"0","Xylt1"
"Caskin2",2.43946628886464e-225,1.93472716073264,0.96,0.755,4.87893257772928e-222,"0","Caskin2"
"Zfp36l1",2.08857136478328e-215,1.93824363884175,0.976,0.829,4.17714272956656e-212,"0","Zfp36l1"
"Bmp7",2.18660611529116e-215,2.15027397400491,0.951,0.62,4.37321223058231e-212,"0","Bmp7"
"Lhfpl3",6.91660417718422e-214,1.54454462448395,0.981,0.886,1.38332083543684e-210,"0","Lhfpl3"
"Gpr37l1",4.51421152238252e-210,1.48782370195376,0.992,0.662,9.02842304476504e-207,"0","Gpr37l1"
"Gpc5",3.16715160504773e-209,1.64379623728292,0.97,0.749,6.33430321009546e-206,"0","Gpc5"
"Tril",9.04357959474413e-206,1.99808325859296,0.967,0.773,1.80871591894883e-202,"0","Tril"
"Mfsd2a",2.34756483892585e-205,1.93000456250884,0.95,0.727,4.69512967785171e-202,"0","Mfsd2a"
"Rgcc",1.09072282073117e-202,1.79876862807649,0.958,0.914,2.18144564146233e-199,"0","Rgcc"
"Npas1",6.552590697614e-193,2.01997284488765,0.931,0.786,1.3105181395228e-189,"0","Npas1"
"Apbb1ip",3.14505601214684e-192,2.12326276909071,0.895,0.409,6.29011202429369e-189,"0","Apbb1ip"
"Mtss2",8.59724006693678e-186,1.12114912472224,0.997,0.944,1.71944801338736e-182,"0","Mtss2"
"Sulf2",7.6689985495101e-184,1.23560387045338,0.997,0.844,1.53379970990202e-180,"0","Sulf2"
"Adamts9",1.10657573678773e-179,1.7156666208759,0.924,0.851,2.21315147357547e-176,"0","Adamts9"
"Zeb1",6.81292284482952e-179,1.77586549595324,0.944,0.703,1.3625845689659e-175,"0","Zeb1"
"Fabp7",1.39983525828275e-178,1.56385379130682,0.954,0.915,2.7996705165655e-175,"0","Fabp7"
"Pid1",7.86126645520996e-178,1.38478686101667,0.981,0.842,1.57225329104199e-174,"0","Pid1"
"Cdca7",6.36566576777594e-176,1.11083775492087,0.905,0.626,1.27313315355519e-172,"0","Cdca7"
"Nova1",6.18068846845977e-174,1.54905678715326,0.983,0.634,1.23613769369195e-170,"0","Nova1"
"Gpr17",1.59848591332152e-173,0.784279975644424,0.999,0.905,3.19697182664304e-170,"0","Gpr17"
"Acsbg1",1.32882941838789e-172,1.69420211229758,0.866,0.439,2.65765883677577e-169,"0","Acsbg1"
"Neil3",2.8628513173615e-172,0.826545118350074,0.871,0.635,5.72570263472301e-169,"0","Neil3"
"Slc7a10",6.33246926718697e-172,2.19633320322684,0.878,0.6,1.26649385343739e-168,"0","Slc7a10"
"Pcdh11x",9.43942687397294e-171,1.52879947710468,0.962,0.638,1.88788537479459e-167,"0","Pcdh11x"
"Gria2",1.50406105988192e-168,0.903496543617246,1,0.988,3.00812211976383e-165,"0","Gria2"
"Plppr5",2.44437966644574e-168,1.29314904242276,0.992,0.973,4.88875933289148e-165,"0","Plppr5"
"C1ql1",3.39720353691088e-168,1.45048107929451,0.959,0.821,6.79440707382176e-165,"0","C1ql1"
"Luzp2",1.56266345335324e-166,1.51514040690593,0.98,0.832,3.12532690670649e-163,"0","Luzp2"
"Qpct",3.8296052226796e-166,1.76756426265826,0.956,0.716,7.6592104453592e-163,"0","Qpct"
"Itgav",1.46175177031669e-164,1.7429406714941,0.967,0.622,2.92350354063339e-161,"0","Itgav"
"Spry4",3.13678039229588e-163,1.87138997659365,0.919,0.496,6.27356078459176e-160,"0","Spry4"
"Cntn1",1.67538216528629e-162,0.887425949720443,0.999,0.996,3.35076433057258e-159,"0","Cntn1"
"Hbb-bs",2.62847685495502e-162,1.32040572041344,0.837,0.512,5.25695370991003e-159,"0","Hbb-bs"
"Vcan",8.85114602421748e-162,1.34437633088637,0.968,0.915,1.7702292048435e-158,"0","Vcan"
"Has2",4.29760332166706e-160,2.22695191789341,0.838,0.379,8.59520664333413e-157,"0","Has2"
"Lrrtm4",5.62823458130199e-160,1.13368762362793,1,0.873,1.1256469162604e-156,"0","Lrrtm4"
"Ntrk3",1.87060847270858e-158,0.975357293807845,1,0.947,3.74121694541717e-155,"0","Ntrk3"
"Gm2a",2.0606950377955e-157,1.69663206216994,0.944,0.655,4.12139007559099e-154,"0","Gm2a"
"Atp1a2",3.78034063527936e-155,1.27709246507268,0.97,0.901,7.56068127055872e-152,"0","Atp1a2"
"Foxj1",4.14368341970034e-154,1.60231049612435,0.914,0.392,8.28736683940068e-151,"0","Foxj1"
"Cacng4",1.69911204573662e-151,1.70504856829945,0.924,0.903,3.39822409147324e-148,"0","Cacng4"
"Plppr1",3.73922573594368e-151,1.30681129073389,0.987,0.869,7.47845147188736e-148,"0","Plppr1"
"Spry1",2.77514197156382e-148,1.69135820718161,0.906,0.83,5.55028394312764e-145,"0","Spry1"
"Gria3",2.70046871339909e-147,1.07510225533342,0.999,0.933,5.40093742679819e-144,"0","Gria3"
"Megf11",1.26618666221865e-146,1.71584213337689,0.921,0.908,2.53237332443731e-143,"0","Megf11"
"Jun",5.81455693353954e-145,1.77089502213619,0.918,0.48,1.16291138670791e-141,"0","Jun"
"Pcsk5",9.28686723349959e-145,1.216647190313,0.897,0.507,1.85737344669992e-141,"0","Pcsk5"
