"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slc38a3",0,2.0240912626134,0.992,0.732,0,"0","Slc38a3"
"Mmp15",0,1.89635209852473,0.983,0.728,0,"0","Mmp15"
"Calcrl",0,2.15481066053198,0.983,0.828,0,"0","Calcrl"
"Cspg4",0,1.93151261562808,0.998,0.882,0,"0","Cspg4"
"Pdgfra",0,2.01586040335643,1,0.887,0,"0","Pdgfra"
"Emid1",0,1.94030524056524,0.971,0.9,0,"0","Emid1"
"Matn4",0,1.7874721785452,0.987,0.943,0,"0","Matn4"
"Serpine2",0,1.73530632743003,0.997,0.965,0,"0","Serpine2"
"Myt1",0,1.75921499887235,0.997,0.965,0,"0","Myt1"
"Pcdh15",0,1.72820428116384,1,0.972,0,"0","Pcdh15"
"Epn2",0,1.47750282766656,1,0.979,0,"0","Epn2"
"Cspg5",0,1.4247004077803,0.999,0.987,0,"0","Cspg5"
"Bcan",0,1.23725649244245,1,0.996,0,"0","Bcan"
"Ptprz1",0,1.46258190396123,1,0.996,0,"0","Ptprz1"
"Ednrb",4.49276872736027e-285,1.79144163874289,0.988,0.887,8.98553745472054e-282,"0","Ednrb"
"Xylt1",9.55767090569464e-283,1.58256075659556,0.985,0.915,1.91153418113893e-279,"0","Xylt1"
"Lhfpl3",1.96682632449135e-281,1.64382774970607,0.982,0.88,3.93365264898271e-278,"0","Lhfpl3"
"Gpc5",4.46042107168832e-267,1.72474587267437,0.972,0.76,8.92084214337665e-264,"0","Gpc5"
"Caskin2",5.96838019622759e-266,1.88670898539877,0.953,0.757,1.19367603924552e-262,"0","Caskin2"
"Zfp36l1",3.11102943696494e-260,2.036148810609,0.966,0.821,6.22205887392988e-257,"0","Zfp36l1"
"Gpr37l1",2.10984464607233e-255,1.46222506683409,0.988,0.686,4.21968929214466e-252,"0","Gpr37l1"
"Npas1",1.32153409733883e-248,2.04530169716751,0.935,0.785,2.64306819467766e-245,"0","Npas1"
"Mfsd2a",1.57052101651115e-244,1.95470884658723,0.942,0.723,3.1410420330223e-241,"0","Mfsd2a"
"Sulf2",1.57090347787124e-243,1.30736414422156,0.997,0.851,3.14180695574247e-240,"0","Sulf2"
"Mtss2",5.19077214080402e-241,1.16522877318378,0.994,0.945,1.0381544281608e-237,"0","Mtss2"
"Bmp7",1.05005857934866e-236,2.03362551776054,0.938,0.632,2.10011715869731e-233,"0","Bmp7"
"Tril",9.2971039520468e-232,1.93389960681936,0.967,0.785,1.85942079040936e-228,"0","Tril"
"Plppr5",2.18374520022052e-231,1.37518968170729,0.991,0.962,4.36749040044104e-228,"0","Plppr5"
"Cntn1",4.18995202554986e-231,0.99919190697689,0.999,0.992,8.37990405109972e-228,"0","Cntn1"
"Gria2",8.71534128265429e-229,0.948965194104041,1,0.989,1.74306825653086e-225,"0","Gria2"
"Pid1",1.0692618758517e-228,1.44079408305305,0.98,0.843,2.13852375170341e-225,"0","Pid1"
"Apbb1ip",1.11952956102145e-227,1.4538170822912,0.888,0.414,2.23905912204291e-224,"0","Apbb1ip"
"Adamts9",2.98470570842271e-226,1.76175244761617,0.923,0.836,5.96941141684541e-223,"0","Adamts9"
"Gria3",6.82020132166242e-220,1.233090897327,0.999,0.929,1.36404026433248e-216,"0","Gria3"
"Rgcc",1.15159541243236e-215,1.70503844020416,0.944,0.911,2.30319082486472e-212,"0","Rgcc"
"Ntrk3",1.22144252221229e-214,1.0507340703253,1,0.949,2.44288504442458e-211,"0","Ntrk3"
"Pcdh11x",9.10385241936983e-212,1.59442969426477,0.966,0.658,1.82077048387397e-208,"0","Pcdh11x"
"Nova1",6.3346841358674e-210,1.57201093153572,0.98,0.646,1.26693682717348e-206,"0","Nova1"
"Cped1",1.38394726061455e-206,1.30866518122228,0.834,0.32,2.76789452122911e-203,"0","Cped1"
"Lrrtm4",5.15612114887846e-206,1.16684470457326,1,0.876,1.03122422977569e-202,"0","Lrrtm4"
"Zeb1",2.39487175748918e-203,1.72041211657109,0.933,0.714,4.78974351497835e-200,"0","Zeb1"
"Gm2a",6.83524805171734e-203,1.76093047504474,0.944,0.664,1.36704961034347e-199,"0","Gm2a"
"Has2",7.27419707682079e-200,2.06717807232507,0.838,0.37,1.45483941536416e-196,"0","Has2"
"C1ql1",1.76643418650371e-197,1.45064010533185,0.952,0.829,3.53286837300741e-194,"0","C1ql1"
"Col19a1",2.59749058922053e-196,1.91650744453236,0.872,0.601,5.19498117844105e-193,"0","Col19a1"
"Spry1",4.8760910876937e-195,1.83057272704104,0.909,0.803,9.75218217538739e-192,"0","Spry1"
"Itgav",1.51674420076835e-194,1.79515226069082,0.96,0.637,3.0334884015367e-191,"0","Itgav"
"Plppr1",3.26172187769617e-194,1.34562357698829,0.99,0.872,6.52344375539234e-191,"0","Plppr1"
"Grin2d",6.90318692393579e-191,1.15755954426724,0.994,0.803,1.38063738478716e-187,"0","Grin2d"
"Vcan",2.54906237010654e-190,1.39308601158203,0.959,0.918,5.09812474021308e-187,"0","Vcan"
"Ptprn",5.35397313644389e-189,1.13414064974285,0.999,0.947,1.07079462728878e-185,"0","Ptprn"
"Gpr17",7.53774958578713e-189,0.707568497125306,0.999,0.907,1.50754991715743e-185,"0","Gpr17"
"Spry4",1.55606375294772e-187,1.83640345396428,0.902,0.508,3.11212750589544e-184,"0","Spry4"
"Fabp7",5.87774955866859e-187,1.35477242175996,0.955,0.922,1.17554991173372e-183,"0","Fabp7"
"Cdca7",3.95610169906277e-186,0.540684771299792,0.901,0.62,7.91220339812554e-183,"0","Cdca7"
"Cacng4",1.14221403336026e-185,1.79965889094225,0.909,0.889,2.28442806672053e-182,"0","Cacng4"
"Foxj1",1.9920914425704e-185,0.603380890743489,0.902,0.399,3.98418288514079e-182,"0","Foxj1"
"Luzp2",6.58995987885708e-185,1.43555311816266,0.975,0.837,1.31799197577142e-181,"0","Luzp2"
"Qpct",1.82064410707978e-183,1.74344281282575,0.946,0.709,3.64128821415955e-180,"0","Qpct"
"Traf4",2.98441424589372e-183,1.54109878355036,0.953,0.909,5.96882849178743e-180,"0","Traf4"
"Abhd2",1.19687653856631e-182,1.15153791448645,0.979,0.818,2.39375307713262e-179,"0","Abhd2"
"Vwc2",1.80718296341993e-177,1.71238507675556,0.878,0.641,3.61436592683986e-174,"0","Vwc2"
"Kcnd2",8.08427684615064e-177,1.33546994000508,0.975,0.895,1.61685536923013e-173,"0","Kcnd2"
"Zfp462",3.64173690134275e-176,1.44000523761478,0.946,0.813,7.2834738026855e-173,"0","Zfp462"
"Spon1",7.15711031740153e-175,1.40439248942294,0.945,0.877,1.43142206348031e-171,"0","Spon1"
"Ncald",7.38832248120593e-175,1.38392837732343,0.943,0.734,1.47766449624119e-171,"0","Ncald"
"Pcsk5",7.33383649050239e-174,1.25816839549198,0.884,0.512,1.46676729810048e-170,"0","Pcsk5"
"Hbb-bs",3.74980389969272e-171,1.04841323087051,0.831,0.511,7.49960779938543e-168,"0","Hbb-bs"
"Gpm6a",1.05092302682909e-170,0.796346285685407,1,0.992,2.10184605365818e-167,"0","Gpm6a"
"Slc6a1",3.77390510052762e-170,0.972571342221701,0.999,0.912,7.54781020105524e-167,"0","Slc6a1"
"Fchsd2",1.10084169191661e-166,1.02123855478926,0.98,0.887,2.20168338383322e-163,"0","Fchsd2"
"Megf11",2.11609279900508e-166,1.7665577030811,0.897,0.897,4.23218559801015e-163,"0","Megf11"
"Dner",5.17268110246322e-164,1.13506347207638,0.998,0.951,1.03453622049264e-160,"0","Dner"
"Ttyh1",4.06659220464364e-162,0.959866509624218,1,0.9,8.13318440928727e-159,"0","Ttyh1"
"Tanc1",5.46133961733815e-162,1.99656889760703,0.865,0.472,1.09226792346763e-158,"0","Tanc1"
"Crhbp",6.19502223400372e-160,0.322283571612052,0.809,0.432,1.23900444680074e-156,"0","Crhbp"
"Prkcb",3.46367851033902e-159,0.973815958502486,1,0.922,6.92735702067805e-156,"0","Prkcb"
"Atp1a2",7.83906982269554e-159,0.956683060281455,0.973,0.902,1.56781396453911e-155,"0","Atp1a2"
"Olig2",4.23595975453237e-154,0.922826921489921,0.998,0.912,8.47191950906474e-151,"0","Olig2"
"Jun",2.21524731002999e-153,1.61101191416699,0.906,0.488,4.43049462005999e-150,"0","Jun"
"Zcchc24",6.07143893580199e-153,1.31490659716259,0.925,0.74,1.2142877871604e-149,"0","Zcchc24"
"Tnr",4.27810068201444e-151,0.749303647218039,0.993,0.983,8.55620136402887e-148,"0","Tnr"
"Chadl",2.39501242271362e-150,1.43658351185944,0.929,0.831,4.79002484542725e-147,"0","Chadl"
"Col9a2",7.72430459820905e-150,1.46047965573494,0.934,0.789,1.54486091964181e-146,"0","Col9a2"
"Etv1",2.08430771872191e-149,1.47544227595483,0.859,0.448,4.16861543744383e-146,"0","Etv1"
"Arsb",4.33518786512346e-149,1.39855842635944,0.941,0.732,8.67037573024692e-146,"0","Arsb"
"Slc7a10",1.56483713092288e-148,1.37759187909238,0.872,0.642,3.12967426184577e-145,"0","Slc7a10"
"Lrp1b",2.75822574273658e-148,0.6781273427899,1,0.992,5.51645148547316e-145,"0","Lrp1b"
"Iqgap2",4.42388575749475e-148,1.37093619162893,0.875,0.568,8.8477715149895e-145,"0","Iqgap2"
"Slitrk2",2.93926835524661e-147,1.43418001525674,0.9,0.692,5.87853671049322e-144,"0","Slitrk2"
"Cfap54",1.34733975341242e-146,1.29787378042399,0.796,0.369,2.69467950682484e-143,"0","Cfap54"
"Vxn",1.14481432740812e-145,1.31908088261271,0.919,0.771,2.28962865481625e-142,"0","Vxn"
"Col26a1",1.40324240637158e-145,1.54218918052761,0.872,0.524,2.80648481274316e-142,"0","Col26a1"
"Tafa2",9.13622902212729e-144,1.18442121164361,0.915,0.777,1.82724580442546e-140,"0","Tafa2"
"Smoc1",2.91752794129715e-138,1.42134784530599,0.879,0.675,5.83505588259431e-135,"0","Smoc1"
"Tmem132d",7.56503500843612e-138,1.64983502808193,0.87,0.69,1.51300700168722e-134,"0","Tmem132d"
"Grin3a",3.94344319789201e-137,1.36934818196158,0.924,0.769,7.88688639578402e-134,"0","Grin3a"
"Acot1",1.63653311172654e-135,0.761928595124018,0.852,0.469,3.27306622345308e-132,"0","Acot1"
"Pcdhgc3",1.07473157831728e-131,1.09370276518935,0.967,0.925,2.14946315663456e-128,"0","Pcdhgc3"
"Adgrb1",2.11715098391154e-131,0.653047641706613,0.997,0.986,4.23430196782309e-128,"0","Adgrb1"
"Ntrk2",2.26772154999555e-131,0.814179884230912,0.999,0.965,4.5354430999911e-128,"0","Ntrk2"
"Cp",1.05737650882998e-130,2.03732969018472,0.776,0.559,2.11475301765997e-127,"0","Cp"
"Cfap46",2.00853705018811e-125,1.06774536546812,0.761,0.417,4.01707410037621e-122,"0","Cfap46"
"Nat8f5",7.52473711200272e-124,0.792247311629471,0.792,0.578,1.50494742240054e-120,"0","Nat8f5"
"Nxph1",1.16359214717492e-123,1.72573738522871,0.856,0.724,2.32718429434983e-120,"0","Nxph1"
"Sstr1",1.23688999677646e-123,1.61813991479134,0.881,0.84,2.47377999355291e-120,"0","Sstr1"
"Htr3a",3.87167354064628e-123,0.511706059480364,0.838,0.501,7.74334708129257e-120,"0","Htr3a"
"Disp3",1.5085288466267e-121,1.70277834179116,0.837,0.551,3.0170576932534e-118,"0","Disp3"
"Brinp1",8.85066377273982e-121,0.849182357749698,0.981,0.837,1.77013275454796e-117,"0","Brinp1"
"Fat4",2.25092995379094e-119,1.48736922546294,0.88,0.762,4.50185990758187e-116,"0","Fat4"
"Entpd1",1.13693737337353e-118,1.51883884093429,0.816,0.573,2.27387474674706e-115,"0","Entpd1"
"Phka1",1.72382258479817e-118,1.45501711854353,0.902,0.571,3.44764516959633e-115,"0","Phka1"
"Ntn1",2.09694809179665e-118,1.56731854674041,0.834,0.553,4.19389618359331e-115,"0","Ntn1"
"Cttnbp2",2.30340132957941e-118,0.753777735735101,0.998,0.95,4.60680265915881e-115,"0","Cttnbp2"
"Plpp4",4.77431757675654e-118,1.62324976295763,0.854,0.793,9.54863515351307e-115,"0","Plpp4"
"Alcam",1.41018997919694e-117,0.961447896846701,0.996,0.9,2.82037995839388e-114,"0","Alcam"
"Tmem176b",1.44024679759913e-117,1.73265101132919,0.858,0.839,2.88049359519826e-114,"0","Tmem176b"
"Adam12",3.65195860654379e-117,1.48464979253144,0.855,0.529,7.30391721308759e-114,"0","Adam12"
"Etv5",5.13729675945374e-117,1.70080624689317,0.815,0.545,1.02745935189075e-113,"0","Etv5"
"Cacna1h",7.26588329506086e-117,0.858120112610646,0.976,0.789,1.45317665901217e-113,"0","Cacna1h"
"Mmp16",2.24421553290495e-116,1.10855041511005,0.939,0.759,4.4884310658099e-113,"0","Mmp16"
"Nefm",5.90324020196658e-116,0.547428993060002,0.797,0.433,1.18064804039332e-112,"0","Nefm"
"Whrn",6.09207183185545e-116,0.979773974516453,0.845,0.453,1.21841436637109e-112,"0","Whrn"
"Etv4",2.6407518645977e-114,1.59793213863724,0.833,0.742,5.2815037291954e-111,"0","Etv4"
"Svil",8.23272385261332e-114,1.60826517897334,0.894,0.749,1.64654477052266e-110,"0","Svil"
"Astn2",3.1335888862496e-113,0.856870921674488,0.96,0.866,6.2671777724992e-110,"0","Astn2"
"Vat1l",4.17269650580455e-112,1.44958128176869,0.878,0.664,8.34539301160909e-109,"0","Vat1l"
"Cxcl14",7.84050693474442e-112,1.19154968247796,0.847,0.675,1.56810138694888e-108,"0","Cxcl14"
"Sema3d",5.37145967020333e-111,1.71574986717271,0.8,0.522,1.07429193404067e-107,"0","Sema3d"
"Slc9a2",5.41842783090247e-110,0.735780053419541,0.831,0.481,1.08368556618049e-106,"0","Slc9a2"
"Nell2",2.13878625307276e-109,0.634135665136671,0.996,0.954,4.27757250614551e-106,"0","Nell2"
"C1ql2",2.74512468718379e-109,1.70443890386596,0.733,0.585,5.49024937436758e-106,"0","C1ql2"
"Igfbp4",1.95817301336059e-108,1.19901206948147,0.834,0.571,3.91634602672118e-105,"0","Igfbp4"
"Resp18",2.00098696118619e-108,1.19754808720445,0.81,0.47,4.00197392237239e-105,"0","Resp18"
"Rgs22",2.12872611728926e-108,1.03011109620736,0.754,0.479,4.25745223457852e-105,"0","Rgs22"
"Itga9",4.50907191400155e-108,1.75931866791887,0.821,0.605,9.01814382800309e-105,"0","Itga9"
"Pstpip2",5.01986444153827e-108,1.65934029118909,0.872,0.633,1.00397288830765e-104,"0","Pstpip2"
"Ackr1",5.23166993193484e-108,0.642492903928665,0.998,0.905,1.04633398638697e-104,"0","Ackr1"
"Tmem145",1.52312571328259e-107,0.792833874160923,1,0.877,3.04625142656519e-104,"0","Tmem145"
"Nhsl1",2.36855095457983e-107,1.53847910929626,0.842,0.696,4.73710190915966e-104,"0","Nhsl1"
"Sulf1",3.527697355908e-107,2.12556049964719,0.731,0.389,7.055394711816e-104,"0","Sulf1"
"Abhd3",2.72496067959495e-105,1.66041545060566,0.764,0.373,5.44992135918989e-102,"0","Abhd3"
"Evc2",8.45009655830613e-105,1.46163424564593,0.781,0.465,1.69001931166123e-101,"0","Evc2"
"Ncan",9.84083994791533e-105,0.961785350825643,0.957,0.919,1.96816798958307e-101,"0","Ncan"
"Zfp36l2",1.29240891005045e-104,1.59838551553935,0.834,0.693,2.58481782010089e-101,"0","Zfp36l2"
"Ace",2.06242643170037e-104,1.06688341199636,0.83,0.77,4.12485286340075e-101,"0","Ace"
"ENSMUSG00000121513",4.16527369765487e-104,1.45780359299668,0.855,0.688,8.33054739530973e-101,"0","ENSMUSG00000121513"
"Nkx2-2",5.13062643926343e-104,0.515384473900564,0.951,0.597,1.02612528785269e-100,"0","Nkx2-2"
"Stk17b",1.42922033081147e-103,0.385559972160185,0.838,0.519,2.85844066162295e-100,"0","Stk17b"
"Spry2",1.42109978197944e-102,1.37649429279397,0.855,0.612,2.84219956395887e-99,"0","Spry2"
"Ddhd1",3.16506307026627e-102,0.825001234930614,0.969,0.953,6.33012614053254e-99,"0","Ddhd1"
"Pcdh8",5.24002023147638e-102,1.07364051403803,0.861,0.612,1.04800404629528e-98,"0","Pcdh8"
"Fgfrl1",5.97226696437514e-102,1.43930394691233,0.864,0.63,1.19445339287503e-98,"0","Fgfrl1"
"Snap25",1.00566412918948e-101,0.691721908440717,1,0.95,2.01132825837896e-98,"0","Snap25"
"Lpcat2",5.14932060807002e-101,1.53388630956841,0.863,0.679,1.029864121614e-97,"0","Lpcat2"
"Slitrk1",1.26945491388529e-99,1.05623260883429,0.979,0.825,2.53890982777058e-96,"0","Slitrk1"
"Kctd8",3.17466712413604e-98,0.560985172629624,0.805,0.524,6.34933424827209e-95,"0","Kctd8"
"Myo16",8.13536194990081e-96,0.982571750862089,0.957,0.908,1.62707238998016e-92,"0","Myo16"
"Zfp57",1.47138030733957e-95,0.901882943191187,0.997,0.974,2.94276061467914e-92,"0","Zfp57"
"S100a1",6.52645998244054e-95,1.413623417871,0.869,0.715,1.30529199648811e-91,"0","S100a1"
"Car8",1.04102469391817e-93,1.1799364651916,0.865,0.824,2.08204938783635e-90,"0","Car8"
"Sall3",4.26155634895319e-93,1.23798965377829,0.837,0.681,8.52311269790638e-90,"0","Sall3"
"Itgb8",4.51173013475014e-93,1.08716367632172,0.905,0.771,9.02346026950029e-90,"0","Itgb8"
"Hes1",1.09807392744106e-92,1.55505164475872,0.797,0.574,2.19614785488211e-89,"0","Hes1"
"Hepacam",1.10405895838504e-92,1.39937324351919,0.862,0.687,2.20811791677008e-89,"0","Hepacam"
"Boc",2.03057647631447e-92,0.982948506710706,0.798,0.526,4.06115295262894e-89,"0","Boc"
"Ano1",1.00435924573436e-91,0.705910274354689,0.756,0.485,2.00871849146871e-88,"0","Ano1"
"Cst3",2.73921610800039e-91,0.645767825548871,0.997,0.933,5.47843221600078e-88,"0","Cst3"
"Cntn6",1.2323321041659e-90,1.09151567846355,0.94,0.917,2.4646642083318e-87,"0","Cntn6"
"Scube1",1.8933318942117e-89,0.994582968869525,0.73,0.472,3.78666378842339e-86,"0","Scube1"
"S1pr1",1.12989240706245e-88,0.853731778994311,0.807,0.591,2.2597848141249e-85,"0","S1pr1"
"Moxd1",2.05778440457254e-88,1.37499637043287,0.746,0.533,4.11556880914508e-85,"0","Moxd1"
"Gpnmb",5.83631287836082e-88,1.22419400048127,0.747,0.709,1.16726257567216e-84,"0","Gpnmb"
"Kank1",6.01601566556951e-88,0.761064946366632,0.944,0.826,1.2032031331139e-84,"0","Kank1"
"Timp4",2.23203542771841e-87,1.02942332919548,0.86,0.774,4.46407085543682e-84,"0","Timp4"
"Myb",3.14934197929884e-87,0.942825146189509,0.766,0.605,6.29868395859767e-84,"0","Myb"
"Zmat4",5.49657086510596e-87,0.543526717543804,0.735,0.35,1.09931417302119e-83,"0","Zmat4"
"Rgs9",2.20661430604576e-86,0.856969582544317,0.872,0.571,4.41322861209152e-83,"0","Rgs9"
"Adamts10",2.42281102709112e-86,1.02007972336922,0.951,0.899,4.84562205418224e-83,"0","Adamts10"
"Map3k1",3.75521441005992e-86,1.33220651201888,0.847,0.844,7.51042882011985e-83,"0","Map3k1"
"Ptpre",2.18299725171804e-85,1.10809861615391,0.918,0.85,4.36599450343608e-82,"0","Ptpre"
"Slc4a10",2.69550173209843e-85,0.640146344715198,0.998,0.875,5.39100346419686e-82,"0","Slc4a10"
"Opcml",2.77594704234038e-85,0.634883302261744,0.997,0.968,5.55189408468077e-82,"0","Opcml"
"Cyp2j6",5.24733146627763e-84,0.957465297240489,0.88,0.658,1.04946629325553e-80,"0","Cyp2j6"
"Hap1",9.52890163483942e-84,1.29500255332302,0.86,0.836,1.90578032696788e-80,"0","Hap1"
"Elfn1",9.62067589454968e-83,1.56484221312135,0.781,0.695,1.92413517890994e-79,"0","Elfn1"
"Adcy8",3.69395398630615e-82,0.881231886550439,0.817,0.526,7.38790797261229e-79,"0","Adcy8"
"Mro",2.26822223805422e-81,1.78771927300711,0.779,0.643,4.53644447610845e-78,"0","Mro"
"Pmp22",3.19540278106437e-81,1.17585676661141,0.866,0.669,6.39080556212874e-78,"0","Pmp22"
"Serinc2",4.09823372577555e-81,1.26054689054231,0.773,0.672,8.1964674515511e-78,"0","Serinc2"
"Notch1",4.93271612375246e-80,1.18518160652322,0.798,0.549,9.86543224750492e-77,"0","Notch1"
"Nfia",7.36317428709083e-80,0.98576957500955,0.912,0.64,1.47263485741817e-76,"0","Nfia"
"Tmem255b",1.34763195466329e-79,1.10981216688185,0.831,0.817,2.69526390932658e-76,"0","Tmem255b"
"Nectin3",3.39707578550453e-79,0.791324945853691,0.984,0.709,6.79415157100906e-76,"0","Nectin3"
"Dscaml1",4.29119193352747e-79,0.982082842506346,0.912,0.704,8.58238386705494e-76,"0","Dscaml1"
"Sorcs3",7.39645203751672e-79,1.39531371313265,0.804,0.57,1.47929040750334e-75,"0","Sorcs3"
"Itm2c",3.11052994943175e-78,0.813125092947858,0.997,0.938,6.22105989886351e-75,"0","Itm2c"
"Dpyd",4.5120078314683e-78,1.35838101351889,0.809,0.621,9.0240156629366e-75,"0","Dpyd"
"Gria4",4.84484551238332e-77,0.590334288141235,0.999,0.949,9.68969102476664e-74,"0","Gria4"
"Fstl5",9.68641590955816e-77,1.38006840788786,0.786,0.571,1.93728318191163e-73,"0","Fstl5"
"Ptprs",1.62207712214439e-76,0.419657629780936,1,0.999,3.24415424428878e-73,"0","Ptprs"
"Ptn",2.5360528246376e-76,0.529491179977662,0.998,0.992,5.07210564927521e-73,"0","Ptn"
"Dach1",4.9873525613981e-76,0.931868778737123,0.747,0.429,9.97470512279621e-73,"0","Dach1"
"Plekhh2",1.13841358151906e-75,0.65871157957093,0.791,0.476,2.27682716303813e-72,"0","Plekhh2"
"Cpe",1.29183508891487e-75,0.50989379076126,0.997,0.959,2.58367017782974e-72,"0","Cpe"
"Peli2",7.00934332763741e-75,1.32494379657525,0.789,0.591,1.40186866552748e-71,"0","Peli2"
"Ankrd6",1.37526673071579e-74,1.70133805076224,0.768,0.612,2.75053346143158e-71,"0","Ankrd6"
"Adamtsl2",1.48494145140047e-73,0.641564637190971,0.731,0.353,2.96988290280093e-70,"0","Adamtsl2"
"Itpkb",1.99550975493715e-73,1.30038981800682,0.806,0.689,3.9910195098743e-70,"0","Itpkb"
"Man2b1",6.29155320419011e-72,0.913299751968944,0.838,0.509,1.25831064083802e-68,"0","Man2b1"
"Plxna4",3.33340945070223e-71,0.706155183980151,0.997,0.884,6.66681890140446e-68,"0","Plxna4"
"Chl1",3.36659292271878e-71,0.825240286653363,0.98,0.96,6.73318584543757e-68,"0","Chl1"
"Epb41",3.63104470746587e-71,1.15654896062146,0.838,0.734,7.26208941493174e-68,"0","Epb41"
"Bcam",9.11174969257338e-71,0.93978813905911,0.735,0.519,1.82234993851468e-67,"0","Bcam"
"F3",1.07033217122111e-70,1.47333170156822,0.8,0.763,2.14066434244222e-67,"0","F3"
"Epha6",3.90789175699175e-70,0.45934294138169,0.991,0.742,7.81578351398351e-67,"0","Epha6"
"Sptbn2",2.91345141399861e-69,0.423598655220834,0.998,0.913,5.82690282799722e-66,"0","Sptbn2"
"Olfm1",6.15274494091753e-69,0.544136495252642,0.999,0.929,1.23054898818351e-65,"0","Olfm1"
"Tsc22d1",2.25093932782837e-68,0.876805893687109,0.98,0.828,4.50187865565675e-65,"0","Tsc22d1"
"Edil3",9.3160941974106e-68,0.83759681811958,0.984,0.86,1.86321883948212e-64,"0","Edil3"
"Meis1",9.53936928469536e-68,0.84262365738313,0.916,0.618,1.90787385693907e-64,"0","Meis1"
"Pcdh10",1.37642717807064e-67,0.915843989326015,0.967,0.775,2.75285435614127e-64,"0","Pcdh10"
"Lpp",5.00895269736191e-66,1.35569394071893,0.77,0.502,1.00179053947238e-62,"0","Lpp"
"Fat1",1.51694635665605e-65,1.00944211326549,0.889,0.669,3.03389271331211e-62,"0","Fat1"
