"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pdgfra",0,1.96340522524661,1,0.89,0,"0","Pdgfra"
"Pcdh15",0,1.64115232880936,1,0.978,0,"0","Pcdh15"
"Epn2",0,1.46196316406245,1,0.98,0,"0","Epn2"
"Ptprz1",0,1.58971655224569,1,0.998,0,"0","Ptprz1"
"Slc38a3",2.95107746340553e-301,2.20521663371195,0.993,0.715,5.90215492681106e-298,"0","Slc38a3"
"Myt1",9.94391840885038e-299,1.70576593598848,0.997,0.972,1.98878368177008e-295,"0","Myt1"
"Cspg4",4.16353068737315e-294,1.80270984415679,0.999,0.896,8.32706137474631e-291,"0","Cspg4"
"Bcan",2.52278875909999e-292,1.34602705826891,1,0.997,5.04557751819998e-289,"0","Bcan"
"Serpine2",1.09744490255231e-282,1.70247547376399,0.997,0.969,2.19488980510463e-279,"0","Serpine2"
"Emid1",2.42605168086104e-281,1.99795938667643,0.979,0.898,4.85210336172209e-278,"0","Emid1"
"Cspg5",1.55489272316778e-270,1.339167313204,0.999,0.988,3.10978544633557e-267,"0","Cspg5"
"Ednrb",1.5460615421945e-263,1.94498910787041,0.987,0.882,3.092123084389e-260,"0","Ednrb"
"Calcrl",1.30574581727169e-260,2.10747109908529,0.983,0.842,2.61149163454338e-257,"0","Calcrl"
"Matn4",1.69940955547877e-259,1.76992509872923,0.99,0.949,3.39881911095754e-256,"0","Matn4"
"Mmp15",7.04310759275062e-245,1.68289870641762,0.983,0.733,1.40862151855012e-241,"0","Mmp15"
"Xylt1",1.16344891615819e-238,1.53386725788976,0.988,0.922,2.32689783231638e-235,"0","Xylt1"
"Caskin2",1.09122072853841e-237,1.95817753502842,0.959,0.753,2.18244145707683e-234,"0","Caskin2"
"Lhfpl3",3.42110793984986e-229,1.5771211074677,0.98,0.885,6.84221587969973e-226,"0","Lhfpl3"
"Bmp7",1.19099808329e-227,2.19266520910396,0.952,0.616,2.38199616658e-224,"0","Bmp7"
"Zfp36l1",7.82110790375207e-223,1.97225625579617,0.969,0.829,1.56422158075041e-219,"0","Zfp36l1"
"Gpr37l1",2.35335107732581e-221,1.50516663556635,0.992,0.658,4.70670215465161e-218,"0","Gpr37l1"
"Gpc5",2.45830044433104e-220,1.67366419983071,0.968,0.748,4.91660088866208e-217,"0","Gpc5"
"Tril",1.53821836155115e-214,2.04394454206638,0.964,0.772,3.07643672310231e-211,"0","Tril"
"Rgcc",5.32160585331757e-211,1.80965856909449,0.957,0.914,1.06432117066351e-207,"0","Rgcc"
"Mfsd2a",1.73150271743597e-205,1.92276294847148,0.941,0.727,3.46300543487193e-202,"0","Mfsd2a"
"Sulf2",1.66175195013788e-200,1.27157414891706,0.997,0.842,3.32350390027575e-197,"0","Sulf2"
"Npas1",4.1117502706813e-200,2.04778559040037,0.929,0.785,8.2235005413626e-197,"0","Npas1"
"Mtss2",8.85409551475296e-200,1.15150798290831,0.996,0.944,1.77081910295059e-196,"0","Mtss2"
"Apbb1ip",1.57030994931793e-193,2.14770885808708,0.887,0.405,3.14061989863586e-190,"0","Apbb1ip"
"Fabp7",8.61511799620433e-190,1.59185209427331,0.952,0.915,1.72302359924087e-186,"0","Fabp7"
"Pid1",9.13493407821104e-189,1.39920442327231,0.98,0.841,1.82698681564221e-185,"0","Pid1"
"Zeb1",9.26416435653335e-187,1.81565693605044,0.94,0.701,1.85283287130667e-183,"0","Zeb1"
"Pcdh11x",2.39044906952811e-184,1.57710490709981,0.962,0.635,4.78089813905621e-181,"0","Pcdh11x"
"Adamts9",1.62626774176375e-181,1.74940696494253,0.919,0.851,3.25253548352749e-178,"0","Adamts9"
"Nova1",3.89128938632467e-181,1.5800835366545,0.979,0.631,7.78257877264935e-178,"0","Nova1"
"Gria2",7.81300026719443e-181,0.922108507412891,1,0.988,1.56260005343889e-177,"0","Gria2"
"Gpr17",1.88439833095202e-180,0.780465478689964,0.999,0.904,3.76879666190403e-177,"0","Gpr17"
"Plppr5",4.95847580714203e-179,1.30480083251829,0.992,0.973,9.91695161428405e-176,"0","Plppr5"
"C1ql1",7.00831931183664e-178,1.47972022079904,0.957,0.82,1.40166386236733e-174,"0","C1ql1"
"Cdca7",5.03659860249581e-176,1.05112417959758,0.897,0.624,1.00731972049916e-172,"0","Cdca7"
"Itgav",4.03357707357914e-173,1.77557979226086,0.964,0.619,8.06715414715827e-170,"0","Itgav"
"Slc7a10",4.21237504270796e-173,2.2337221328351,0.87,0.599,8.42475008541592e-170,"0","Slc7a10"
"Spry4",7.16362108288172e-173,1.93603210696937,0.917,0.492,1.43272421657634e-169,"0","Spry4"
"Cntn1",2.16182026522067e-172,0.901436812126737,0.999,0.996,4.32364053044134e-169,"0","Cntn1"
