"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gja1",0,3.92008563807083,0.994,0.541,0,"0","Gja1"
"Slco1c1",0,4.39724769132803,0.977,0.53,0,"0","Slco1c1"
"S1pr1",0,4.57563074192296,0.94,0.503,0,"0","S1pr1"
"Mlc1",0,4.03488175674775,0.981,0.551,0,"0","Mlc1"
"Htra1",0,4.42257313998725,0.935,0.509,0,"0","Htra1"
"Pla2g7",0,4.20908003784386,0.99,0.569,0,"0","Pla2g7"
"Gpr37l1",0,3.39802422710882,0.98,0.559,0,"0","Gpr37l1"
"Mfge8",0,4.43118553236345,0.998,0.589,0,"0","Mfge8"
"Myorg",0,5.21173423921344,0.968,0.564,0,"0","Myorg"
"Lrp4",0,4.26809619970354,0.898,0.495,0,"0","Lrp4"
"Aldoc",0,4.16959312422329,0.906,0.505,0,"0","Aldoc"
"Hepacam",0,3.70833227335932,0.922,0.523,0,"0","Hepacam"
"Slc7a10",0,4.62682492705178,0.979,0.585,0,"0","Slc7a10"
"Plpp3",0,4.27162699916442,0.997,0.604,0,"0","Plpp3"
"Atp1a2",0,3.87434132670135,1,0.608,0,"0","Atp1a2"
"Vcam1",0,4.38090696928571,0.941,0.553,0,"0","Vcam1"
"Hes5",0,4.65056601153702,0.941,0.56,0,"0","Hes5"
"Abca1",0,3.0607668737548,0.939,0.559,0,"0","Abca1"
"Lonrf3",0,3.89224680593848,0.872,0.494,0,"0","Lonrf3"
"Aqp4",0,4.93345388391646,0.989,0.619,0,"0","Aqp4"
"Cd9",0,2.26505372847343,0.954,0.584,0,"0","Cd9"
"Fgfr3",0,4.577818044257,0.974,0.607,0,"0","Fgfr3"
"Slc1a3",0,4.68386243465211,1,0.634,0,"0","Slc1a3"
"Glul",0,3.49029787728588,0.932,0.569,0,"0","Glul"
"Slc38a3",0,3.84978191407433,0.974,0.611,0,"0","Slc38a3"
"Daam2",0,4.68395403753128,0.981,0.621,0,"0","Daam2"
"Slc14a1",0,4.76135577163722,0.91,0.551,0,"0","Slc14a1"
"Slc13a3",0,3.3094029880213,0.84,0.482,0,"0","Slc13a3"
"Bcan",0,3.59654798868353,0.998,0.644,0,"0","Bcan"
"Entpd2",0,4.97986674860405,0.901,0.55,0,"0","Entpd2"
"Acsbg1",0,4.66940814207874,0.906,0.555,0,"0","Acsbg1"
"Etv4",0,4.03358275834009,0.894,0.551,0,"0","Etv4"
"Nwd1",0,4.02206688197348,0.944,0.605,0,"0","Nwd1"
"Nherf1",0,4.3055114848561,0.859,0.52,0,"0","Nherf1"
"Grin2c",0,4.24256661254681,0.874,0.536,0,"0","Grin2c"
"Gramd3",0,3.50859685174774,0.898,0.563,0,"0","Gramd3"
"Prex2",0,3.38224669668441,0.867,0.534,0,"0","Prex2"
"Lfng",0,4.03208065790136,0.889,0.558,0,"0","Lfng"
"Serpinh1",0,2.16918041955645,0.874,0.543,0,"0","Serpinh1"
"Dbi",0,2.77804846109716,0.861,0.53,0,"0","Dbi"
"Fam107a",0,3.68470360713875,0.823,0.493,0,"0","Fam107a"
"S100a16",0,2.65548568044183,0.877,0.548,0,"0","S100a16"
"Sall3",0,3.37633686854214,0.818,0.492,0,"0","Sall3"
"Specc1",0,2.35028798479513,0.886,0.56,0,"0","Specc1"
"Cmtm5",0,2.99573503542801,0.849,0.525,0,"0","Cmtm5"
"Gfap",0,4.77463428874184,0.928,0.606,0,"0","Gfap"
"Notch2",0,3.25441441364799,0.881,0.56,0,"0","Notch2"
"Slc7a11",0,3.16492205191384,0.846,0.526,0,"0","Slc7a11"
"Slc15a2",0,4.3985627668921,0.893,0.574,0,"0","Slc15a2"
"Prkcd",0,2.62867260942107,0.878,0.559,0,"0","Prkcd"
"Dock1",0,3.16119468689284,0.917,0.599,0,"0","Dock1"
"Slc25a18",0,4.15262673384839,0.831,0.515,0,"0","Slc25a18"
"Gli3",0,4.34316142748547,0.81,0.498,0,"0","Gli3"
"Cyp4f15",0,4.72303763956631,0.777,0.465,0,"0","Cyp4f15"
"Notch1",0,3.15366104886242,0.892,0.583,0,"0","Notch1"
"Mmp14",0,3.32334864662248,0.871,0.562,0,"0","Mmp14"
"Ntsr2",0,4.08556319465243,0.928,0.622,0,"0","Ntsr2"
"Lcat",0,3.90363367558586,0.794,0.488,0,"0","Lcat"
"Btbd17",0,3.91566686030517,0.924,0.619,0,"0","Btbd17"
"Lrig1",0,3.89619823139805,0.955,0.652,0,"0","Lrig1"
"Zfp36l2",0,2.9522965117618,0.913,0.611,0,"0","Zfp36l2"
"Rgs20",0,3.4408677665265,0.917,0.618,0,"0","Rgs20"
"Ndrg2",0,3.29681325938006,0.902,0.604,0,"0","Ndrg2"
"Ppp1r3c",0,4.50551824296036,0.896,0.598,0,"0","Ppp1r3c"
"Aldh1l1",0,4.49469878510216,0.895,0.598,0,"0","Aldh1l1"
"Ctsc",0,1.99110696456506,0.834,0.538,0,"0","Ctsc"
"Celsr1",0,3.48613986507427,0.76,0.465,0,"0","Celsr1"
"Tril",0,3.53184470799902,0.878,0.584,0,"0","Tril"
"Cldn10",0,4.44194835050624,0.849,0.555,0,"0","Cldn10"
"Tmem229a",0,3.38150412091895,0.908,0.615,0,"0","Tmem229a"
"Ednrb",0,3.76062694227156,0.987,0.695,0,"0","Ednrb"
"Rhoq",0,2.76002839775619,0.919,0.627,0,"0","Rhoq"
"Fgfrl1",0,3.17337955137528,0.814,0.522,0,"0","Fgfrl1"
"Zfp703",0,2.17747972019475,0.755,0.464,0,"0","Zfp703"
"Notch3",0,3.02577881099708,0.896,0.608,0,"0","Notch3"
"Plcd4",0,4.17184161823446,0.856,0.568,0,"0","Plcd4"
"Nfia",0,2.31172845973243,0.957,0.67,0,"0","Nfia"
"F3",0,3.68552130357886,0.9,0.614,0,"0","F3"
"Ctnna1",0,2.03985353927402,0.821,0.536,0,"0","Ctnna1"
"Apoe",0,3.7728010525834,1,0.717,0,"0","Apoe"
"Pdlim5",0,2.86416468374217,0.858,0.576,0,"0","Pdlim5"
"Ccdc190",0,3.91479019178725,0.835,0.553,0,"0","Ccdc190"
"Eepd1",0,2.89931501782016,0.913,0.632,0,"0","Eepd1"
"Eci2",0,2.82654571740563,0.825,0.544,0,"0","Eci2"
"Egfr",0,2.98569042250901,0.917,0.637,0,"0","Egfr"
"Bgn",0,0.937062105928267,0.742,0.462,0,"0","Bgn"
"Asrgl1",0,2.85724922441245,0.836,0.558,0,"0","Asrgl1"
"Il18",0,3.692062667963,0.915,0.641,0,"0","Il18"
"Prodh",0,3.1257323667529,0.829,0.555,0,"0","Prodh"
"Slc4a4",0,3.21472102837042,0.947,0.673,0,"0","Slc4a4"
"Abhd3",0,3.04912137674754,0.828,0.555,0,"0","Abhd3"
"Kcnj10",0,3.01959125743042,0.842,0.571,0,"0","Kcnj10"
"Slc39a12",0,4.26312857857476,0.9,0.629,0,"0","Slc39a12"
"Acss1",0,3.19078188091146,0.895,0.624,0,"0","Acss1"
"Pla2g3",0,3.84083599834411,0.846,0.576,0,"0","Pla2g3"
"Atp13a4",0,4.63843511141786,0.86,0.59,0,"0","Atp13a4"
"Axl",0,3.87327474400506,0.845,0.575,0,"0","Axl"
"Pbxip1",0,3.54071471744131,0.848,0.578,0,"0","Pbxip1"
"Msi2",0,2.74247381453206,0.988,0.719,0,"0","Msi2"
"Fgfr1",0,2.5846420846209,0.972,0.703,0,"0","Fgfr1"
"Paqr7",0,2.8294496989033,0.925,0.656,0,"0","Paqr7"
"Cbs",0,4.41335813178201,0.906,0.638,0,"0","Cbs"
"Cnn3",0,2.46571389752512,0.885,0.617,0,"0","Cnn3"
"Tlcd1",0,3.85811518279239,0.921,0.654,0,"0","Tlcd1"
"Aifm3",0,2.73051803921268,0.92,0.653,0,"0","Aifm3"
"Ccdc80",0,3.96237594107003,0.876,0.612,0,"0","Ccdc80"
"Mertk",0,3.19891468479212,0.864,0.601,0,"0","Mertk"
"Bcl2",0,2.74678134480146,0.922,0.659,0,"0","Bcl2"
"Slc13a5",0,3.58547426097079,0.93,0.669,0,"0","Slc13a5"
"Lpar6",0,1.9406234761879,0.776,0.515,0,"0","Lpar6"
"Plekhg1",0,2.42589760421048,0.867,0.607,0,"0","Plekhg1"
"Fzd2",0,3.58438990585694,0.742,0.483,0,"0","Fzd2"
"Jam2",0,2.69863172656718,0.8,0.541,0,"0","Jam2"
"Soat1",0,2.65730188169754,0.778,0.519,0,"0","Soat1"
"Pon2",0,2.82899314399954,0.768,0.51,0,"0","Pon2"
"Rhbdf1",0,2.65291920502319,0.876,0.624,0,"0","Rhbdf1"
"Itga1",0,0.617668077246204,0.752,0.501,0,"0","Itga1"
"Adamts9",0,2.70151727714556,0.836,0.585,0,"0","Adamts9"
"Adgrg1",0,3.16842067195286,0.984,0.734,0,"0","Adgrg1"
"Acot1",0,3.42060198990834,0.809,0.559,0,"0","Acot1"
"Fam210b",0,2.62528860919132,0.784,0.534,0,"0","Fam210b"
"Itgav",0,2.23771030407542,0.837,0.588,0,"0","Itgav"
"Olig2",0,0.770676988015779,0.833,0.585,0,"0","Olig2"
"Fbln2",0,2.11462425110268,0.822,0.574,0,"0","Fbln2"
"Sox2",0,1.41713277083898,0.891,0.645,0,"0","Sox2"
"Id3",0,3.94232164163106,0.891,0.646,0,"0","Id3"
"Paqr8",0,3.33137572548118,0.932,0.687,0,"0","Paqr8"
"Clic4",0,1.5024858548804,0.722,0.477,0,"0","Clic4"
"Fkbp10",0,3.24744359125312,0.748,0.503,0,"0","Fkbp10"
"Pax6",0,3.21524846453133,0.796,0.552,0,"0","Pax6"
"Slc8b1",0,3.95605491907883,0.774,0.53,0,"0","Slc8b1"
"Mt1",0,3.02651628903363,0.743,0.5,0,"0","Mt1"
"Arhgef26",0,3.16469245648839,0.897,0.658,0,"0","Arhgef26"
"Gdpd2",0,3.63990618977488,0.949,0.712,0,"0","Gdpd2"
"Hapln1",0,3.00329567736371,0.94,0.703,0,"0","Hapln1"
"Sdc4",0,3.24467636942228,0.671,0.435,0,"0","Sdc4"
"Dio2",0,4.52997546719521,0.832,0.596,0,"0","Dio2"
"Itga5",0,1.55128081092386,0.807,0.572,0,"0","Itga5"
"Pdgfrb",0,2.35319795845092,0.749,0.514,0,"0","Pdgfrb"
"Epas1",0,2.92943072944603,0.713,0.482,0,"0","Epas1"
"Plaat3",0,1.73384760041504,0.725,0.494,0,"0","Plaat3"
"Nrarp",0,4.00604175316391,0.804,0.574,0,"0","Nrarp"
"Zic2",0,2.10996501215799,0.789,0.559,0,"0","Zic2"
"Fgd6",0,3.6283191064841,0.804,0.575,0,"0","Fgd6"
"Tnc",0,4.73857039067293,0.986,0.757,0,"0","Tnc"
"Fmo1",0,3.83042200342538,0.894,0.665,0,"0","Fmo1"
"Bmpr1b",0,3.51467177495645,0.84,0.612,0,"0","Bmpr1b"
"Appl2",0,2.90067042959973,0.985,0.758,0,"0","Appl2"
"Bhlhe41",0,2.3997357990405,0.772,0.546,0,"0","Bhlhe41"
"Myo6",0,2.85034710996735,0.956,0.731,0,"0","Myo6"
"Itih3",0,4.45219760001534,0.72,0.496,0,"0","Itih3"
"Fabp7",0,4.20910857279467,0.983,0.759,0,"0","Fabp7"
"Zfp36l1",0,2.07038338580678,0.791,0.568,0,"0","Zfp36l1"
"Plxnb1",0,3.0568447505153,0.965,0.743,0,"0","Plxnb1"
"Itgb5",0,2.36443985345126,0.767,0.545,0,"0","Itgb5"
"Scrg1",0,2.52172826892884,0.769,0.548,0,"0","Scrg1"
"Fam20a",0,3.40817516914976,0.802,0.582,0,"0","Fam20a"
"Ccdc141",0,3.0383512045896,0.857,0.638,0,"0","Ccdc141"
"Hgf",0,3.69394967080068,0.73,0.512,0,"0","Hgf"
"Caskin2",0,1.85507599268016,0.764,0.547,0,"0","Caskin2"
"Csf1",0,2.56501932403662,0.743,0.526,0,"0","Csf1"
"Itga6",0,2.64085803476542,0.808,0.592,0,"0","Itga6"
"Igfbp2",0,2.40775163300941,0.846,0.632,0,"0","Igfbp2"
"Aspa",0,0.857467692499641,0.59,0.377,0,"0","Aspa"
"Sat1",0,2.66405368329144,0.872,0.659,0,"0","Sat1"
"Cav1",0,0.604706747173335,0.83,0.617,0,"0","Cav1"
"Gpam",0,3.06700788783826,0.932,0.721,0,"0","Gpam"
"Tanc1",0,1.51488795243736,0.732,0.521,0,"0","Tanc1"
"Bmp7",0,1.68814067304076,0.679,0.469,0,"0","Bmp7"
"Ttll8",0,3.66637440662833,0.808,0.599,0,"0","Ttll8"
"Hmg20b",0,2.1497270186982,0.795,0.586,0,"0","Hmg20b"
"Agt",0,4.16002030283715,0.721,0.513,0,"0","Agt"
"Fzd6",0,1.71029983151848,0.703,0.496,0,"0","Fzd6"
"Slc12a4",0,2.54056535817475,0.837,0.63,0,"0","Slc12a4"
"Cd63",0,2.586936215816,0.875,0.668,0,"0","Cd63"
"Lamb2",0,2.72067445026798,0.754,0.548,0,"0","Lamb2"
"Jun",0,1.8485284105823,0.834,0.628,0,"0","Jun"
"Spag8",0,1.07055982552733,0.799,0.594,0,"0","Spag8"
"Zeb1",0,2.01983933290785,0.898,0.693,0,"0","Zeb1"
"Elovl5",0,2.4001305384953,0.943,0.738,0,"0","Elovl5"
"Car8",0,3.10009321830623,0.911,0.707,0,"0","Car8"
"Timp3",0,2.61818359013821,0.826,0.622,0,"0","Timp3"
"Sox9",0,3.19785135634251,0.719,0.515,0,"0","Sox9"
"Zfp521",0,2.45923315847841,0.804,0.601,0,"0","Zfp521"
"Cyp2j9",0,3.79668027432641,0.693,0.49,0,"0","Cyp2j9"
"Spef2",0,1.1803882069696,0.678,0.476,0,"0","Spef2"
"Grhl1",0,3.00369997133437,0.881,0.679,0,"0","Grhl1"
"Zfp516",0,2.10599195133182,0.815,0.614,0,"0","Zfp516"
"Inppl1",0,2.09560762008674,0.688,0.488,0,"0","Inppl1"
"Ptpn13",0,2.41426160115435,0.72,0.52,0,"0","Ptpn13"
"Grtp1",0,2.44050788748446,0.878,0.678,0,"0","Grtp1"
"Ttyh2",0,2.03073791356137,0.711,0.512,0,"0","Ttyh2"
"Ccnd2",0,1.99890929433715,0.871,0.672,0,"0","Ccnd2"
"Tjp2",0,2.37109499693816,0.803,0.606,0,"0","Tjp2"
"Plcb4",0,1.41223748253007,0.833,0.636,0,"0","Plcb4"
"Ano1",0,2.32063901076305,0.7,0.504,0,"0","Ano1"
"Nkx2-2",0,0.898492919084816,0.737,0.541,0,"0","Nkx2-2"
"Smpdl3a",0,3.12756466477875,0.85,0.654,0,"0","Smpdl3a"
"Id4",0,3.07886667279636,0.807,0.612,0,"0","Id4"
"Trps1",0,2.08657767045108,0.939,0.744,0,"0","Trps1"
"Dbx2",0,4.07624597334115,0.834,0.639,0,"0","Dbx2"
"Gjb6",0,2.31663536948269,0.678,0.484,0,"0","Gjb6"
"Ephb3",0,2.15853633474822,0.889,0.695,0,"0","Ephb3"
"Prkd3",0,1.54956114358814,0.738,0.544,0,"0","Prkd3"
"Vegfa",0,3.09799724738453,0.87,0.677,0,"0","Vegfa"
"Id1",0,2.87357624997259,0.768,0.576,0,"0","Id1"
"Myo10",0,2.77543922933453,0.793,0.602,0,"0","Myo10"
"Rassf2",0,1.66451221723033,0.728,0.537,0,"0","Rassf2"
"Ltbp3",0,2.01898220749299,0.794,0.605,0,"0","Ltbp3"
"Rangrf",0,1.62511849158409,0.833,0.644,0,"0","Rangrf"
"Lef1",0,0.611828934410464,0.641,0.453,0,"0","Lef1"
"Utp14b",0,1.41201559128557,0.869,0.683,0,"0","Utp14b"
"Zcchc24",0,2.44766375029475,0.762,0.579,0,"0","Zcchc24"
"Hopx",0,3.46888774230033,0.774,0.593,0,"0","Hopx"
"Nr2e1",0,3.49053391506197,0.681,0.5,0,"0","Nr2e1"
"Dhrs3",0,1.82866889560668,0.728,0.548,0,"0","Dhrs3"
"Ston2",0,3.08672475352164,0.83,0.65,0,"0","Ston2"
"Trib2",0,1.93832151998343,0.881,0.702,0,"0","Trib2"
"Hdac8",0,2.23224340166809,0.878,0.699,0,"0","Hdac8"
"Ppp2r5a",0,2.17767581021483,0.867,0.69,0,"0","Ppp2r5a"
"Arap1",0,1.89350910865986,0.757,0.582,0,"0","Arap1"
"Hbp1",0,1.74163203318038,0.807,0.632,0,"0","Hbp1"
"Ptar1",0,2.48039190161597,0.968,0.793,0,"0","Ptar1"
"Stk17b",0,3.44227485102709,0.693,0.521,0,"0","Stk17b"
"Id2",0,1.9750982087508,0.87,0.699,0,"0","Id2"
"Itga7",0,2.57473946047559,0.844,0.673,0,"0","Itga7"
"Prdx6",0,2.66552047381231,0.743,0.574,0,"0","Prdx6"
"Sash1",0,2.6570485988948,0.932,0.763,0,"0","Sash1"
"Otx1",0,2.64340435548977,0.737,0.568,0,"0","Otx1"
"Slc6a1",0,1.53066481659387,1,0.833,0,"0","Slc6a1"
"Pou3f2",0,1.82696106118021,0.799,0.633,0,"0","Pou3f2"
"Fgfr2",0,2.33036526187119,0.813,0.647,0,"0","Fgfr2"
"Naaa",0,2.64235450111006,0.7,0.534,0,"0","Naaa"
"Serpinf1",0,2.03900797300923,0.682,0.517,0,"0","Serpinf1"
"Sox6",0,1.50316017030329,0.794,0.629,0,"0","Sox6"
"Nim1k",0,2.78555311201949,0.784,0.619,0,"0","Nim1k"
"Rreb1",0,0.77939533139798,0.825,0.66,0,"0","Rreb1"
"Qki",0,2.22191941178145,0.999,0.835,0,"0","Qki"
"Tead2",0,2.31932456518056,0.678,0.514,0,"0","Tead2"
"Arap2",0,1.72730346474179,0.874,0.71,0,"0","Arap2"
"Ptx3",0,2.92151931122815,0.719,0.555,0,"0","Ptx3"
"Tmem44",0,1.43057051416059,0.94,0.776,0,"0","Tmem44"
"Glud1",0,2.8527476959736,0.986,0.823,0,"0","Glud1"
"Spry2",0,2.12799140023895,0.801,0.639,0,"0","Spry2"
"Luzp2",0,2.38579979215923,0.897,0.737,0,"0","Luzp2"
"Tnfrsf19",0,2.56926461542112,0.942,0.782,0,"0","Tnfrsf19"
"Plat",0,1.2169158664069,0.843,0.683,0,"0","Plat"
"Sall1",0,1.31800754605496,0.734,0.575,0,"0","Sall1"
"Phyhipl",0,2.34341283160561,0.966,0.807,0,"0","Phyhipl"
"Spacdr",0,2.32677827014662,0.789,0.631,0,"0","Spacdr"
"Glis3",0,1.99574786227204,0.805,0.648,0,"0","Glis3"
"Chd7",0,1.13924242299266,0.759,0.602,0,"0","Chd7"
"Timp4",0,3.13835041885455,0.683,0.526,0,"0","Timp4"
"Sema4b",0,2.20300179049447,0.9,0.743,0,"0","Sema4b"
"Crot",0,2.2406223866727,0.781,0.625,0,"0","Crot"
"Rgma",0,2.23168893249825,0.956,0.8,0,"0","Rgma"
"Sfxn5",0,2.99161737725929,0.991,0.836,0,"0","Sfxn5"
"Phka1",0,2.18502795855051,0.833,0.678,0,"0","Phka1"
"Odad1",0,1.85398044415242,0.739,0.585,0,"0","Odad1"
