"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ptprz1",0,1.85837413838027,0.999,0.914,0,"0","Ptprz1"
"Pcdh15",5.71171730305057e-297,1.88331874896012,1,0.887,1.14234346061011e-293,"0","Pcdh15"
"Bcan",1.02460312378108e-290,1.75129313276224,1,0.893,2.04920624756216e-287,"0","Bcan"
"Pdgfra",1.60142824439723e-290,2.04004219668655,0.997,0.795,3.20285648879447e-287,"0","Pdgfra"
"Lhfpl3",7.8179272784836e-281,2.24540654463841,0.993,0.771,1.56358545569672e-277,"0","Lhfpl3"
"Apobec1",1.11173255632295e-280,1.57743315637071,0.964,0.373,2.2234651126459e-277,"0","Apobec1"
"Emid1",9.46854293587735e-266,2.1178892732575,0.989,0.671,1.89370858717547e-262,"0","Emid1"
"Cspg5",6.24124961179001e-263,1.72267339128526,0.993,0.816,1.248249922358e-259,"0","Cspg5"
"Matn4",2.07743146552742e-262,1.99702260006629,1,0.844,4.15486293105484e-259,"0","Matn4"
"Oprk1",2.30027326402121e-259,0.916098553194893,0.966,0.521,4.60054652804241e-256,"0","Oprk1"
"Cspg4",5.97850125011843e-257,1.88268004183076,0.991,0.835,1.19570025002369e-253,"0","Cspg4"
"Lrp1",3.33934704785841e-244,1.57186942290797,0.995,0.843,6.67869409571683e-241,"0","Lrp1"
"Ecrg4",6.92328407434468e-230,1.98903499304947,0.929,0.408,1.38465681486894e-226,"0","Ecrg4"
"Tnr",7.19367804925178e-230,1.63908419507759,1,0.863,1.43873560985036e-226,"0","Tnr"
"Serpine2",1.49203646395241e-228,1.68606259199206,0.983,0.838,2.98407292790482e-225,"0","Serpine2"
"Gpc5",7.34995218342478e-224,1.9239411323447,0.966,0.769,1.46999043668496e-220,"0","Gpc5"
"Gpnmb",1.95097791442462e-220,2.12247883923121,0.923,0.375,3.90195582884924e-217,"0","Gpnmb"
"Pid1",6.46281637081252e-220,1.84697546863117,0.98,0.724,1.2925632741625e-216,"0","Pid1"
"Calcrl",1.00380537023324e-213,2.15501528501338,0.959,0.614,2.00761074046647e-210,"0","Calcrl"
"Xylt1",1.07471256430938e-211,1.56903505970353,0.984,0.841,2.14942512861876e-208,"0","Xylt1"
"Neu4",1.24852477210106e-211,1.63591243548448,0.996,0.698,2.49704954420212e-208,"0","Neu4"
"Spry1",6.96632611732404e-210,2.34455093092114,0.946,0.681,1.39326522346481e-206,"0","Spry1"
"Plcd4",3.34974239260064e-206,1.57076638281551,0.915,0.543,6.69948478520128e-203,"0","Plcd4"
"C1ql1",6.53400589818039e-205,1.78016648910371,0.971,0.769,1.30680117963608e-201,"0","C1ql1"
"Pla2g3",2.02731463118046e-203,1.03808088224159,0.958,0.63,4.05462926236093e-200,"0","Pla2g3"
"Gpr17",3.96240604762835e-201,1.18060762910199,1,0.88,7.92481209525671e-198,"0","Gpr17"
"Col18a1",1.65767607587016e-192,2.14203238226701,0.913,0.655,3.31535215174033e-189,"0","Col18a1"
"Itga9",1.40812621118831e-191,1.72681360930026,0.962,0.751,2.81625242237662e-188,"0","Itga9"
"Pnlip",1.15395897535134e-187,2.37674487399447,0.843,0.447,2.30791795070268e-184,"0","Pnlip"
"Cyp26b1",4.20199685513775e-187,1.20691223865441,0.948,0.538,8.4039937102755e-184,"0","Cyp26b1"
"Mmp15",6.40107960360804e-185,1.67989272510871,0.954,0.762,1.28021592072161e-181,"0","Mmp15"
"Pparg",1.20878734971116e-184,0.696815279293017,0.98,0.594,2.41757469942232e-181,"0","Pparg"
"Has2",5.01271846566553e-183,1.9314954054618,0.885,0.474,1.00254369313311e-179,"0","Has2"
"Ntrk3",5.20666127003321e-183,1.57864588833472,0.983,0.849,1.04133225400664e-179,"0","Ntrk3"
"Hes5",2.19356848452203e-180,2.34446652102371,0.93,0.708,4.38713696904407e-177,"0","Hes5"
"Atp1a2",1.09698128255771e-174,1.36885136182249,0.992,0.871,2.19396256511542e-171,"0","Atp1a2"
"Kcnip1",4.31324384139161e-174,1.78916299082424,0.933,0.485,8.62648768278322e-171,"0","Kcnip1"
"Elfn1",4.89976268702273e-174,1.87219240516185,0.922,0.539,9.79952537404546e-171,"0","Elfn1"
"Hgf",2.00343854344123e-171,0.710620871093788,0.966,0.523,4.00687708688246e-168,"0","Hgf"
"Mc4r",5.92253564999852e-169,1.38338924161372,0.948,0.587,1.1845071299997e-165,"0","Mc4r"
"Slc13a5",2.16906661493862e-168,1.90526018484411,0.925,0.638,4.33813322987724e-165,"0","Slc13a5"
"Grid2ip",2.61178242687283e-168,1.63292353048101,0.95,0.777,5.22356485374567e-165,"0","Grid2ip"
"Plppr5",3.36161423585557e-168,1.51679740174548,0.956,0.812,6.72322847171114e-165,"0","Plppr5"
"Maf",2.39882021158257e-167,1.26350824840011,0.935,0.712,4.79764042316513e-164,"0","Maf"
"Lef1",2.36745343580148e-165,1.21024730028788,0.897,0.535,4.73490687160295e-162,"0","Lef1"
"Dbx2",5.3427273137009e-165,1.34168054355065,0.943,0.623,1.06854546274018e-161,"0","Dbx2"
"Pcdh18",8.14769881780966e-165,0.595086316276043,0.927,0.478,1.62953976356193e-161,"0","Pcdh18"
"Echdc2",8.08252217168419e-161,1.61464909135003,0.941,0.613,1.61650443433684e-157,"0","Echdc2"
"Farp1",4.18451340774483e-158,1.7056055436377,0.983,0.812,8.36902681548966e-155,"0","Farp1"
"Fkbp10",8.28985234278359e-154,1.3679108786833,0.818,0.387,1.65797046855672e-150,"0","Fkbp10"
"Olfm2",1.04006587475588e-152,1.78115880844072,0.934,0.704,2.08013174951176e-149,"0","Olfm2"
"Dhrs3",1.27624362981828e-149,1.03863681795945,0.978,0.506,2.55248725963655e-146,"0","Dhrs3"
"Vegfa",1.96186574091524e-146,1.68821514193001,0.962,0.714,3.92373148183047e-143,"0","Vegfa"
"Adm",2.37069762975293e-142,2.16836197441842,0.864,0.565,4.74139525950586e-139,"0","Adm"
"Adamts10",4.38535839590162e-140,1.49385286165036,0.976,0.726,8.77071679180325e-137,"0","Adamts10"
"Slc7a10",2.70166922446438e-136,1.85319003624746,0.914,0.748,5.40333844892876e-133,"0","Slc7a10"
"Ptprn",1.12272262713645e-135,1.46618034022417,0.987,0.857,2.2454452542729e-132,"0","Ptprn"
"Pcdha2",1.12424416051553e-134,1.40501187208022,0.9,0.601,2.24848832103106e-131,"0","Pcdha2"
"Brinp1",9.83260733894001e-134,1.54252125212783,0.97,0.804,1.966521467788e-130,"0","Brinp1"
