"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pdgfra",0,1.96192672889117,1,0.89,0,"0","Pdgfra"
"Pcdh15",0,1.64190587850471,1,0.978,0,"0","Pcdh15"
"Epn2",0,1.45928254587905,1,0.98,0,"0","Epn2"
"Ptprz1",0,1.58243090051855,1,0.998,0,"0","Ptprz1"
"Slc38a3",3.04244695411061e-300,2.2041528023461,0.993,0.715,6.08489390822122e-297,"0","Slc38a3"
"Myt1",1.11746157440068e-296,1.70071566012362,0.997,0.972,2.23492314880136e-293,"0","Myt1"
"Cspg4",1.90049940848632e-292,1.79998894000087,0.999,0.896,3.80099881697263e-289,"0","Cspg4"
"Bcan",6.15942519127395e-291,1.34457959068796,1,0.997,1.23188503825479e-287,"0","Bcan"
"Serpine2",7.34648612018401e-281,1.6958365413897,0.997,0.969,1.4692972240368e-277,"0","Serpine2"
"Emid1",1.09314785488551e-280,1.99053987899752,0.98,0.898,2.18629570977101e-277,"0","Emid1"
"Cspg5",1.53592661704974e-268,1.33488831062179,0.999,0.988,3.07185323409948e-265,"0","Cspg5"
"Ednrb",8.57369922407908e-262,1.94128702948435,0.987,0.882,1.71473984481582e-258,"0","Ednrb"
"Calcrl",1.27412774971768e-258,2.09574545838148,0.983,0.842,2.54825549943535e-255,"0","Calcrl"
"Matn4",8.19783191024507e-258,1.76733419862489,0.989,0.949,1.63956638204901e-254,"0","Matn4"
"Mmp15",6.16134343890046e-243,1.67575989929051,0.983,0.733,1.23226868778009e-239,"0","Mmp15"
"Xylt1",1.06166481361672e-237,1.5332305297684,0.988,0.922,2.12332962723344e-234,"0","Xylt1"
"Caskin2",2.36610755191836e-237,1.9610914111618,0.959,0.753,4.73221510383671e-234,"0","Caskin2"
"Lhfpl3",4.41299061202749e-228,1.57621535600533,0.98,0.885,8.82598122405498e-225,"0","Lhfpl3"
"Bmp7",5.38971070560356e-226,2.18651958782152,0.952,0.616,1.07794214112071e-222,"0","Bmp7"
"Zfp36l1",2.78313481484461e-222,1.96828999596187,0.969,0.829,5.56626962968922e-219,"0","Zfp36l1"
"Gpr37l1",3.37353606516557e-220,1.50334934353783,0.992,0.659,6.74707213033113e-217,"0","Gpr37l1"
"Gpc5",2.51602752873747e-219,1.67177047774342,0.967,0.748,5.03205505747494e-216,"0","Gpc5"
