"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pdgfra",0,2.50174603131074,0.998,0.655,0,"0","Pdgfra"
"Cspg5",0,2.29649773787808,0.995,0.793,0,"0","Cspg5"
"Ptprz1",0,2.17895042933503,1,0.847,0,"0","Ptprz1"
"Pcdh15",0,2.13603720577147,1,0.847,0,"0","Pcdh15"
"Matn4",1.4722541551193e-305,2.36258247710734,0.999,0.747,2.94450831023861e-302,"0","Matn4"
"Myt1",1.56625957253029e-296,2.09651896600024,0.998,0.812,3.13251914506057e-293,"0","Myt1"
"Bcan",1.57934041752877e-293,1.85173660523895,1,0.753,3.15868083505754e-290,"0","Bcan"
"Baiap3",8.55958438807754e-288,1.30746508843313,0.941,0.317,1.71191687761551e-284,"0","Baiap3"
"Mtss2",3.86055374586142e-277,1.94862388939848,0.995,0.756,7.72110749172284e-274,"0","Mtss2"
"Lhfpl3",5.63691243146017e-275,2.26928322771321,0.993,0.799,1.12738248629203e-271,"0","Lhfpl3"
"Atp1a2",1.60282444971468e-271,2.06994636878623,0.998,0.803,3.20564889942935e-268,"0","Atp1a2"
"Mmp15",5.0396166092725e-265,2.36060007800945,0.976,0.761,1.0079233218545e-261,"0","Mmp15"
"Cspg4",6.00399650585461e-263,1.98987815019961,0.972,0.528,1.20079930117092e-259,"0","Cspg4"
"Emid1",1.29938829033401e-256,1.98785456325468,0.984,0.534,2.59877658066801e-253,"0","Emid1"
"Serpine2",2.60384169381026e-256,1.94657429631625,0.972,0.823,5.20768338762052e-253,"0","Serpine2"
"Xylt1",6.2816176682578e-256,2.0174593655011,0.985,0.738,1.25632353365156e-252,"0","Xylt1"
"Lrp1",1.11176677229358e-246,1.70289602847215,0.988,0.798,2.22353354458717e-243,"0","Lrp1"
"Etv4",1.98276447187878e-238,2.24719460567923,0.965,0.468,3.96552894375757e-235,"0","Etv4"
"Rgcc",1.9882598258969e-236,2.03503826820273,0.978,0.65,3.97651965179381e-233,"0","Rgcc"
"Vegfa",3.31198619675922e-233,2.14919027144609,0.988,0.673,6.62397239351844e-230,"0","Vegfa"
"Spry1",2.69055873644359e-232,2.34379547318705,0.956,0.573,5.38111747288719e-229,"0","Spry1"
"Mki67",1.95758590425459e-227,0.660075927291359,0.919,0.355,3.91517180850918e-224,"0","Mki67"
"Exo1",4.00581246119941e-221,1.210807911452,0.929,0.445,8.01162492239881e-218,"0","Exo1"
"Gpc5",1.71346087307955e-220,1.89225309337749,0.949,0.675,3.4269217461591e-217,"0","Gpc5"
"Smoc2",2.43596675658662e-220,1.36172333475816,0.922,0.407,4.87193351317325e-217,"0","Smoc2"
"C1ql1",3.1040313141819e-217,1.90815987121864,0.953,0.664,6.2080626283638e-214,"0","C1ql1"
"Vcan",3.07688536275352e-214,1.65959927886303,0.985,0.615,6.15377072550705e-211,"0","Vcan"
"Adm",8.20887452962746e-213,2.61708358264311,0.891,0.499,1.64177490592549e-209,"0","Adm"
"Syt10",1.5721916312821e-210,1.21864846565406,0.946,0.646,3.14438326256421e-207,"0","Syt10"
"Kank2",1.88460448304411e-209,0.527323598213251,0.966,0.635,3.76920896608821e-206,"0","Kank2"
"Slc38a3",4.48296445089729e-209,2.06934436814046,0.931,0.611,8.96592890179458e-206,"0","Slc38a3"
"Dner",1.04711907418039e-207,2.19410104683369,0.961,0.67,2.09423814836078e-204,"0","Dner"
"Otx1",1.64740732260773e-206,1.93613720037383,0.809,0.282,3.29481464521546e-203,"0","Otx1"
"Uhrf1",1.93942594422569e-204,1.06165867793916,0.864,0.374,3.87885188845139e-201,"0","Uhrf1"
"Calcrl",8.44269025945923e-202,2.08433410677535,0.912,0.603,1.68853805189185e-198,"0","Calcrl"
"Spry4",5.4397983275049e-198,2.17862096358121,0.9,0.433,1.08795966550098e-194,"0","Spry4"
"Celf6",4.87368567145493e-194,1.05631137403727,0.92,0.361,9.74737134290986e-191,"0","Celf6"
"Ntrk3",5.03683820764533e-194,1.74608642659045,0.967,0.764,1.00736764152907e-190,"0","Ntrk3"
"Tafa1",2.46926490321363e-190,1.80127896358833,0.874,0.413,4.93852980642725e-187,"0","Tafa1"
"Mgat5b",1.1618726427804e-188,1.95727774444328,0.961,0.731,2.32374528556079e-185,"0","Mgat5b"
"Inhba",3.00291384857441e-188,1.76655151150982,0.934,0.529,6.00582769714881e-185,"0","Inhba"
"Dnah9",8.67010326493114e-187,1.29356248007877,0.897,0.433,1.73402065298623e-183,"0","Dnah9"
"Zeb1",9.30375701834459e-187,2.03992090646492,0.952,0.756,1.86075140366892e-183,"0","Zeb1"
"Pcdh18",3.26706681510338e-186,0.870134306179878,0.875,0.347,6.53413363020676e-183,"0","Pcdh18"
"Megf11",2.24089108816245e-185,2.16923422458197,0.913,0.593,4.48178217632491e-182,"0","Megf11"
"Pid1",1.90526666546913e-184,1.80876829410805,0.94,0.702,3.81053333093827e-181,"0","Pid1"
"Gpr37l1",1.71915727269605e-182,1.51397524813558,0.966,0.751,3.4383145453921e-179,"0","Gpr37l1"
"Unc13c",1.83257577669082e-181,1.86671780893689,0.913,0.49,3.66515155338163e-178,"0","Unc13c"
"Spon1",6.2609812504364e-181,1.71746007982118,0.945,0.619,1.25219625008728e-177,"0","Spon1"
"Bend6",6.73742241096273e-180,1.68982020835383,0.946,0.55,1.34748448219255e-176,"0","Bend6"
"Col18a1",7.53877747029422e-180,2.32295260118881,0.809,0.491,1.50775549405884e-176,"0","Col18a1"
"Has2",1.79403237595047e-177,1.72164571536991,0.831,0.353,3.58806475190095e-174,"0","Has2"
"Gpr17",1.00756063124385e-176,0.933377202730435,1,0.859,2.0151212624877e-173,"0","Gpr17"
"Plcd4",2.47818941569125e-176,2.18315235087492,0.863,0.422,4.9563788313825e-173,"0","Plcd4"
"Midn",4.11730389466932e-173,1.94953990002228,0.928,0.763,8.23460778933865e-170,"0","Midn"
"Abhd2",1.07392308278089e-171,1.59390405411946,0.958,0.774,2.14784616556178e-168,"0","Abhd2"
"Lhx2",5.34694949943203e-170,1.37804707395414,0.852,0.449,1.06938989988641e-166,"0","Lhx2"
"Agap2",3.56606560531852e-168,1.69582850588031,0.972,0.718,7.13213121063705e-165,"0","Agap2"
"Lrrfip1",8.7444090346463e-166,1.67756532378151,0.984,0.769,1.74888180692926e-162,"0","Lrrfip1"
"Bcl6",1.45851400662846e-165,2.13904163144888,0.884,0.478,2.91702801325691e-162,"0","Bcl6"
"Gsap",2.70102964557141e-165,2.09508030951812,0.837,0.414,5.40205929114281e-162,"0","Gsap"
"Mfge8",3.00002422342791e-165,1.97289628333692,0.927,0.676,6.00004844685581e-162,"0","Mfge8"
"Ptprn",3.77915375086027e-165,1.61558405216857,0.991,0.791,7.55830750172054e-162,"0","Ptprn"
"Slc6a1",2.27442305097099e-163,1.34283558990236,0.987,0.792,4.54884610194199e-160,"0","Slc6a1"
"Zfp36l1",4.90961296331454e-163,2.30723895746632,0.876,0.658,9.81922592662907e-160,"0","Zfp36l1"
"Tnc",2.8479739402433e-161,2.18093377612827,0.842,0.488,5.69594788048659e-158,"0","Tnc"
"Grin2c",8.48130563431779e-161,0.836651773980165,0.916,0.461,1.69626112686356e-157,"0","Grin2c"
"Astn1",3.90999107821159e-160,1.77784583574348,0.945,0.753,7.81998215642318e-157,"0","Astn1"
"Col24a1",9.97180598463074e-160,0.783565259916883,0.875,0.509,1.99436119692615e-156,"0","Col24a1"
"Pik3cd",2.88677076121412e-159,0.700216020038768,0.95,0.668,5.77354152242823e-156,"0","Pik3cd"
"Tnr",1.86016816537905e-158,1.12836841924624,0.993,0.812,3.7203363307581e-155,"0","Tnr"
"Ccn1",2.06990806489887e-156,2.01491216778002,0.8,0.484,4.13981612979774e-153,"0","Ccn1"
"Tacc2",6.35173525529031e-156,1.75919671823668,0.907,0.641,1.27034705105806e-152,"0","Tacc2"
"Chst11",2.76019822562879e-154,1.91611765589792,0.89,0.649,5.52039645125757e-151,"0","Chst11"
"Per2",2.03093653949608e-153,1.75453976929791,0.927,0.754,4.06187307899216e-150,"0","Per2"
"Olfm3",2.18111221906461e-153,1.33637164449928,0.89,0.549,4.36222443812922e-150,"0","Olfm3"
"Klf5",7.29347373859421e-153,0.472216403989763,0.911,0.49,1.45869474771884e-149,"0","Klf5"
"Piezo1",1.14612418502435e-152,0.923909566883274,0.882,0.43,2.29224837004869e-149,"0","Piezo1"
"Plpp4",3.83933979177554e-152,1.96040256414768,0.843,0.541,7.67867958355109e-149,"0","Plpp4"
"Ednrb",5.73588595902273e-152,1.94933194279532,0.852,0.651,1.14717719180455e-148,"0","Ednrb"
"Traf4",5.74763644307126e-152,1.79071708950224,0.924,0.621,1.14952728861425e-148,"0","Traf4"
"Tmem255b",1.48317518851103e-150,1.9186433007179,0.884,0.712,2.96635037702207e-147,"0","Tmem255b"
"Slitrk1",1.4867693843924e-150,1.67709501382361,0.942,0.752,2.97353876878479e-147,"0","Slitrk1"
"Fchsd2",9.04292614817604e-150,1.28774964309987,0.956,0.753,1.80858522963521e-146,"0","Fchsd2"
"Plppr5",1.47061809166036e-149,1.52102674413535,0.93,0.793,2.94123618332073e-146,"0","Plppr5"
"Gm2a",5.06125166960836e-149,1.87170246942832,0.894,0.678,1.01225033392167e-145,"0","Gm2a"
"Olfm2",6.27983879968362e-149,1.76088767602457,0.901,0.606,1.25596775993672e-145,"0","Olfm2"
"Cacng4",1.78287311732272e-148,1.54975664704151,0.889,0.546,3.56574623464543e-145,"0","Cacng4"
"Adcy8",3.39456410149935e-148,1.64649998829524,0.891,0.656,6.7891282029987e-145,"0","Adcy8"
"Il15ra",6.70208124943568e-148,1.87195998499056,0.799,0.448,1.34041624988714e-144,"0","Il15ra"
"Vxn",8.06005094753187e-148,1.64567353479355,0.923,0.544,1.61201018950637e-144,"0","Vxn"
"Col4a1",7.97454388396106e-147,1.55362818926589,0.918,0.649,1.59490877679221e-143,"0","Col4a1"
"Sdc3",8.81769699389752e-147,1.67442232467698,0.878,0.697,1.7635393987795e-143,"0","Sdc3"
"Sh3bp4",1.01786151944936e-146,1.23302555478253,0.962,0.781,2.03572303889871e-143,"0","Sh3bp4"
"Wwc1",2.37222970214378e-146,1.53226964595246,0.88,0.5,4.74445940428757e-143,"0","Wwc1"
"Prkcd",2.90801010219127e-145,0.518944429267384,0.902,0.602,5.81602020438255e-142,"0","Prkcd"
"Fhl2",5.40870237638432e-143,0.679406734299273,0.939,0.527,1.08174047527686e-139,"0","Fhl2"
"Rasgrp2",8.44097665728188e-143,1.49042073463803,0.89,0.533,1.68819533145638e-139,"0","Rasgrp2"
"Ank1",4.0524125110291e-142,1.80218889646212,0.887,0.632,8.1048250220582e-139,"0","Ank1"
"Cap2",2.79384826913371e-140,1.44498158739482,0.93,0.566,5.58769653826742e-137,"0","Cap2"
"Fabp7",7.21551430819965e-140,1.84124976145487,0.895,0.592,1.44310286163993e-136,"0","Fabp7"
"Gria3",7.3062896595792e-140,1.57211100596695,0.953,0.684,1.46125793191584e-136,"0","Gria3"
"Rgs7bp",1.20357920310517e-139,1.69831972692156,0.918,0.54,2.40715840621033e-136,"0","Rgs7bp"
"Mfsd2a",4.51456522295959e-138,1.71011489664024,0.865,0.561,9.02913044591918e-135,"0","Mfsd2a"
"Nxph1",5.28934117215346e-138,1.93381065086854,0.836,0.604,1.05786823443069e-134,"0","Nxph1"
"Gpm6a",5.28128269862103e-136,1.19131533106703,0.967,0.756,1.05625653972421e-132,"0","Gpm6a"
"Nrxn2",8.2091337935462e-136,1.18758061161439,0.966,0.814,1.64182675870924e-132,"0","Nrxn2"
"Cntn1",9.74932586359837e-136,1.11843119880457,0.963,0.787,1.94986517271967e-132,"0","Cntn1"
"Ptprs",1.19601544039009e-135,1.03720199681971,0.994,0.92,2.39203088078018e-132,"0","Ptprs"
"Slc29a1",2.16951585267378e-135,1.14525088016378,0.878,0.532,4.33903170534756e-132,"0","Slc29a1"
"Dscam",2.39125410900608e-135,1.44309688904198,0.938,0.757,4.78250821801216e-132,"0","Dscam"
"Neu4",3.24042830613696e-134,1.04878936910586,0.96,0.651,6.48085661227393e-131,"0","Neu4"
"Pnlip",4.05491651672142e-133,2.14030291205424,0.69,0.337,8.10983303344283e-130,"0","Pnlip"
"Igdcc4",6.09180863953318e-132,1.52456641117244,0.93,0.611,1.21836172790664e-128,"0","Igdcc4"
"Tsc22d1",6.6866119487786e-132,1.52238136292144,0.972,0.765,1.33732238975572e-128,"0","Tsc22d1"
"Trhde",1.06422784217414e-131,0.462549467713515,0.953,0.52,2.12845568434828e-128,"0","Trhde"
"Ano1",2.43029481371354e-131,1.52934486878716,0.889,0.57,4.86058962742708e-128,"0","Ano1"
"Cacna1d",6.71479400487243e-131,1.54915282545,0.931,0.702,1.34295880097449e-127,"0","Cacna1d"
"Zdhhc22",9.03606422605536e-131,1.81643196576713,0.836,0.397,1.80721284521107e-127,"0","Zdhhc22"
"Cfap100",2.54900140855014e-130,1.84356600077127,0.815,0.437,5.09800281710028e-127,"0","Cfap100"
"Syndig1",2.66428788086328e-130,1.4735180573039,0.816,0.405,5.32857576172656e-127,"0","Syndig1"
"Nkain3",4.80660414653335e-130,1.29222925555063,0.809,0.447,9.6132082930667e-127,"0","Nkain3"
"Dcx",4.98409364093755e-128,1.56523595844222,0.935,0.724,9.96818728187509e-125,"0","Dcx"
"Pcdhb4",9.18179084935521e-128,1.80463174465284,0.778,0.473,1.83635816987104e-124,"0","Pcdhb4"
"Sorcs3",1.24904414498167e-127,1.68238458763074,0.88,0.648,2.49808828996334e-124,"0","Sorcs3"
"Epb41",1.75338743055614e-127,1.58623914202549,0.928,0.637,3.50677486111228e-124,"0","Epb41"
"Dclk3",1.8367914199428e-127,0.419913443821964,0.942,0.607,3.6735828398856e-124,"0","Dclk3"
"Afap1",4.13593623119454e-127,1.17442073426554,0.947,0.695,8.27187246238907e-124,"0","Afap1"
"Ampd3",5.76589073409838e-127,1.6343444214286,0.845,0.597,1.15317814681968e-123,"0","Ampd3"
"Hs6st2",2.63796711160335e-126,1.59623831186381,0.797,0.407,5.2759342232067e-123,"0","Hs6st2"
"Gria2",1.46101850491501e-125,0.970731419200414,0.998,0.902,2.92203700983002e-122,"0","Gria2"
"Asic1",1.21708165378496e-123,1.55965530219828,0.912,0.675,2.43416330756991e-120,"0","Asic1"
"Apoe",3.25428768392004e-123,1.11916031730288,0.976,0.775,6.50857536784009e-120,"0","Apoe"
"Hes5",4.72244868172664e-123,2.09968433759678,0.781,0.538,9.44489736345329e-120,"0","Hes5"
"Lsamp",5.7468060044015e-123,1.37168403572335,0.953,0.762,1.1493612008803e-119,"0","Lsamp"
"Etv1",2.79870240209194e-122,1.44056850640803,0.89,0.575,5.59740480418388e-119,"0","Etv1"
"Kcnd3",2.86500570943969e-122,1.60445258002879,0.865,0.574,5.73001141887938e-119,"0","Kcnd3"
"Ndnf",1.64922362553627e-119,0.408606951963281,0.881,0.414,3.29844725107253e-116,"0","Ndnf"
"Efnb2",1.78822886119733e-119,1.48757312574997,0.873,0.557,3.57645772239466e-116,"0","Efnb2"
"Cbln2",1.3386743428436e-117,0.500948671938831,0.913,0.484,2.6773486856872e-114,"0","Cbln2"
"Rasgrf1",1.77845454225216e-117,1.56934897478471,0.9,0.702,3.55690908450433e-114,"0","Rasgrf1"
"Ypel4",3.14143105601693e-117,1.25586181465176,0.96,0.737,6.28286211203385e-114,"0","Ypel4"
"Ache",3.71034103362365e-117,1.68633850277756,0.889,0.707,7.42068206724731e-114,"0","Ache"
"Inpp4b",1.95411225713552e-116,1.70013523057097,0.748,0.487,3.90822451427104e-113,"0","Inpp4b"
"Osbpl3",2.18428682879934e-116,1.54174378179569,0.845,0.647,4.36857365759868e-113,"0","Osbpl3"
"Klhdc8b",2.28184441030872e-116,1.02900004052677,0.922,0.661,4.56368882061744e-113,"0","Klhdc8b"
"Igsf21",6.13717877683724e-116,1.44292795509753,0.894,0.571,1.22743575536745e-112,"0","Igsf21"
"Dbx2",8.95793029532152e-116,1.32186293803663,0.854,0.674,1.7915860590643e-112,"0","Dbx2"
"Ecrg4",1.7746034908911e-115,0.604569988133268,0.612,0.206,3.5492069817822e-112,"0","Ecrg4"
"Mmp16",4.61560914157299e-115,1.66442419804975,0.873,0.602,9.23121828314598e-112,"0","Mmp16"
"Arhgef4",1.26678453997644e-114,1.51035339998392,0.876,0.584,2.53356907995287e-111,"0","Arhgef4"
"Dll3",1.40232030930506e-114,1.29682143665952,0.688,0.39,2.80464061861013e-111,"0","Dll3"
"Cryl1",3.24464444220336e-114,1.73042163753877,0.812,0.6,6.48928888440672e-111,"0","Cryl1"
"Nckap5",6.64426540457845e-114,1.1905934224435,0.916,0.599,1.32885308091569e-110,"0","Nckap5"
"Susd5",2.03374357182243e-113,1.62912807322295,0.829,0.649,4.06748714364485e-110,"0","Susd5"
"Dzip1",1.64222474488612e-112,1.37426981161219,0.916,0.77,3.28444948977223e-109,"0","Dzip1"
"Col15a1",3.77415042115257e-112,1.10434765222002,0.808,0.421,7.54830084230513e-109,"0","Col15a1"
"Sparcl1",6.06144703231961e-112,1.31683955667172,0.936,0.756,1.21228940646392e-108,"0","Sparcl1"
"Pcdha4",8.86676235851817e-112,1.01658879879202,0.879,0.54,1.77335247170363e-108,"0","Pcdha4"
"Ramp1",1.58799813061882e-111,1.55427347798275,0.894,0.786,3.17599626123764e-108,"0","Ramp1"
"Adamts10",1.59810195836203e-111,1.4422719081368,0.862,0.585,3.19620391672407e-108,"0","Adamts10"
"Calb2",2.56739028811891e-111,0.936770267952571,0.936,0.68,5.13478057623782e-108,"0","Calb2"
"Grk3",9.76641281667084e-111,1.23951031862926,0.885,0.605,1.95328256333417e-107,"0","Grk3"
"Ets1",1.49192725994939e-110,1.44519853561357,0.72,0.467,2.98385451989878e-107,"0","Ets1"
"Shisa9",2.10882080633631e-110,1.23054685608755,0.953,0.75,4.21764161267262e-107,"0","Shisa9"
"Arrb1",4.40249459897376e-110,1.50638836442638,0.924,0.719,8.80498919794753e-107,"0","Arrb1"
"Thrb",8.85660889627988e-109,1.65002279973699,0.778,0.424,1.77132177925598e-105,"0","Thrb"
"Prr36",5.60858550373966e-108,1.62728042319256,0.807,0.545,1.12171710074793e-104,"0","Prr36"
"Adarb2",1.04014037053331e-107,1.38082024714229,0.878,0.629,2.08028074106661e-104,"0","Adarb2"
"Kif26b",1.69642664418019e-107,1.02142790681185,0.734,0.441,3.39285328836038e-104,"0","Kif26b"
