"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Emid1",0,2.09401984213029,0.977,0.828,0,"0","Emid1"
"Cspg4",0,1.98757807321793,0.987,0.877,0,"0","Cspg4"
"Mmp15",0,2.0122136985224,0.987,0.883,0,"0","Mmp15"
"Pcdh15",0,1.94551896389771,0.998,0.904,0,"0","Pcdh15"
"Pdgfra",0,1.88116307032633,0.998,0.907,0,"0","Pdgfra"
"Serpine2",0,1.9078606407572,0.987,0.897,0,"0","Serpine2"
"Cspg5",0,1.48855335679908,0.995,0.919,0,"0","Cspg5"
"Myt1",0,1.77869443666802,0.997,0.952,0,"0","Myt1"
"Bcan",0,1.52765299355478,1,0.961,0,"0","Bcan"
"Ptprz1",0,1.19443616870924,1,0.968,0,"0","Ptprz1"
"Xylt1",3.0778854701508e-306,1.83563476375515,0.974,0.881,6.15577094030159e-303,"0","Xylt1"
"Gpc5",2.92717960988868e-305,1.99526051647305,0.97,0.885,5.85435921977737e-302,"0","Gpc5"
"Gpr17",8.09884955957744e-292,1.22346835086965,0.998,0.908,1.61976991191549e-288,"0","Gpr17"
"Pid1",2.69648456816042e-280,1.7581239126317,0.979,0.927,5.39296913632083e-277,"0","Pid1"
"Mfsd2a",4.81723975218911e-245,2.01223922540474,0.939,0.83,9.63447950437821e-242,"0","Mfsd2a"
"Gpr37l1",4.66888487780432e-239,1.45846254295639,0.968,0.874,9.33776975560865e-236,"0","Gpr37l1"
"Lrp1",3.14430347129742e-234,1.02080406921262,0.991,0.968,6.28860694259485e-231,"0","Lrp1"
"Lhfpl3",3.68766472450709e-234,1.45453498428154,0.966,0.886,7.37532944901419e-231,"0","Lhfpl3"
"Tnr",3.26352782021027e-233,1.10626044609099,0.987,0.894,6.52705564042053e-230,"0","Tnr"
"Npas1",3.35294770509771e-233,1.89094740257269,0.932,0.798,6.70589541019542e-230,"0","Npas1"
"Ednrb",1.50611504405615e-232,1.66537407477342,0.972,0.898,3.0122300881123e-229,"0","Ednrb"
"Ntrk3",3.00712095431061e-232,1.51077306307898,0.969,0.883,6.01424190862121e-229,"0","Ntrk3"
"Matn4",7.78580831331317e-224,1.46067319977768,0.938,0.84,1.55716166266263e-220,"0","Matn4"
"Cntn1",1.4678511633838e-219,1.1633762054546,0.982,0.944,2.9357023267676e-216,"0","Cntn1"
"Gria3",6.26842471455682e-217,1.73598740361725,0.956,0.839,1.25368494291136e-213,"0","Gria3"
"Rgcc",6.53759652232947e-213,1.75183098494776,0.92,0.829,1.30751930446589e-209,"0","Rgcc"
"Mtss2",7.06103987320522e-211,1.04242503439354,0.984,0.948,1.41220797464104e-207,"0","Mtss2"
"C1ql1",3.80445913144318e-210,1.71209278906335,0.924,0.847,7.60891826288636e-207,"0","C1ql1"
