"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Blcap",0.00634979128705081,-0.756036390920334,0.199,0.317,1,"Blcap","OPC","P23","Down"
"Prrt1",0.00635354994596475,0.626938553838691,0.357,0.239,1,"Prrt1","OPC","P23","Up"
"Ralgapa2",0.0066490955901239,0.666822473249947,0.398,0.272,1,"Ralgapa2","OPC","P23","Up"
"Tle2",0.00680860680565186,0.737746853809002,0.353,0.239,1,"Tle2","OPC","P23","Up"
"Pcnx3",0.00685664235437677,-0.703164519985316,0.235,0.344,1,"Pcnx3","OPC","P23","Down"
"Emid1",0.00727270995115935,0.377702706345754,0.882,0.867,1,"Emid1","OPC","P23","Up"
"Adgrb3",0.00728449102513533,0.755153391416645,0.308,0.2,1,"Adgrb3","OPC","P23","Up"
"Specc1",0.00739257783487722,-0.703659874015834,0.154,0.267,1,"Specc1","OPC","P23","Down"
"Mfsd2a",0.00744151280382366,-0.449651748414416,0.516,0.633,1,"Mfsd2a","OPC","P23","Down"
"Atad3a",0.00761156749366784,-0.695557103748705,0.19,0.3,1,"Atad3a","OPC","P23","Down"
"Atp13a1",0.00767720551808538,-0.467074140441774,0.348,0.478,1,"Atp13a1","OPC","P23","Down"
"Gpam",0.00784546795396549,0.828447629784134,0.317,0.206,1,"Gpam","OPC","P23","Up"
"Slc38a3",0.00795513331422357,0.605312946252633,0.575,0.511,1,"Slc38a3","OPC","P23","Up"
"Septin5",0.00796320306036119,0.750824969777875,0.394,0.283,1,"Septin5","OPC","P23","Up"
"Zfp821",0.00814312084822334,-0.736932886366764,0.176,0.289,1,"Zfp821","OPC","P23","Down"
"Hnrnpl",0.00814653410646028,-0.743608825977722,0.172,0.278,1,"Hnrnpl","OPC","P23","Down"
"Smyd2",0.00841179205699662,-0.705679225575666,0.186,0.3,1,"Smyd2","OPC","P23","Down"
"Dcbld2",0.00850654155627116,0.524569853161682,0.312,0.194,1,"Dcbld2","OPC","P23","Up"
"Ncoa2",0.00861630242262124,-0.830723501652906,0.163,0.272,1,"Ncoa2","OPC","P23","Down"
"Ip6k2",0.0091661155891276,-0.523664125815179,0.407,0.522,1,"Ip6k2","OPC","P23","Down"
"Crppa",0.00965902455447341,-0.753199233603574,0.271,0.378,1,"Crppa","OPC","P23","Down"
"Ubr5",0.0104073292942769,-0.654096475716422,0.335,0.456,1,"Ubr5","OPC","P23","Down"
"Pnpla6",0.0107676833072843,0.766435955850534,0.303,0.194,1,"Pnpla6","OPC","P23","Up"
"Clta",0.0108321384104317,-0.792151296277127,0.181,0.278,1,"Clta","OPC","P23","Down"
"Kmt2e",0.0110853184873801,0.374217928485774,0.43,0.322,1,"Kmt2e","OPC","P23","Up"
"Cspp1",0.0111111984757079,-0.596533910491291,0.244,0.356,1,"Cspp1","OPC","P23","Down"
"Mef2a",0.0116326792550977,0.744984952428191,0.33,0.222,1,"Mef2a","OPC","P23","Up"
"Tprkb",0.0117272023186639,0.809729223966889,0.253,0.156,1,"Tprkb","OPC","P23","Up"
"Marcks",0.0117872523916694,-0.390031503912331,0.443,0.589,1,"Marcks","OPC","P23","Down"
"Rbm33",0.0119484322480448,-0.364594033747025,0.425,0.578,1,"Rbm33","OPC","P23","Down"
"Ptbp2",0.0119884410492048,-0.29163597696069,0.611,0.739,1,"Ptbp2","OPC","P23","Down"
"Gpld1",0.0120757184124734,-0.541521570637648,0.258,0.367,1,"Gpld1","OPC","P23","Down"
"Slc27a1",0.0120815428747377,-0.672753351340992,0.271,0.383,1,"Slc27a1","OPC","P23","Down"
"Shc4",0.0124798979154558,0.407369392402835,0.493,0.356,1,"Shc4","OPC","P23","Up"
"Gpr158",0.0125667849963372,0.910620587844178,0.262,0.167,1,"Gpr158","OPC","P23","Up"
"Tmem256",0.0126009320124889,0.621424431795713,0.339,0.222,1,"Tmem256","OPC","P23","Up"
"Glt8d1",0.0126862325766263,-0.463041384906123,0.543,0.622,1,"Glt8d1","OPC","P23","Down"
"Deaf1",0.0127364396305091,-0.538543203781096,0.235,0.35,1,"Deaf1","OPC","P23","Down"
"Tmem132b",0.0127396640408672,-0.435526297737654,0.493,0.606,1,"Tmem132b","OPC","P23","Down"
"Rbm6",0.012879819969718,-0.503634885434682,0.344,0.461,1,"Rbm6","OPC","P23","Down"
"Bace1",0.0132859592501971,0.77948039358325,0.271,0.172,1,"Bace1","OPC","P23","Up"
"Rims2",0.0137075265554914,-0.666818078019592,0.163,0.267,1,"Rims2","OPC","P23","Down"
"Rbm39",0.0138008923433364,0.443446243627773,0.493,0.378,1,"Rbm39","OPC","P23","Up"
"Tmem259",0.0141169033706412,-0.557476190355471,0.357,0.478,1,"Tmem259","OPC","P23","Down"
"Morf4l1",0.0141731943554431,-0.606206482696072,0.204,0.306,1,"Morf4l1","OPC","P23","Down"
"Shank3",0.0146196288857753,-0.431950554879269,0.258,0.383,1,"Shank3","OPC","P23","Down"
"Zhx1",0.0146332536822685,0.671087504343247,0.267,0.172,1,"Zhx1","OPC","P23","Up"
"Astn1",0.0147952099777273,0.528834810702522,0.534,0.422,1,"Astn1","OPC","P23","Up"
"Sms",0.0152145273496697,-0.838625683677224,0.163,0.256,1,"Sms","OPC","P23","Down"
"Szt2",0.015233055249779,-0.680663722021226,0.163,0.261,1,"Szt2","OPC","P23","Down"
"Nkx2-2",0.0153820151132539,-0.605972185553055,0.262,0.372,1,"Nkx2-2","OPC","P23","Down"
"Hsd17b8",0.0154225892144458,0.722166178795556,0.276,0.172,1,"Hsd17b8","OPC","P23","Up"
"S100b",0.0154769982397288,-0.558765862253514,0.204,0.322,1,"S100b","OPC","P23","Down"
"Igip",0.0156293792013397,-0.552882556965142,0.303,0.406,1,"Igip","OPC","P23","Down"
"Hip1",0.0156564585450869,-0.300973635666975,0.652,0.783,1,"Hip1","OPC","P23","Down"
"Abcc5",0.0157163346172876,0.238129909744658,0.9,0.839,1,"Abcc5","OPC","P23","Up"
"Zfp236",0.015871959539624,0.711793780668009,0.312,0.206,1,"Zfp236","OPC","P23","Up"
"Omg",0.0160548271653278,-0.426585001859186,0.448,0.561,1,"Omg","OPC","P23","Down"
"Fbxo7",0.0160759997547564,-0.465295853412501,0.38,0.494,1,"Fbxo7","OPC","P23","Down"
"Clstn1",0.0160976946559257,-0.213576651150648,0.493,0.633,1,"Clstn1","OPC","P23","Down"
"Agtpbp1",0.016218059471672,0.654825345344317,0.407,0.322,1,"Agtpbp1","OPC","P23","Up"
"Myef2",0.0162531673033766,-0.364158136504072,0.48,0.611,1,"Myef2","OPC","P23","Down"
"Acap3",0.0169958891349402,-0.292701319279321,0.706,0.811,1,"Acap3","OPC","P23","Down"
"Clk1",0.0176637140967986,0.17973314428504,0.91,0.917,1,"Clk1","OPC","P23","Up"
