"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Nrbp2",0.000262903305110356,0.237948855014213,0.993,1,1,"Nrbp2","Mature_OL","P23","Up"
"Hcn2",0.000266184094209849,0.680696893100316,0.804,0.634,1,"Hcn2","Mature_OL","P23","Up"
"Olig2",0.000276190492372534,1.04373584656413,0.5,0.313,1,"Olig2","Mature_OL","P23","Up"
"Daam1",0.000293126000420178,0.4525939645999,0.935,0.888,1,"Daam1","Mature_OL","P23","Up"
"Mog",0.000298064338524727,-0.302480126232593,0.986,0.993,1,"Mog","Mature_OL","P23","Down"
"Oxr1",0.000323032573646366,-0.841223098807505,0.464,0.612,1,"Oxr1","Mature_OL","P23","Down"
"Rhob",0.000358771550066182,-0.548502762339319,0.609,0.754,1,"Rhob","Mature_OL","P23","Down"
"Lss",0.000361430056403702,-1.4038113175124,0.159,0.336,1,"Lss","Mature_OL","P23","Down"
"Septin8",0.000378748706884323,0.401423988668293,0.913,0.828,1,"Septin8","Mature_OL","P23","Up"
"Srebf2",0.000404714592199677,-0.578602924320884,0.558,0.731,1,"Srebf2","Mature_OL","P23","Down"
"Atp6v0a1",0.000404955087957134,0.823520644439482,0.572,0.366,1,"Atp6v0a1","Mature_OL","P23","Up"
"Abca2",0.000448403441971073,0.270046614592023,0.993,0.993,1,"Abca2","Mature_OL","P23","Up"
"Omg",0.000472774665258293,-0.729031264080704,0.493,0.664,1,"Omg","Mature_OL","P23","Down"
"Pik3r3",0.00050183237588529,1.60682467354905,0.377,0.201,1,"Pik3r3","Mature_OL","P23","Up"
"Sall1",0.000505703682634154,-1.1213053514037,0.304,0.47,1,"Sall1","Mature_OL","P23","Down"
"Gsn",0.000506212249981521,-0.365793615158535,0.978,1,1,"Gsn","Mature_OL","P23","Down"
"Hs1bp3",0.00050678814394487,1.48526770472357,0.297,0.119,1,"Hs1bp3","Mature_OL","P23","Up"
"Rcan2",0.000507171242030332,-1.43306182202249,0.188,0.358,1,"Rcan2","Mature_OL","P23","Down"
"Epn2",0.000546775936762606,0.70492961786832,0.833,0.724,1,"Epn2","Mature_OL","P23","Up"
"P4hb",0.000577476985757332,1.36763182210801,0.297,0.127,1,"P4hb","Mature_OL","P23","Up"
"Tmem59",0.000672835964554893,-0.908663198849057,0.275,0.47,1,"Tmem59","Mature_OL","P23","Down"
"Apod",0.000707060171992243,-0.281476926258518,0.92,0.963,1,"Apod","Mature_OL","P23","Down"
"Ice1",0.000761414697910622,0.71924519805894,0.551,0.351,1,"Ice1","Mature_OL","P23","Up"
"Scd2",0.000763025570873881,-0.397723608858657,0.855,0.896,1,"Scd2","Mature_OL","P23","Down"
"Dpp7",0.000788416858247943,1.1212370236819,0.362,0.187,1,"Dpp7","Mature_OL","P23","Up"
"Mgat5",0.000798415148817849,1.22311733575122,0.312,0.142,1,"Mgat5","Mature_OL","P23","Up"
"Pstpip2",0.000844222219093003,-0.68920333901372,0.565,0.701,1,"Pstpip2","Mature_OL","P23","Down"
"Plp1",0.000899579370865136,-0.140770034808412,1,1,1,"Plp1","Mature_OL","P23","Down"
"Tbcel",0.000899994254099205,1.11562746302046,0.29,0.119,1,"Tbcel","Mature_OL","P23","Up"
"Cntn2",0.000966699496103875,-0.380977875144667,0.855,0.925,1,"Cntn2","Mature_OL","P23","Down"
"Itpk1",0.00100808328451465,-0.676195034621378,0.659,0.769,1,"Itpk1","Mature_OL","P23","Down"
"Hid1",0.00102737246929533,0.602329453347039,0.717,0.575,1,"Hid1","Mature_OL","P23","Up"
"Qki",0.00118237749344444,0.273487108862617,0.993,1,1,"Qki","Mature_OL","P23","Up"
"Fa2h",0.00123990882159758,-0.40147137078189,0.87,0.896,1,"Fa2h","Mature_OL","P23","Down"
"Ptpn11",0.00138405995014995,0.722274455684284,0.529,0.328,1,"Ptpn11","Mature_OL","P23","Up"
"Osbp",0.00139084750102446,-0.974189023151354,0.319,0.463,1,"Osbp","Mature_OL","P23","Down"
"Tubb4a",0.00139302070607688,-0.300021786236254,0.87,0.933,1,"Tubb4a","Mature_OL","P23","Down"
"Kndc1",0.00146148520968487,0.303134681865143,0.964,0.985,1,"Kndc1","Mature_OL","P23","Up"
"Kctd2",0.00148966467616765,-1.50002356920876,0.145,0.291,1,"Kctd2","Mature_OL","P23","Down"
"Fnip1",0.00152741980159097,0.722476792802585,0.558,0.388,1,"Fnip1","Mature_OL","P23","Up"
"Gjc3",0.0015454356637444,0.282479758311522,0.986,0.985,1,"Gjc3","Mature_OL","P23","Up"
"Adipor1",0.00155969294109607,-1.3733245567766,0.13,0.276,1,"Adipor1","Mature_OL","P23","Down"
"Agmo",0.00170742020326843,0.818314283610227,0.29,0.127,1,"Agmo","Mature_OL","P23","Up"
"Plekhg1",0.00171604142905668,0.558721769492303,0.79,0.701,1,"Plekhg1","Mature_OL","P23","Up"
"Rhobtb3",0.00172498188811832,-0.931389343357622,0.261,0.418,1,"Rhobtb3","Mature_OL","P23","Down"
"Tyro3",0.00182355643926603,0.455040181306457,0.862,0.754,1,"Tyro3","Mature_OL","P23","Up"
"Pdk2",0.0018815385377895,1.18568570931204,0.312,0.157,1,"Pdk2","Mature_OL","P23","Up"
"Shcbp1l",0.00195366454997532,0.701944946494884,0.464,0.276,1,"Shcbp1l","Mature_OL","P23","Up"
"Faah",0.00198663995263839,0.76941808120506,0.609,0.433,1,"Faah","Mature_OL","P23","Up"
"Rnpc3",0.00206230313977781,0.504781822054688,0.609,0.455,1,"Rnpc3","Mature_OL","P23","Up"
"Dhcr7",0.00217093908412643,-0.815259314797769,0.326,0.485,1,"Dhcr7","Mature_OL","P23","Down"
"Zbtb16",0.0022167560065655,-0.940036198210814,0.37,0.515,1,"Zbtb16","Mature_OL","P23","Down"
"Jak2",0.00241875017444674,-0.648594916275625,0.362,0.56,1,"Jak2","Mature_OL","P23","Down"
