"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Srrt",0.816979591960478,-0.615734304057321,0.556,0.52,1,"Srrt","COP","P56","Down"
"Kdm3a",0.818669252189123,0.401226884097101,0.444,0.48,1,"Kdm3a","COP","P56","Up"
"Eif5b",0.81890433336622,0.326948242176449,0.259,0.32,1,"Eif5b","COP","P56","Up"
"Ddx55",0.81890433336622,0.0509008477543833,0.259,0.32,1,"Ddx55","COP","P56","Up"
"Exog",0.81890433336622,-0.0150705082554476,0.259,0.32,1,"Exog","COP","P56","Down"
"Cdr2l",0.81890433336622,-0.104968424422311,0.259,0.32,1,"Cdr2l","COP","P56","Down"
"Tbcd",0.81890433336622,-0.196669170394156,0.259,0.32,1,"Tbcd","COP","P56","Down"
"Grk2",0.81890433336622,-0.0258651256566306,0.259,0.32,1,"Grk2","COP","P56","Down"
"Enc1",0.81890433336622,0.375658115385978,0.296,0.28,1,"Enc1","COP","P56","Up"
"Kcnj3",0.819189726905229,-0.179642569912226,0.556,0.6,1,"Kcnj3","COP","P56","Down"
"Kif3a",0.820130038354083,-0.09269724883967,0.556,0.64,1,"Kif3a","COP","P56","Down"
"Sec31a",0.820492708235991,0.141086424730225,0.407,0.4,1,"Sec31a","COP","P56","Up"
"Chchd3",0.820492708235991,0.171969491018091,0.407,0.4,1,"Chchd3","COP","P56","Up"
"Mcoln1",0.820492708235991,0.109689588607684,0.407,0.4,1,"Mcoln1","COP","P56","Up"
"Mfn1",0.820783403740381,-0.10969235590573,0.37,0.32,1,"Mfn1","COP","P56","Down"
"Lrrc8d",0.822732640830633,-0.035291482628252,0.333,0.28,1,"Lrrc8d","COP","P56","Down"
"Mboat2",0.822732640830633,-0.607724011851562,0.333,0.28,1,"Mboat2","COP","P56","Down"
"Col27a1",0.822984792765865,0.299976134312436,0.63,0.72,1,"Col27a1","COP","P56","Up"
"Fam117b",0.823311535410873,-0.19377554666285,0.259,0.2,1,"Fam117b","COP","P56","Down"
"Lin52",0.823311535410873,-0.206824536875091,0.259,0.2,1,"Lin52","COP","P56","Down"
"Appbp2",0.824644017100607,-0.183406871021678,0.481,0.4,1,"Appbp2","COP","P56","Down"
"Fam3c",0.824644017100607,-0.013652621355879,0.407,0.48,1,"Fam3c","COP","P56","Down"
"Ilf3",0.824644017100607,0.00818405686602408,0.407,0.48,1,"Ilf3","COP","P56","Up"
"Zfp384",0.824644017100607,-0.26965859564582,0.444,0.44,1,"Zfp384","COP","P56","Down"
"Atp2c1",0.824699601431014,-0.180780647618427,0.741,0.76,1,"Atp2c1","COP","P56","Down"
"Epn2",0.825839953273035,0.0645464736440795,0.889,0.84,1,"Epn2","COP","P56","Up"
"Ncam1",0.826044909118149,0.0123076359984537,0.963,1,1,"Ncam1","COP","P56","Up"
"Agps",0.826139237967602,-0.0844805867682078,0.296,0.36,1,"Agps","COP","P56","Down"
"Dnajc1",0.826139237967602,0.203754854981864,0.333,0.32,1,"Dnajc1","COP","P56","Up"
"Psip1",0.826601134854004,0.188240938700427,0.593,0.56,1,"Psip1","COP","P56","Up"
"Brd4",0.828313003981556,-0.258802262447174,0.593,0.64,1,"Brd4","COP","P56","Down"
"Atrx",0.828313003981556,-0.126436570622838,0.593,0.64,1,"Atrx","COP","P56","Down"
"Vcpip1",0.828392389900356,0.215392770243479,0.222,0.28,1,"Vcpip1","COP","P56","Up"
"Arfip1",0.828392389900356,0.305225853025055,0.222,0.28,1,"Arfip1","COP","P56","Up"
"Birc2",0.828392389900356,0.00436737321443742,0.222,0.28,1,"Birc2","COP","P56","Up"
"Vps28",0.828392389900356,0.0118312048236661,0.222,0.28,1,"Vps28","COP","P56","Up"
"Napg",0.828392389900356,0.073483444176631,0.222,0.28,1,"Napg","COP","P56","Up"
"Plcg1",0.828392389900356,0.268523275117884,0.259,0.24,1,"Plcg1","COP","P56","Up"
"Ercc2",0.828392389900356,0.486676466374425,0.259,0.24,1,"Ercc2","COP","P56","Up"
"Chst8",0.828392389900356,-0.0431613425800413,0.259,0.24,1,"Chst8","COP","P56","Down"
"Slc38a10",0.828392389900356,0.113621920989488,0.259,0.24,1,"Slc38a10","COP","P56","Up"
"Nhlrc2",0.828392389900356,0.154347516108756,0.259,0.24,1,"Nhlrc2","COP","P56","Up"
"Nol4l",0.829182631544575,-0.144575710005989,0.333,0.36,1,"Nol4l","COP","P56","Down"
"Tnrc6b",0.829182631544575,-0.0501028495720356,0.333,0.36,1,"Tnrc6b","COP","P56","Down"
"Pde4b",0.829490522948543,-0.345699061977003,0.481,0.52,1,"Pde4b","COP","P56","Down"
"Sox4",0.829490522948543,-0.182291395127098,0.481,0.52,1,"Sox4","COP","P56","Down"
"Cep350",0.830609058331606,-0.078906540933097,0.444,0.4,1,"Cep350","COP","P56","Down"
"Aacs",0.830609058331606,0.124444616253184,0.444,0.4,1,"Aacs","COP","P56","Up"
"Gria3",0.830805913806956,0.125533210255936,0.519,0.52,1,"Gria3","COP","P56","Up"
"Mapk8ip1",0.831459477071999,0.192713323941613,0.296,0.32,1,"Mapk8ip1","COP","P56","Up"
"Chp1",0.831459477071999,0.273401577625392,0.296,0.32,1,"Chp1","COP","P56","Up"
"Zc3h3",0.831459477071999,0.287884870420168,0.296,0.32,1,"Zc3h3","COP","P56","Up"
"Arhgap33",0.83199348750882,-0.153498245590394,0.556,0.52,1,"Arhgap33","COP","P56","Down"
"Cnpy2",0.832834413504704,-0.48691656087486,0.259,0.28,1,"Cnpy2","COP","P56","Down"
"Usp14",0.832834413504704,-0.224496483063135,0.259,0.28,1,"Usp14","COP","P56","Down"
"Evi5l",0.832888702894874,0.0419411077046825,0.815,0.88,1,"Evi5l","COP","P56","Up"
"Usp32",0.834361980993389,0.404928893446543,0.333,0.44,1,"Usp32","COP","P56","Up"
"Edf1",0.834361980993389,-0.085395410204818,0.407,0.36,1,"Edf1","COP","P56","Down"
"Spg7",0.834361980993389,-0.199036545167414,0.407,0.36,1,"Spg7","COP","P56","Down"
"Flcn",0.836360831611784,-0.260381762411789,0.63,0.64,1,"Flcn","COP","P56","Down"
"Raph1",0.836569850736774,0.604620732720643,0.37,0.44,1,"Raph1","COP","P56","Up"
"Pcdh10",0.836744833452702,-0.0265872523088389,0.259,0.32,1,"Pcdh10","COP","P56","Down"
"Chd1l",0.836744833452702,0.0864899689020005,0.259,0.32,1,"Chd1l","COP","P56","Up"
"Ift172",0.836744833452702,0.200887043763228,0.259,0.32,1,"Ift172","COP","P56","Up"
"Grcc10",0.836744833452702,0.194921122458329,0.259,0.32,1,"Grcc10","COP","P56","Up"
"Mllt11",0.836744833452702,0.0953976470721175,0.296,0.28,1,"Mllt11","COP","P56","Up"
"Lypla2",0.836744833452702,0.214054036352894,0.296,0.28,1,"Lypla2","COP","P56","Up"
"Stxbp5",0.836744833452702,0.0777488993358229,0.296,0.28,1,"Stxbp5","COP","P56","Up"
"Cbarp",0.836744833452702,0.31691412449594,0.296,0.28,1,"Cbarp","COP","P56","Up"
"Chfr",0.837129804380827,-0.0724901776649965,0.444,0.56,1,"Chfr","COP","P56","Down"
"Tada1",0.837129804380827,-0.257990073751349,0.519,0.48,1,"Tada1","COP","P56","Down"
"Abi2",0.837601430312318,0.126581212423269,0.296,0.4,1,"Abi2","COP","P56","Up"
"Ndufaf4",0.837601430312318,0.144079308728605,0.37,0.32,1,"Ndufaf4","COP","P56","Up"
"Zfp68",0.837601430312318,-0.0381342606984648,0.37,0.32,1,"Zfp68","COP","P56","Down"
"Lrp1b",0.838000785250278,-0.179761606146141,0.704,0.68,1,"Lrp1b","COP","P56","Down"
"Cspp1",0.838561524636563,0.141014879555878,0.407,0.44,1,"Cspp1","COP","P56","Up"
"Setd1b",0.838561524636563,0.0816874868109942,0.407,0.44,1,"Setd1b","COP","P56","Up"
"Prkcb",0.838561524636563,0.810232880395681,0.407,0.44,1,"Prkcb","COP","P56","Up"
"Nsd3",0.839099211858593,-0.0322002221980615,0.704,0.8,1,"Nsd3","COP","P56","Down"
"Agap2",0.839523851895356,-0.194090932678637,0.519,0.56,1,"Agap2","COP","P56","Down"
"Srrm2",0.839592404940751,0.0258423030796557,0.815,0.76,1,"Srrm2","COP","P56","Up"
"Adcy5",0.840207142993884,0.0485079224096928,0.333,0.28,1,"Adcy5","COP","P56","Up"
"Cntn1",0.840360272411202,0.128422670600935,0.407,0.48,1,"Cntn1","COP","P56","Up"
"Fam168a",0.840360272411202,-0.0418621072864925,0.444,0.44,1,"Fam168a","COP","P56","Down"
"Mapk1",0.840360272411202,-0.199271270787004,0.444,0.44,1,"Mapk1","COP","P56","Down"
"Cdh2",0.840360272411202,-0.370563040235989,0.444,0.44,1,"Cdh2","COP","P56","Down"
"Gfpt1",0.841985978664443,0.151965490576035,0.407,0.52,1,"Gfpt1","COP","P56","Up"
"Zdhhc1",0.841995419784289,-0.0488793537037945,0.296,0.24,1,"Zdhhc1","COP","P56","Down"
"Nup214",0.842532649468554,0.376893770188987,0.37,0.4,1,"Nup214","COP","P56","Up"
"Ergic2",0.842532649468554,0.191978563060298,0.37,0.4,1,"Ergic2","COP","P56","Up"
"Ttc7b",0.842532649468554,0.434822158305894,0.37,0.4,1,"Ttc7b","COP","P56","Up"
"Metrn",0.843287448861817,-0.0305011656361007,0.296,0.36,1,"Metrn","COP","P56","Down"
"Xpo7",0.843287448861817,0.167888148066596,0.333,0.32,1,"Xpo7","COP","P56","Up"
"Rab1b",0.843287448861817,0.260471165540845,0.333,0.32,1,"Rab1b","COP","P56","Up"
"Atg2a",0.843287448861817,0.0192963435299186,0.333,0.32,1,"Atg2a","COP","P56","Up"
"Plxnb1",0.843455763802679,0.0795216591326842,0.481,0.48,1,"Plxnb1","COP","P56","Up"
"Nipbl",0.844784473384068,0.487137901422861,0.481,0.52,1,"Nipbl","COP","P56","Up"
"Akr1a1",0.845985067758665,0.137803686424326,0.481,0.56,1,"Akr1a1","COP","P56","Up"
"Rab11fip2",0.845985067758665,-0.0453143703031844,0.481,0.56,1,"Rab11fip2","COP","P56","Down"
"Snx29",0.845985067758665,0.206936100548812,0.519,0.52,1,"Snx29","COP","P56","Up"
"Septin2",0.846038863732759,-0.125401631116741,0.333,0.36,1,"Septin2","COP","P56","Down"
"Tent2",0.846038863732759,-0.284967540450933,0.333,0.36,1,"Tent2","COP","P56","Down"
"Hook1",0.847210392044163,0.0359017538810422,0.222,0.28,1,"Hook1","COP","P56","Up"
"Frmd8",0.847210392044163,0.0154938169793883,0.222,0.28,1,"Frmd8","COP","P56","Up"
"Unc45a",0.847210392044163,-1.22115866188995,0.259,0.24,1,"Unc45a","COP","P56","Down"
"Prpf39",0.847390819641706,0.116320374084758,0.889,0.88,1,"Prpf39","COP","P56","Up"
"Lrp6",0.848046146384724,0.288339478348893,0.519,0.6,1,"Lrp6","COP","P56","Up"
