"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Psmc3",2.31344209304253e-05,-1.78674643946887,0.125,0.455,0.401035186828922,"Psmc3","COP","P08","Down"
"Uty",0.000106737561436227,-1.16728352609783,0.324,0.727,1,"Uty","COP","P08","Down"
"Sptbn2",0.000109113483610871,-2.35613784665747,0.081,0.333,1,"Sptbn2","COP","P08","Down"
"Mapkap1",0.000124226276510542,-2.44092212958402,0.051,0.273,1,"Mapkap1","COP","P08","Down"
"Letm1",0.000240734045459241,-1.11090186004464,0.11,0.394,1,"Letm1","COP","P08","Down"
"Ifrd1",0.000257911079530631,-1.64764413745729,0.169,0.455,1,"Ifrd1","COP","P08","Down"
"Tada2a",0.000274863984434398,-1.24214019381847,0.235,0.576,1,"Tada2a","COP","P08","Down"
"Fscn1",0.000307691516223066,-1.36517161170466,0.25,0.576,1,"Fscn1","COP","P08","Down"
"Zfp365",0.00037923616774951,-0.787222064241319,0.544,0.818,1,"Zfp365","COP","P08","Down"
"Nacad",0.000411427502224778,-1.32037289142079,0.375,0.667,1,"Nacad","COP","P08","Down"
"Thap2",0.000497584413374351,-1.71228001267144,0.11,0.364,1,"Thap2","COP","P08","Down"
"Qser1",0.000511236060318763,-1.68026585335367,0.074,0.303,1,"Qser1","COP","P08","Down"
"Terf1",0.000567912463858681,-1.90682636052769,0.081,0.303,1,"Terf1","COP","P08","Down"
"Git2",0.000649205288369863,-1.00085880992053,0.331,0.667,1,"Git2","COP","P08","Down"
"Tnfsf9",0.000656700051938812,-1.89695366618917,0.066,0.273,1,"Tnfsf9","COP","P08","Down"
"Gtf2h3",0.000732047067201352,-1.80820327127611,0.081,0.303,1,"Gtf2h3","COP","P08","Down"
"Olig2",0.000863748186043872,0.693333951556196,0.949,0.97,1,"Olig2","COP","P08","Up"
"Pi4kb",0.000872078599472781,-1.70436641530078,0.081,0.303,1,"Pi4kb","COP","P08","Down"
"Irs1",0.00103754036400586,-0.882611088327413,0.463,0.788,1,"Irs1","COP","P08","Down"
"Thada",0.00107583488763369,-1.03515585503814,0.279,0.606,1,"Thada","COP","P08","Down"
"Ogfod1",0.00125264807930465,-1.31605797664905,0.162,0.424,1,"Ogfod1","COP","P08","Down"
"Med31",0.00125952145306765,-1.85175767325205,0.088,0.303,1,"Med31","COP","P08","Down"
"Syt11",0.00150753939116665,0.700889909536276,0.86,0.758,1,"Syt11","COP","P08","Up"
"Ap3d1",0.00195125800944584,-0.783138577941135,0.39,0.758,1,"Ap3d1","COP","P08","Down"
"Ptprd",0.00198888595550504,-1.31289581252689,0.147,0.394,1,"Ptprd","COP","P08","Down"
"Erf",0.00215024261692915,1.97855303050938,0.404,0.121,1,"Erf","COP","P08","Up"
"Khdc4",0.00220309697448264,1.05766660604553,0.662,0.364,1,"Khdc4","COP","P08","Up"
"S100a3",0.00248640480981043,-1.31572281006229,0.25,0.545,1,"S100a3","COP","P08","Down"
"Atp1a1",0.0025013366471192,-1.02854549930741,0.301,0.636,1,"Atp1a1","COP","P08","Down"
"Nudc",0.00262430279470762,-1.28214396367721,0.103,0.333,1,"Nudc","COP","P08","Down"
"Pcyt2",0.00283747847589356,-0.672706371264449,0.699,0.848,1,"Pcyt2","COP","P08","Down"
"Eif2s2",0.00302184605560399,-1.85070444658617,0.088,0.273,1,"Eif2s2","COP","P08","Down"
"Ptges3",0.00308934850630978,-1.60223448943626,0.081,0.273,1,"Ptges3","COP","P08","Down"
"Bahcc1",0.00334888403281194,-1.3856711835259,0.103,0.303,1,"Bahcc1","COP","P08","Down"
"Gxylt1",0.00351664109375674,-1.51183269360994,0.125,0.333,1,"Gxylt1","COP","P08","Down"
"Purg",0.00354021972050202,-1.54604671838762,0.221,0.455,1,"Purg","COP","P08","Down"
"Snrpd1",0.00364549870465684,-1.21351320248471,0.228,0.485,1,"Snrpd1","COP","P08","Down"
"Atmin",0.00380952188842872,-1.16616821885234,0.221,0.455,1,"Atmin","COP","P08","Down"
"Epm2aip1",0.00392292577234797,-1.15852397739817,0.257,0.515,1,"Epm2aip1","COP","P08","Down"
"Ttbk2",0.00396111042663559,-1.39326214463762,0.162,0.394,1,"Ttbk2","COP","P08","Down"
"Tubb4a",0.0040490286159687,-0.656896898438391,0.64,0.879,1,"Tubb4a","COP","P08","Down"
"Slc25a44",0.00425807960361066,-1.04133679413787,0.235,0.515,1,"Slc25a44","COP","P08","Down"
