"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Zfc3h1",0.000248108312471722,-2.47338701437158,0.143,0.938,1,"Zfc3h1","NFOL","P56","Down"
"Ppp2r5a",0.000438958112929162,1.95770820530635,0.929,0.438,1,"Ppp2r5a","NFOL","P56","Up"
"Seh1l",0.000575104730118172,-3.9777173033358,0,0.625,1,"Seh1l","NFOL","P56","Down"
"Capn5",0.000601144904475892,1.48203240805167,1,0.812,1,"Capn5","NFOL","P56","Up"
"Cacna2d1",0.000670741480467407,1.96477444063143,1,0.625,1,"Cacna2d1","NFOL","P56","Up"
"Oga",0.000954161562309655,1.51790700812299,0.929,0.438,1,"Oga","NFOL","P56","Up"
"Nfia",0.00135326375743405,-4.10818615035766,0,0.562,1,"Nfia","NFOL","P56","Down"
"Rnmt",0.00135326375743405,-4.07601004557128,0,0.562,1,"Rnmt","NFOL","P56","Down"
"Pum3",0.00135326375743405,-4.15022176353214,0,0.562,1,"Pum3","NFOL","P56","Down"
"Kcna2",0.00165756574489666,1.27225748948382,1,0.688,1,"Kcna2","NFOL","P56","Up"
"Pde4dip",0.00210751234060708,-1.67704912737117,0.5,1,1,"Pde4dip","NFOL","P56","Down"
"Zfp280c",0.00257657761508939,0.938192994962118,1,0.875,1,"Zfp280c","NFOL","P56","Up"
"Arnt2",0.0030392533024735,-3.75497341379836,0,0.5,1,"Arnt2","NFOL","P56","Down"
"Ppp4c",0.0030392533024735,-3.5864993420053,0,0.5,1,"Ppp4c","NFOL","P56","Down"
"Ptpre",0.0030392533024735,-4.57167851326025,0,0.5,1,"Ptpre","NFOL","P56","Down"
"Snx15",0.00337818617620617,0.967269572047399,1,0.875,1,"Snx15","NFOL","P56","Up"
"Pxn",0.00346774289145737,-3.65899309518543,0.071,0.562,1,"Pxn","NFOL","P56","Down"
"Dym",0.00346774289145737,-3.0533572965389,0.071,0.562,1,"Dym","NFOL","P56","Down"
"Apba1",0.00361223018225805,-2.58961290577773,0.214,0.75,1,"Apba1","NFOL","P56","Down"
"Alkbh6",0.00471765533236786,3.8646959884974,0.429,0,1,"Alkbh6","NFOL","P56","Up"
"Hdgfl3",0.00471765533236786,4.35713883333767,0.429,0,1,"Hdgfl3","NFOL","P56","Up"
"Tmed9",0.00474534838989729,-2.94510195107969,0.071,0.562,1,"Tmed9","NFOL","P56","Down"
"Acap2",0.00553224160784661,-3.36511377314684,0.071,0.562,1,"Acap2","NFOL","P56","Down"
"Ppp6r1",0.00559510218351456,0.950277530755312,1,0.688,1,"Ppp6r1","NFOL","P56","Up"
"Ppp4r3b",0.00566156339489189,-2.31456668927152,0.071,0.625,1,"Ppp4r3b","NFOL","P56","Down"
"Mmd2",0.00608808649029896,2.45566233298037,0.571,0.062,1,"Mmd2","NFOL","P56","Up"
"Phtf1",0.0061333834283502,-1.98209812297894,0.286,0.75,1,"Phtf1","NFOL","P56","Down"
"Khdrbs1",0.00628638453750107,-1.91068913291802,0.214,0.75,1,"Khdrbs1","NFOL","P56","Down"
"Carhsp1",0.00629683470640993,1.30598701275578,0.857,0.5,1,"Carhsp1","NFOL","P56","Up"
"Dbndd2",0.00641254824474722,-1.19288403432522,0.714,1,1,"Dbndd2","NFOL","P56","Down"
"Pdlim5",0.00654216582571925,-3.96685196454911,0,0.438,1,"Pdlim5","NFOL","P56","Down"
"Thap3",0.00654216582571925,-3.79981555784243,0,0.438,1,"Thap3","NFOL","P56","Down"
"Xpot",0.00654216582571925,-3.71143001099343,0,0.438,1,"Xpot","NFOL","P56","Down"
"Nol10",0.00654216582571925,-3.70091204294672,0,0.438,1,"Nol10","NFOL","P56","Down"
"Zkscan8",0.00654216582571925,-3.9397969800809,0,0.438,1,"Zkscan8","NFOL","P56","Down"
"Rangap1",0.00654216582571925,-3.60973755401871,0,0.438,1,"Rangap1","NFOL","P56","Down"
"Rdx",0.00679350267542476,1.26997335615072,0.786,0.5,1,"Rdx","NFOL","P56","Up"
"Abca2",0.00733366380984084,0.602901228585769,1,1,1,"Abca2","NFOL","P56","Up"
"Cnksr3",0.00733366380984084,0.847187888285048,1,1,1,"Cnksr3","NFOL","P56","Up"
"Mbp",0.00733366380984084,0.349784933548105,1,1,1,"Mbp","NFOL","P56","Up"
"Omg",0.00746829498553407,-2.64630592537586,0.071,0.562,1,"Omg","NFOL","P56","Down"
"Lrp10",0.00746829498553407,-2.59767517832777,0.071,0.562,1,"Lrp10","NFOL","P56","Down"
"Zeb2",0.00829721246456366,0.636289038904561,1,1,1,"Zeb2","NFOL","P56","Up"
"Orc5",0.00888012457705951,2.56942484532719,0.5,0.062,1,"Orc5","NFOL","P56","Up"
"Ccar1",0.00893590838892688,1.12438677438938,0.857,0.688,1,"Ccar1","NFOL","P56","Up"
"Dnajc7",0.00908027483988809,-1.89598990081321,0.286,0.75,1,"Dnajc7","NFOL","P56","Down"
"Metrn",0.00909841287301501,-1.28713444536516,0.714,0.875,1,"Metrn","NFOL","P56","Down"
"Bzw1",0.00942677023621258,1.89416858133636,0.643,0.25,1,"Bzw1","NFOL","P56","Up"
"Rprd2",0.0101100377897629,1.69924923576379,0.643,0.312,1,"Rprd2","NFOL","P56","Up"
"Tsc2",0.0103125886041932,-1.65732573658782,0.286,0.75,1,"Tsc2","NFOL","P56","Down"
"Ptov1",0.010392482371757,-1.57643300979129,0.429,0.875,1,"Ptov1","NFOL","P56","Down"
"Zxdc",0.010526642245948,-2.27635101017833,0.143,0.625,1,"Zxdc","NFOL","P56","Down"
"Abhd17b",0.010535874142821,1.01267805417542,0.929,0.875,1,"Abhd17b","NFOL","P56","Up"
"Akap11",0.0106268249341762,-1.6697325998023,0.214,0.75,1,"Akap11","NFOL","P56","Down"
"Zfp532",0.0111287786549476,-0.766863424161815,0.786,0.938,1,"Zfp532","NFOL","P56","Down"
"Zfp687",0.0111515067796961,-2.60176311778318,0.071,0.5,1,"Zfp687","NFOL","P56","Down"
"Sgk1",0.0111515067796961,-3.71023937405657,0.071,0.5,1,"Sgk1","NFOL","P56","Down"
"Dvl3",0.0112587436047793,1.55368512174168,0.643,0.188,1,"Dvl3","NFOL","P56","Up"
"Arl6ip6",0.0114398894563198,3.84972068928576,0.357,0,1,"Arl6ip6","NFOL","P56","Up"
"Chchd7",0.0114398894563198,3.4956815096807,0.357,0,1,"Chchd7","NFOL","P56","Up"
"Tpst2",0.0114398894563198,3.7871118984966,0.357,0,1,"Tpst2","NFOL","P56","Up"
"Ccdc13",0.0114398894563198,3.79329340425456,0.357,0,1,"Ccdc13","NFOL","P56","Up"
"Mblac2",0.0114398894563198,3.59834477076567,0.357,0,1,"Mblac2","NFOL","P56","Up"
"Pdcd4",0.0115067942972351,-3.55444639146643,0.214,0.688,1,"Pdcd4","NFOL","P56","Down"
"Zfp26",0.0115177474262517,-2.17575514890713,0.071,0.562,1,"Zfp26","NFOL","P56","Down"
"Napg",0.0115177474262517,-1.74789847379763,0.071,0.562,1,"Napg","NFOL","P56","Down"
"Hcn2",0.0115311598928159,-2.77644489337447,0.143,0.562,1,"Hcn2","NFOL","P56","Down"
"Togaram1",0.0120357105819015,-1.97128870270036,0.143,0.625,1,"Togaram1","NFOL","P56","Down"
"Maz",0.012455963580363,-0.43181372811761,0.357,0.938,1,"Maz","NFOL","P56","Down"
"Fmnl2",0.0125288542021655,1.34915288284859,0.857,0.625,1,"Fmnl2","NFOL","P56","Up"
"Itgav",0.0128954375725585,-2.56892268180057,0.071,0.5,1,"Itgav","NFOL","P56","Down"
"Gtf3a",0.0128954375725585,-2.44577575700074,0.071,0.5,1,"Gtf3a","NFOL","P56","Down"
"Hmces",0.0128954375725585,-2.90449405057739,0.071,0.5,1,"Hmces","NFOL","P56","Down"
"Polr2a",0.0128954375725585,-2.804918997793,0.071,0.5,1,"Polr2a","NFOL","P56","Down"
"Tpgs2",0.0128954375725585,-2.62554782473826,0.071,0.5,1,"Tpgs2","NFOL","P56","Down"
"Rell1",0.0132099427108984,2.56669853922471,0.571,0.188,1,"Rell1","NFOL","P56","Up"
"Keap1",0.0132099427108984,2.25802739776414,0.571,0.188,1,"Keap1","NFOL","P56","Up"
"Ogfr",0.0135576567032415,-3.39283416992697,0,0.375,1,"Ogfr","NFOL","P56","Down"
"Crtc2",0.0135576567032415,-3.65430652988373,0,0.375,1,"Crtc2","NFOL","P56","Down"
"Prkab2",0.0135576567032415,-3.45024902892766,0,0.375,1,"Prkab2","NFOL","P56","Down"
"Tln1",0.0135576567032415,-3.56494454502442,0,0.375,1,"Tln1","NFOL","P56","Down"
"Vwa1",0.0135576567032415,-3.60392100206346,0,0.375,1,"Vwa1","NFOL","P56","Down"
"Zfp113",0.0135576567032415,-3.51079011043367,0,0.375,1,"Zfp113","NFOL","P56","Down"
"Iqce",0.0135576567032415,-3.44851841212583,0,0.375,1,"Iqce","NFOL","P56","Down"
"Ampd3",0.0135576567032415,-3.58532446951316,0,0.375,1,"Ampd3","NFOL","P56","Down"
"Thumpd1",0.0135576567032415,-3.16947834357451,0,0.375,1,"Thumpd1","NFOL","P56","Down"
"Tent4b",0.0135576567032415,-3.33684642096118,0,0.375,1,"Tent4b","NFOL","P56","Down"
"Klhdc4",0.0135576567032415,-3.41791720761015,0,0.375,1,"Klhdc4","NFOL","P56","Down"
"Eif3g",0.0135576567032415,-3.58200476725733,0,0.375,1,"Eif3g","NFOL","P56","Down"
"Nt5m",0.0135576567032415,-3.45868169313288,0,0.375,1,"Nt5m","NFOL","P56","Down"
"Bphl",0.0135576567032415,-3.22623710077173,0,0.375,1,"Bphl","NFOL","P56","Down"
"Ercc6l2",0.0135576567032415,-3.59113220405703,0,0.375,1,"Ercc6l2","NFOL","P56","Down"
"Ftl1-ps1",0.0135576567032415,-3.75612830903301,0,0.375,1,"Ftl1-ps1","NFOL","P56","Down"
"Pacsin2",0.0135576567032415,-3.68654680356421,0,0.375,1,"Pacsin2","NFOL","P56","Down"
"Tmbim6",0.0135576567032415,-3.31731863299126,0,0.375,1,"Tmbim6","NFOL","P56","Down"
"Trim8",0.0135576567032415,-3.55961962285057,0,0.375,1,"Trim8","NFOL","P56","Down"
"Afap1l2",0.0135576567032415,-3.66890847909304,0,0.375,1,"Afap1l2","NFOL","P56","Down"
"Atpsckmt",0.0146591906716981,1.83445497675522,0.643,0.188,1,"Atpsckmt","NFOL","P56","Up"
"Tfb2m",0.0147298683490147,3.05558207276154,0.429,0.062,1,"Tfb2m","NFOL","P56","Up"
"Synj1",0.0148231109554681,-1.85888512610684,0.214,0.688,1,"Synj1","NFOL","P56","Down"
"Prepl",0.0148231109554681,1.56546621163793,0.643,0.312,1,"Prepl","NFOL","P56","Up"
"Naxd",0.0148764468908972,-2.43335436541597,0.071,0.5,1,"Naxd","NFOL","P56","Down"
"Dnm3",0.0149759587562357,-1.44625025481264,0.786,1,1,"Dnm3","NFOL","P56","Down"
"Bmp1",0.0150208008300602,-0.707742852993069,0.929,1,1,"Bmp1","NFOL","P56","Down"
"Stk11",0.0151012804222791,-2.35011539790024,0.143,0.562,1,"Stk11","NFOL","P56","Down"
"Bmpr2",0.0154589070020652,2.15746698323564,0.643,0.375,1,"Bmpr2","NFOL","P56","Up"
"Dnajc13",0.0158489214184934,-1.89555692090044,0.214,0.625,1,"Dnajc13","NFOL","P56","Down"
"Cdk13",0.0161396268888223,1.11280241671377,0.786,0.438,1,"Cdk13","NFOL","P56","Up"
"Cyp20a1",0.0167774619091844,-1.83677787451452,0.214,0.688,1,"Cyp20a1","NFOL","P56","Down"
"Pcdhgb5",0.0167774619091844,-1.34833577025555,0.214,0.688,1,"Pcdhgb5","NFOL","P56","Down"
"Rela",0.0167774619091844,-1.75506107195101,0.214,0.688,1,"Rela","NFOL","P56","Down"
"Gjc3",0.0168343125144678,-0.784850168657906,1,1,1,"Gjc3","NFOL","P56","Down"
"Wdr13",0.017113373259178,1.38315001033621,0.714,0.5,1,"Wdr13","NFOL","P56","Up"
"Kif3c",0.0171208579679284,-2.71531736144193,0.071,0.5,1,"Kif3c","NFOL","P56","Down"
"Eif3a",0.0171208579679284,-2.55822384597313,0.071,0.5,1,"Eif3a","NFOL","P56","Down"
"D3Ertd751e",0.0171775367735904,2.54491072660289,0.429,0.062,1,"D3Ertd751e","NFOL","P56","Up"
"Zfp788",0.0171775367735904,2.6761113509116,0.429,0.062,1,"Zfp788","NFOL","P56","Up"
"Slc25a35",0.0171775367735904,2.48147180715232,0.429,0.062,1,"Slc25a35","NFOL","P56","Up"
"Atl1",0.0171775367735904,2.95343786550163,0.429,0.062,1,"Atl1","NFOL","P56","Up"
"Synj2bp",0.0172271583212071,-2.19454951042362,0.143,0.562,1,"Synj2bp","NFOL","P56","Down"
"Srrm2",0.0172783993985222,1.39599121233854,0.857,0.562,1,"Srrm2","NFOL","P56","Up"
"Rims2",0.0176843605991568,0.871217097464573,0.929,0.812,1,"Rims2","NFOL","P56","Up"
"Dnm1",0.0177402983859835,1.62199336554102,0.857,0.625,1,"Dnm1","NFOL","P56","Up"
"Tut4",0.0179607586680239,-1.4212342436839,0.143,0.688,1,"Tut4","NFOL","P56","Down"
"Hspa1b",0.0179607586680239,-0.452407417430732,0.143,0.688,1,"Hspa1b","NFOL","P56","Down"
"Vipas39",0.0179607586680239,1.67097113618562,0.643,0.25,1,"Vipas39","NFOL","P56","Up"
"Zfyve16",0.0179918193427589,1.32780922051315,0.714,0.562,1,"Zfyve16","NFOL","P56","Up"
"Fbxl5",0.0183769629597943,-1.00068430334021,0.714,0.875,1,"Fbxl5","NFOL","P56","Down"
"Ndufs2",0.0185736715137224,-0.856551103201152,0.714,0.938,1,"Ndufs2","NFOL","P56","Down"
"Ece1",0.0187920093225253,-2.70841831856334,0.071,0.438,1,"Ece1","NFOL","P56","Down"
"Ier3ip1",0.0187920093225253,-2.63819342172913,0.071,0.438,1,"Ier3ip1","NFOL","P56","Down"
"Nckap5",0.0188240402568339,0.886044990156537,1,0.875,1,"Nckap5","NFOL","P56","Up"
"Galnt1",0.0189544776739179,1.75660039673877,0.643,0.312,1,"Galnt1","NFOL","P56","Up"
"Erf",0.0194356867241438,1.06515711200262,0.929,0.688,1,"Erf","NFOL","P56","Up"
"Vat1",0.0196111361953336,-2.7606050501599,0.143,0.562,1,"Vat1","NFOL","P56","Down"
"Kif13b",0.0196111361953336,-2.18197456164595,0.143,0.562,1,"Kif13b","NFOL","P56","Down"
"Gmpr2",0.0201603517562749,-1.79555457523199,0.143,0.625,1,"Gmpr2","NFOL","P56","Down"
"Spata2",0.0201705770177856,-1.38077100802615,0.429,0.812,1,"Spata2","NFOL","P56","Down"
"Omp",0.0201705770177856,1.63557373428599,0.714,0.562,1,"Omp","NFOL","P56","Up"
"Nptn",0.0203151365117416,-1.9312414772233,0.214,0.625,1,"Nptn","NFOL","P56","Down"
"Usp54",0.0203151365117416,-2.19356443670958,0.214,0.625,1,"Usp54","NFOL","P56","Down"
"Nacad",0.021031295598813,0.883157976064977,1,0.875,1,"Nacad","NFOL","P56","Up"
"Hsd17b8",0.0222783681915705,1.57063412462491,0.571,0.188,1,"Hsd17b8","NFOL","P56","Up"
"Nudcd3",0.02251533394077,-1.94114379883629,0.071,0.5,1,"Nudcd3","NFOL","P56","Down"
"Neu1",0.02251533394077,-2.39153320445553,0.071,0.5,1,"Neu1","NFOL","P56","Down"
"Ptger1",0.0226825422665941,-3.22081489516962,0.286,0.625,1,"Ptger1","NFOL","P56","Down"
"Ccdc84",0.0228212576602001,1.92127696258676,0.571,0.25,1,"Ccdc84","NFOL","P56","Up"
"Usp47",0.0240594896525583,-1.52188344484097,0.214,0.688,1,"Usp47","NFOL","P56","Down"
"Anapc2",0.0241092490741587,-1.37818192392031,0.429,0.75,1,"Anapc2","NFOL","P56","Down"
"Macf1",0.024761654481185,-1.37209865493877,0.571,0.875,1,"Macf1","NFOL","P56","Down"
"Prkcq",0.0248501012953705,-1.49569977727122,0.286,0.688,1,"Prkcq","NFOL","P56","Down"
"Lrp1b",0.0248501012953705,-1.88640857571169,0.286,0.688,1,"Lrp1b","NFOL","P56","Down"
"Larp4b",0.0248501012953705,-1.45108367496525,0.286,0.688,1,"Larp4b","NFOL","P56","Down"
"Psmd6",0.0248501012953705,-1.78052521551601,0.286,0.688,1,"Psmd6","NFOL","P56","Down"
"Terf1",0.0249077800578763,-2.26972800870648,0.071,0.438,1,"Terf1","NFOL","P56","Down"
"Pou2f1",0.0249077800578763,-2.75053914228058,0.071,0.438,1,"Pou2f1","NFOL","P56","Down"
"Tmem150a",0.0252556094777463,-2.08621581466414,0.143,0.562,1,"Tmem150a","NFOL","P56","Down"
"Klhl7",0.0257282674316855,-1.74300984886294,0.071,0.5,1,"Klhl7","NFOL","P56","Down"
"Dhx57",0.0257282674316855,-1.88868924289093,0.071,0.5,1,"Dhx57","NFOL","P56","Down"
"Tmtc1",0.0257282674316855,2.14668900761367,0.5,0.125,1,"Tmtc1","NFOL","P56","Up"
"Utp18",0.0257282674316855,2.0219539062898,0.5,0.125,1,"Utp18","NFOL","P56","Up"
"Vti1a",0.025842125815978,-1.67116043738434,0.214,0.625,1,"Vti1a","NFOL","P56","Down"
"Atp6v0a2",0.0261301603537667,-0.797350579362373,0.857,1,1,"Atp6v0a2","NFOL","P56","Down"
"Ankrd16",0.026711920346649,3.28417273659345,0.286,0,1,"Ankrd16","NFOL","P56","Up"
"Pex11b",0.026711920346649,3.18636796893745,0.286,0,1,"Pex11b","NFOL","P56","Up"
"Dcdc2b",0.026711920346649,3.39486361216298,0.286,0,1,"Dcdc2b","NFOL","P56","Up"
"Ccni",0.026711920346649,3.21811507938772,0.286,0,1,"Ccni","NFOL","P56","Up"
"Dtx1",0.026711920346649,3.28584495323472,0.286,0,1,"Dtx1","NFOL","P56","Up"
"Tpra1",0.026711920346649,3.1342188106076,0.286,0,1,"Tpra1","NFOL","P56","Up"
"Hnrnpf",0.026711920346649,3.12065171792923,0.286,0,1,"Hnrnpf","NFOL","P56","Up"
"Amn1",0.026711920346649,3.37315032737497,0.286,0,1,"Amn1","NFOL","P56","Up"
"Nek3",0.026711920346649,3.51236815301071,0.286,0,1,"Nek3","NFOL","P56","Up"
"Vps26a",0.026711920346649,3.36698642871148,0.286,0,1,"Vps26a","NFOL","P56","Up"
"Ormdl2",0.026711920346649,3.55426970259835,0.286,0,1,"Ormdl2","NFOL","P56","Up"
"Sult4a1",0.026711920346649,3.41918059499799,0.286,0,1,"Sult4a1","NFOL","P56","Up"
"Dbx2",0.026711920346649,4.34430817753588,0.286,0,1,"Dbx2","NFOL","P56","Up"
"Cox15",0.026711920346649,3.43156641668745,0.286,0,1,"Cox15","NFOL","P56","Up"
"Fbxw8",0.0269373750175275,-1.1586430977628,0.286,0.875,1,"Fbxw8","NFOL","P56","Down"
"Rhou",0.0270320715983899,1.33717831748144,0.643,0.312,1,"Rhou","NFOL","P56","Up"
"Cops8",0.0271854728668964,-2.90127365275301,0,0.312,1,"Cops8","NFOL","P56","Down"
"Dnttip1",0.0271854728668964,-2.89434720108934,0,0.312,1,"Dnttip1","NFOL","P56","Down"
"Thbs3",0.0271854728668964,-3.06541272294858,0,0.312,1,"Thbs3","NFOL","P56","Down"
"Rtca",0.0271854728668964,-3.29118390107217,0,0.312,1,"Rtca","NFOL","P56","Down"
"Znhit6",0.0271854728668964,-2.93562388386166,0,0.312,1,"Znhit6","NFOL","P56","Down"
"Gnai1",0.0271854728668964,-3.19297700154137,0,0.312,1,"Gnai1","NFOL","P56","Down"
"Hadha",0.0271854728668964,-3.0881198201968,0,0.312,1,"Hadha","NFOL","P56","Down"
"Trmt44",0.0271854728668964,-3.28386845703465,0,0.312,1,"Trmt44","NFOL","P56","Down"
"Wfs1",0.0271854728668964,-3.07235171557411,0,0.312,1,"Wfs1","NFOL","P56","Down"
"Pot1a",0.0271854728668964,-3.16088716739895,0,0.312,1,"Pot1a","NFOL","P56","Down"
"Plekha8",0.0271854728668964,-3.24157786474112,0,0.312,1,"Plekha8","NFOL","P56","Down"
"Abtb1",0.0271854728668964,-3.26485232676989,0,0.312,1,"Abtb1","NFOL","P56","Down"
"Akt2",0.0271854728668964,-3.17217958995447,0,0.312,1,"Akt2","NFOL","P56","Down"
