"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Tspan3",0.000161382513030658,-1.03453704808953,0.45,0.826,1,"Tspan3","MFOL","P56","Down"
"Btbd9",0.000383295302510846,-1.98386137943819,0.117,0.435,1,"Btbd9","MFOL","P56","Down"
"Pip5k1a",0.000563142040518446,-1.85276768598369,0.1,0.391,1,"Pip5k1a","MFOL","P56","Down"
"Arl3",0.000589020318983725,-2.70642437471376,0.067,0.326,1,"Arl3","MFOL","P56","Down"
"Herc4",0.00068930846630847,-1.17910842579301,0.383,0.674,1,"Herc4","MFOL","P56","Down"
"Kctd17",0.00102122660540497,-0.773021277464284,0.217,0.565,1,"Kctd17","MFOL","P56","Down"
"Rcan2",0.00119382388137652,-2.57978235545461,0.067,0.304,1,"Rcan2","MFOL","P56","Down"
"Herpud1",0.00129514036142869,1.66327392495865,0.567,0.304,1,"Herpud1","MFOL","P56","Up"
"Fdxr",0.00137777781036378,-1.93445629487465,0.117,0.391,1,"Fdxr","MFOL","P56","Down"
"Ndufc2",0.00171122762192842,-1.68689244458373,0.133,0.391,1,"Ndufc2","MFOL","P56","Down"
"Fam219a",0.00174038077155528,-1.85325982674653,0.117,0.37,1,"Fam219a","MFOL","P56","Down"
"Cog1",0.00174357229563141,-1.29462928475594,0.117,0.391,1,"Cog1","MFOL","P56","Down"
"Rab11fip2",0.00180588235940565,-1.04561933112163,0.317,0.674,1,"Rab11fip2","MFOL","P56","Down"
"Rpap2",0.0018478155347502,-1.76957755966062,0.067,0.304,1,"Rpap2","MFOL","P56","Down"
"Cnot7",0.00189329334250692,1.15148015901013,0.65,0.457,1,"Cnot7","MFOL","P56","Up"
"Cacnb4",0.00191299796343119,0.57768233506403,0.933,0.826,1,"Cacnb4","MFOL","P56","Up"
"Mta2",0.00197727802336619,1.43233843714559,0.533,0.326,1,"Mta2","MFOL","P56","Up"
"Usp20",0.00221300337494787,-1.15299269529035,0.2,0.5,1,"Usp20","MFOL","P56","Down"
"Pcdhga7",0.00226770339785256,-1.41569068116918,0.183,0.457,1,"Pcdhga7","MFOL","P56","Down"
"Necap1",0.00232731016384879,-2.50144530652138,0.05,0.261,1,"Necap1","MFOL","P56","Down"
"Spg11",0.00233921970992748,-1.24824969347457,0.133,0.413,1,"Spg11","MFOL","P56","Down"
"Ccdc127",0.00249540021784128,-2.00083119087323,0.05,0.261,1,"Ccdc127","MFOL","P56","Down"
"Anks3",0.00259802888577648,-1.26738149148728,0.2,0.478,1,"Anks3","MFOL","P56","Down"
"Tbpl1",0.00261168327408116,-1.49971754026057,0.133,0.413,1,"Tbpl1","MFOL","P56","Down"
"Wsb1",0.00277565616968365,1.11473065704729,0.617,0.413,1,"Wsb1","MFOL","P56","Up"
"N4bp2l1",0.00280283652739307,-2.18841983951103,0.083,0.304,1,"N4bp2l1","MFOL","P56","Down"
"Ralyl",0.00289670440263262,-2.03631816788077,0.067,0.283,1,"Ralyl","MFOL","P56","Down"
"Wwox",0.00289670440263262,-2.15746396442318,0.067,0.283,1,"Wwox","MFOL","P56","Down"
"Ccdc174",0.00292880188998271,-1.61341019683173,0.15,0.413,1,"Ccdc174","MFOL","P56","Down"
"Wfikkn1",0.00319260674714142,-2.21807254930197,0.067,0.283,1,"Wfikkn1","MFOL","P56","Down"
"Nucb1",0.00342440901383124,-1.36380330794626,0.133,0.413,1,"Nucb1","MFOL","P56","Down"
"Hmbox1",0.00346433657298368,1.91860098309599,0.417,0.196,1,"Hmbox1","MFOL","P56","Up"
"Acaa1a",0.00347967590572134,-1.75944110185611,0.083,0.304,1,"Acaa1a","MFOL","P56","Down"
