"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Spg7",0.889363967650039,0.00972911482134409,0.485,0.502,1,"Spg7","OPC_1","P08","Up"
"Taf1d",0.88939866788123,0.0445509511661644,0.37,0.384,1,"Taf1d","OPC_1","P08","Up"
"Lrrc7",0.889803261076474,0.0358815927684786,0.439,0.449,1,"Lrrc7","OPC_1","P08","Up"
"Setd3",0.891237499513537,-0.0103288967724224,0.348,0.351,1,"Setd3","OPC_1","P08","Down"
"Xpr1",0.892325390865078,0.0240534900423128,0.378,0.404,1,"Xpr1","OPC_1","P08","Up"
"Trafd1",0.893956819138571,0.064862820450414,0.33,0.347,1,"Trafd1","OPC_1","P08","Up"
"Cyth2",0.894538049800106,-0.0841978953611599,0.249,0.257,1,"Cyth2","OPC_1","P08","Down"
"Pcdhgb4",0.894609040808987,0.0581425931482012,0.336,0.347,1,"Pcdhgb4","OPC_1","P08","Up"
"Rab3c",0.895408627734564,-0.0536292397900713,0.394,0.38,1,"Rab3c","OPC_1","P08","Down"
"Gprasp1",0.895650080119771,0.0398647559387109,0.508,0.527,1,"Gprasp1","OPC_1","P08","Up"
"Smoc1",0.89567615249533,0.097784634704519,0.537,0.559,1,"Smoc1","OPC_1","P08","Up"
"Ppp6r1",0.896112346810231,0.108508720863812,0.308,0.322,1,"Ppp6r1","OPC_1","P08","Up"
"Eif4g3",0.897149051673938,-0.0229549472368471,0.723,0.767,1,"Eif4g3","OPC_1","P08","Down"
"Atp1b2",0.897597868709693,-0.024716545889758,0.498,0.518,1,"Atp1b2","OPC_1","P08","Down"
"Abhd17b",0.89787854438396,-0.0189893026058388,0.432,0.433,1,"Abhd17b","OPC_1","P08","Down"
"Plekhn1",0.898445288958063,-0.0174319673875162,0.376,0.384,1,"Plekhn1","OPC_1","P08","Down"
"Psmd1",0.899063513314341,0.0497159515129273,0.277,0.282,1,"Psmd1","OPC_1","P08","Up"
"Ergic2",0.899103261138218,-0.00115362316711326,0.26,0.269,1,"Ergic2","OPC_1","P08","Down"
"Tmem255b",0.899609994956622,0.0795090980152693,0.498,0.51,1,"Tmem255b","OPC_1","P08","Up"
"Eps8",0.899836483141869,0.0217372396031744,0.324,0.335,1,"Eps8","OPC_1","P08","Up"
"Gramd1a",0.900086742916046,-0.029995828028758,0.474,0.49,1,"Gramd1a","OPC_1","P08","Down"
"Slc8a2",0.900896731875339,0.0307323550637352,0.343,0.363,1,"Slc8a2","OPC_1","P08","Up"
"Gfra1",0.901186121669693,0.0372426234864051,0.383,0.396,1,"Gfra1","OPC_1","P08","Up"
"Itsn1",0.901418469024919,0.101427049313568,0.36,0.376,1,"Itsn1","OPC_1","P08","Up"
"Rcn1",0.901655127366951,0.0291142161210342,0.275,0.286,1,"Rcn1","OPC_1","P08","Up"
"Srsf9",0.902694782368173,0.0817013762075004,0.317,0.343,1,"Srsf9","OPC_1","P08","Up"
"Zfp687",0.902724547859987,0.0534830099153372,0.252,0.257,1,"Zfp687","OPC_1","P08","Up"
"Erlec1",0.903651944758689,0.106344844865038,0.33,0.355,1,"Erlec1","OPC_1","P08","Up"
"Tmed7",0.903748443320759,0.0477489426191898,0.282,0.294,1,"Tmed7","OPC_1","P08","Up"
"Cacng4",0.906207681082486,-0.0242344973670487,0.649,0.665,1,"Cacng4","OPC_1","P08","Down"
"Washc4",0.906226233236208,0.0486185817094908,0.253,0.261,1,"Washc4","OPC_1","P08","Up"
"Glrx2",0.907268245331302,-0.00959049524408745,0.262,0.265,1,"Glrx2","OPC_1","P08","Down"
"Ddr1",0.90729078281435,0.0226990582668447,0.316,0.331,1,"Ddr1","OPC_1","P08","Up"
"Sema3d",0.9079694501104,0.0662679126500109,0.29,0.306,1,"Sema3d","OPC_1","P08","Up"
"Ppp6r2",0.908311073543842,-0.113551619244651,0.499,0.49,1,"Ppp6r2","OPC_1","P08","Down"
"Ddx17",0.908443995057584,0.0107150427269471,0.954,0.967,1,"Ddx17","OPC_1","P08","Up"
"Tm7sf3",0.908492304240278,-0.0121380440174677,0.337,0.335,1,"Tm7sf3","OPC_1","P08","Down"
"Jam3",0.908570512265626,0.063066051924947,0.314,0.322,1,"Jam3","OPC_1","P08","Up"
"Ski",0.909712458093732,0.11213245284958,0.255,0.257,1,"Ski","OPC_1","P08","Up"
"Preb",0.910028120992696,-0.0461963058688699,0.34,0.343,1,"Preb","OPC_1","P08","Down"
