"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Lrrn1",4.41972543532242e-06,-0.898489960561425,0.436,0.712,0.0766159404213141,"Lrrn1","OPC","P56","Down"
"Man2b2",5.34946233433866e-06,-1.6288914938555,0.107,0.333,0.0927329295657607,"Man2b2","OPC","P56","Down"
"Ptn",1.86734320850634e-05,-0.504055077363474,0.812,0.917,0.323703945194573,"Ptn","OPC","P56","Down"
"Tmem86a",3.91629155211211e-05,-1.40845791825091,0.101,0.303,0.678889140558635,"Tmem86a","OPC","P56","Down"
"Apoe",8.05870566559281e-05,-0.437318724365783,0.906,0.962,1,"Apoe","OPC","P56","Down"
"Apc",0.000126582703244287,-0.743378402762941,0.322,0.583,1,"Apc","OPC","P56","Down"
"Tspan7",0.000135524500754942,-0.476301837356699,0.658,0.871,1,"Tspan7","OPC","P56","Down"
"Traf4",0.000167435763312196,-0.796569449146216,0.416,0.659,1,"Traf4","OPC","P56","Down"
"Ano4",0.000212839934364198,1.59961438557876,0.416,0.227,1,"Ano4","OPC","P56","Up"
"Gabbr1",0.000212938052655067,-0.642597535187923,0.456,0.697,1,"Gabbr1","OPC","P56","Down"
"Scg5",0.000225050373596712,-0.669914035931314,0.416,0.659,1,"Scg5","OPC","P56","Down"
"Spock2",0.000259651951466854,-0.735056404324351,0.409,0.621,1,"Spock2","OPC","P56","Down"
"Rsrp1",0.000482339113001505,-0.734961073204769,0.57,0.712,1,"Rsrp1","OPC","P56","Down"
"Mapk9",0.000661734664808366,-0.745594413297254,0.248,0.485,1,"Mapk9","OPC","P56","Down"
"Stx12",0.000675287991816228,-1.25557925944488,0.087,0.25,1,"Stx12","OPC","P56","Down"
"Pmpca",0.000744724843410374,-1.02337719158641,0.168,0.356,1,"Pmpca","OPC","P56","Down"
"Ascc2",0.000851661133043464,-1.35663891986646,0.094,0.25,1,"Ascc2","OPC","P56","Down"
"Smyd2",0.00101865851070357,-0.89427245056899,0.141,0.326,1,"Smyd2","OPC","P56","Down"
"Zbed4",0.00108979913478035,-1.13341430798765,0.134,0.288,1,"Zbed4","OPC","P56","Down"
"Cavin4",0.00125640412203182,-1.0092642219156,0.121,0.28,1,"Cavin4","OPC","P56","Down"
