"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Plekhf1",5.99264152243423e-06,1.45209203642902,0.644,0.372,0.103882440791397,"Plekhf1","COP","P23","Up"
"Neu4",1.63760591278447e-05,-0.654907964426368,0.867,0.953,0.283878984981188,"Neu4","COP","P23","Down"
"Olig2",4.98509148096416e-05,0.701610013610016,0.889,0.651,0.864165608225138,"Olig2","COP","P23","Up"
"Sh3d19",5.72005870952439e-05,-0.90016341339619,0.433,0.698,0.991572177296053,"Sh3d19","COP","P23","Down"
"Rap1gap",8.17354536385352e-05,0.486614090928856,0.989,0.965,1,"Rap1gap","COP","P23","Up"
"Col9a3",0.000104325501084878,0.642843030568052,0.956,0.849,1,"Col9a3","COP","P23","Up"
"Igsf9b",0.00011681156957315,-0.697226591725489,0.833,0.919,1,"Igsf9b","COP","P23","Down"
"Slc35e3",0.000152283627910389,-1.25107039928667,0.122,0.384,1,"Slc35e3","COP","P23","Down"
"Lypla2",0.000157388908744258,-2.18431232120388,0.067,0.279,1,"Lypla2","COP","P23","Down"
"Psma4",0.000338705601105994,1.30575626310712,0.444,0.198,1,"Psma4","COP","P23","Up"
"Lhfpl4",0.000370639262772029,-1.87989638748592,0.078,0.291,1,"Lhfpl4","COP","P23","Down"
"Ewsr1",0.000372840133273836,-1.51752442720046,0.222,0.477,1,"Ewsr1","COP","P23","Down"
"Iqsec2",0.00059728357944852,-2.03298889141993,0.067,0.256,1,"Iqsec2","COP","P23","Down"
"Rbbp7",0.000649747174605107,-1.59456833835671,0.1,0.314,1,"Rbbp7","COP","P23","Down"
"Cluap1",0.000665825485170874,-1.64895592617862,0.1,0.302,1,"Cluap1","COP","P23","Down"
"Gpam",0.00067542787017571,1.46472416375294,0.344,0.128,1,"Gpam","COP","P23","Up"
"Ddx10",0.000780920079335916,-1.22680232484085,0.189,0.43,1,"Ddx10","COP","P23","Down"
"Rbl2",0.000795923691264084,1.63716028434574,0.344,0.14,1,"Rbl2","COP","P23","Up"
"Acadsb",0.000992112989038627,-1.63411412197558,0.111,0.314,1,"Acadsb","COP","P23","Down"
"Traf6",0.0010937051259389,1.8915561697069,0.267,0.081,1,"Traf6","COP","P23","Up"
"Qki",0.00138455600345233,0.276199788735409,1,0.988,1,"Qki","COP","P23","Up"
"Nsg1",0.00233271585801023,-1.49860078225866,0.078,0.256,1,"Nsg1","COP","P23","Down"
"Col11a2",0.00246328142735908,0.43907697625516,0.978,0.93,1,"Col11a2","COP","P23","Up"
"Urm1",0.00262896822437861,-0.913042745401202,0.267,0.5,1,"Urm1","COP","P23","Down"
"Zfp664",0.00296156065068845,1.17244473127528,0.411,0.198,1,"Zfp664","COP","P23","Up"
"Adcyap1r1",0.00303729230644515,-1.10418846844138,0.322,0.512,1,"Adcyap1r1","COP","P23","Down"
"Ext1",0.00353965273606058,1.61633135658914,0.289,0.116,1,"Ext1","COP","P23","Up"
"Kmt2c",0.00358828880052478,-1.04726614107919,0.289,0.465,1,"Kmt2c","COP","P23","Down"
"Smc1a",0.0037614897606506,1.26297331773921,0.311,0.14,1,"Smc1a","COP","P23","Up"
"Dennd10",0.00379266408095715,1.35064267716326,0.278,0.105,1,"Dennd10","COP","P23","Up"
"Pnisr",0.00384744823443074,0.391157786022965,0.956,0.919,1,"Pnisr","COP","P23","Up"
"Ppm1l",0.00393312878508611,1.04639905631739,0.544,0.349,1,"Ppm1l","COP","P23","Up"
"Myrf",0.00404264645880333,-0.606651383469143,0.622,0.779,1,"Myrf","COP","P23","Down"
"Vps54",0.00412848592396277,-0.835739837723977,0.333,0.558,1,"Vps54","COP","P23","Down"
"Ctbp1",0.00425039318730371,-0.637173359292178,0.267,0.5,1,"Ctbp1","COP","P23","Down"
"Zfp809",0.00429047571732615,1.00672329252415,0.444,0.256,1,"Zfp809","COP","P23","Up"
"Atg3",0.00460555546242757,1.4009675958672,0.3,0.128,1,"Atg3","COP","P23","Up"
"Phldb1",0.00495189586278212,0.269148946664002,0.989,0.988,1,"Phldb1","COP","P23","Up"
