"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Olig2",1.81968097584205e-16,0.544655327737661,0.958,0.917,3.1544169716222e-12,"Olig2","OPC","P08","Up"
"Cd9",3.76138227072133e-12,0.789787398342388,0.769,0.598,6.52035616629543e-08,"Cd9","OPC","P08","Up"
"Col9a3",1.81413318043449e-10,0.854498534452631,0.674,0.535,3.1447998682832e-06,"Col9a3","OPC","P08","Up"
"Uty",3.99550590891900e-10,-1.02137475757231,0.223,0.421,6.92620949311108e-06,"Uty","OPC","P08","Down"
"Cntn6",1.84514375422067e-08,1.23922710248989,0.347,0.169,0.000319855669794154,"Cntn6","OPC","P08","Up"
"Fabp7",5.88594485825849e-08,-0.480677706241956,0.761,0.862,0.00102032854117911,"Fabp7","OPC","P08","Down"
"Slc27a1",7.87075397750155e-08,-0.813940660833206,0.284,0.469,0.00136439520199989,"Slc27a1","OPC","P08","Down"
"Kdm5d",8.85238478206792e-08,-0.931916436195324,0.206,0.37,0.00153456090197147,"Kdm5d","OPC","P08","Down"
"Vcan",2.35816187187011e-07,0.579664189537842,0.702,0.583,0.00408787360488684,"Vcan","OPC","P08","Up"
"Tspan7",3.04113261376253e-07,0.62225863349021,0.686,0.528,0.00527180338595734,"Tspan7","OPC","P08","Up"
"Tnr",3.85509900188126e-07,0.434641887128751,0.916,0.858,0.00668281411976116,"Tnr","OPC","P08","Up"
"Sdc3",4.94637617176056e-07,0.429968408551361,0.824,0.689,0.00857454309374693,"Sdc3","OPC","P08","Up"
"Ednrb",5.8569645239801e-07,0.46397576243399,0.846,0.78,0.0101530480023195,"Ednrb","OPC","P08","Up"
"Serpine2",1.01326287264115e-06,0.387850015783436,0.909,0.862,0.0175649118972344,"Serpine2","OPC","P08","Up"
"mt-Nd1",1.61399597425312e-06,1.00030916780497,0.394,0.24,0.0279786202136779,"mt-Nd1","OPC","P08","Up"
"Cd81",1.68361017948912e-06,0.479768356251823,0.761,0.724,0.0291853824614439,"Cd81","OPC","P08","Up"
"mt-Nd5",1.87897152680417e-06,1.3478491313916,0.272,0.134,0.0325719714171504,"mt-Nd5","OPC","P08","Up"
"Cadm4",2.16007896930542e-06,0.376892644886089,0.827,0.709,0.0374449689329095,"Cadm4","OPC","P08","Up"
"mt-Co2",4.52012568981959e-06,0.893999475050502,0.51,0.39,0.0783563788330226,"mt-Co2","OPC","P08","Up"
"C1ql1",1.23148566854602e-05,0.451589172331754,0.719,0.626,0.213478040642453,"C1ql1","OPC","P08","Up"
"mt-Atp8",2.00018906209374e-05,0.769102949363878,0.498,0.362,0.34673277391395,"mt-Atp8","OPC","P08","Up"
"mt-Co3",2.73160789234849e-05,0.813431998505836,0.451,0.311,0.473524228138611,"mt-Co3","OPC","P08","Up"
"Cst3",3.19012996129298e-05,0.608763149746995,0.54,0.421,0.553009028790139,"Cst3","OPC","P08","Up"
"Eif2s3y",3.70437441600093e-05,-0.422238537921651,0.395,0.547,0.642153305013761,"Eif2s3y","OPC","P08","Down"
"Mfge8",3.85151110747498e-05,1.18914220475524,0.309,0.197,0.667659450480788,"Mfge8","OPC","P08","Up"
"Itprid2",4.05288304123987e-05,0.703553299411157,0.421,0.295,0.702567275198932,"Itprid2","OPC","P08","Up"
"Gpr17",5.05054821707518e-05,0.291247048279294,0.965,0.972,0.875512533429983,"Gpr17","OPC","P08","Up"
"Plxnb3",7.42769424360427e-05,-0.784000207117233,0.212,0.327,1,"Plxnb3","OPC","P08","Down"
"Celsr2",0.00010491777489165,0.913170579642071,0.299,0.185,1,"Celsr2","OPC","P08","Up"
"Gm2a",0.000144659148922997,0.474107555004498,0.579,0.461,1,"Gm2a","OPC","P08","Up"
"Adam9",0.000158872557377829,0.426447337618491,0.628,0.567,1,"Adam9","OPC","P08","Up"
"Itm2c",0.000174543864029799,0.654529348104421,0.444,0.335,1,"Itm2c","OPC","P08","Up"
"Ctbp1",0.000185581416783179,-0.635699554906099,0.238,0.358,1,"Ctbp1","OPC","P08","Down"
"Ccnd2",0.000198435160834604,-0.899785259451347,0.176,0.28,1,"Ccnd2","OPC","P08","Down"
"Madd",0.000199889146365066,-0.397399717250837,0.496,0.634,1,"Madd","OPC","P08","Down"
"Adamts3",0.000255330258067969,-0.842152836603527,0.209,0.319,1,"Adamts3","OPC","P08","Down"
"mt-Atp6",0.000263911287038439,0.612138976072845,0.469,0.382,1,"mt-Atp6","OPC","P08","Up"
"Pip4p1",0.000267248468458421,-0.691496464825953,0.201,0.307,1,"Pip4p1","OPC","P08","Down"
"Lrpap1",0.000270066068776193,0.774659423227719,0.359,0.252,1,"Lrpap1","OPC","P08","Up"
"Serinc5",0.000291490194638979,0.46225024808551,0.603,0.504,1,"Serinc5","OPC","P08","Up"
"H3f3b",0.00029864115301118,0.855080494937162,0.281,0.181,1,"H3f3b","OPC","P08","Up"
"mt-Cytb",0.000310977784564464,0.941484492039267,0.382,0.283,1,"mt-Cytb","OPC","P08","Up"
"Lrrn1",0.000345341584960415,0.571611630984244,0.48,0.37,1,"Lrrn1","OPC","P08","Up"
"Tial1",0.000409426594024667,-0.272056332324466,0.845,0.882,1,"Tial1","OPC","P08","Down"
"Smdt1",0.000432105214319975,0.880521024218551,0.256,0.157,1,"Smdt1","OPC","P08","Up"
"Rtn1",0.000440244708106222,0.363132162817786,0.765,0.705,1,"Rtn1","OPC","P08","Up"
"Calr",0.000447773846542151,0.521974235973545,0.461,0.358,1,"Calr","OPC","P08","Up"
"Neu4",0.000453328699536118,0.718858535404632,0.273,0.165,1,"Neu4","OPC","P08","Up"
"Stim1",0.00046605032310941,-0.764419925696244,0.157,0.256,1,"Stim1","OPC","P08","Down"
"Cpe",0.000484371956944163,0.398371952396349,0.691,0.638,1,"Cpe","OPC","P08","Up"
"Fdps",0.000487152451084215,-0.712996786620403,0.184,0.283,1,"Fdps","OPC","P08","Down"
"Col16a1",0.000487906594295929,-0.580597158545754,0.196,0.307,1,"Col16a1","OPC","P08","Down"
"Ndrg2",0.00049115987214595,-0.62880233176671,0.164,0.268,1,"Ndrg2","OPC","P08","Down"
"Sox8",0.000510373348917129,0.388921061232097,0.684,0.579,1,"Sox8","OPC","P08","Up"
"Kdelr1",0.000547350394671536,0.738974276209307,0.331,0.232,1,"Kdelr1","OPC","P08","Up"
"Dock9",0.00115314698989619,0.361939038936702,0.649,0.575,1,"Dock9","OPC","P08","Up"
"Hspa5",0.0011933508883213,0.846312042508998,0.279,0.189,1,"Hspa5","OPC","P08","Up"
"Nr2f1",0.0011938406409095,-0.489100257870113,0.206,0.315,1,"Nr2f1","OPC","P08","Down"
"Gpm6b",0.00119725525109257,0.305234320780774,0.639,0.559,1,"Gpm6b","OPC","P08","Up"
"Gpm6a",0.00127988962380249,0.247006966931406,0.941,0.894,1,"Gpm6a","OPC","P08","Up"
"Atp1a1",0.00128791115040612,0.35348132779704,0.496,0.398,1,"Atp1a1","OPC","P08","Up"
"Kank1",0.0013377253043762,0.309007872435816,0.675,0.587,1,"Kank1","OPC","P08","Up"
"Atad3a",0.0013667739935737,-0.498120609286819,0.24,0.35,1,"Atad3a","OPC","P08","Down"
"Mroh3",0.00173744085024222,-0.556553475267186,0.202,0.295,1,"Mroh3","OPC","P08","Down"
"Zbtb9",0.00175144630845396,-0.522976241806346,0.222,0.327,1,"Zbtb9","OPC","P08","Down"
"Inpp4b",0.00175650877569904,-0.611415719397416,0.169,0.26,1,"Inpp4b","OPC","P08","Down"
"Rnf38",0.00198538994169651,0.578470023703024,0.296,0.201,1,"Rnf38","OPC","P08","Up"
"Nrbp1",0.00201949572020809,-0.564510944891632,0.191,0.287,1,"Nrbp1","OPC","P08","Down"
"Csmd3",0.00205372711023005,0.405452619156475,0.602,0.52,1,"Csmd3","OPC","P08","Up"
"Ank1",0.00215824174721289,-0.610998083775719,0.188,0.28,1,"Ank1","OPC","P08","Down"
"Gpr37l1",0.00219410502372623,0.301277937573812,0.837,0.831,1,"Gpr37l1","OPC","P08","Up"
"Atp9b",0.00220306556117243,0.425877404496503,0.469,0.37,1,"Atp9b","OPC","P08","Up"
"Mapk14",0.00258236117288817,-0.5158972494086,0.231,0.327,1,"Mapk14","OPC","P08","Down"
"Mtss2",0.00261506644423471,-0.173119675562578,0.906,0.909,1,"Mtss2","OPC","P08","Down"
"Tubgcp4",0.0027501237347076,-0.571984822114013,0.178,0.264,1,"Tubgcp4","OPC","P08","Down"
"Elfn1",0.00276781116575008,-0.450480251731646,0.221,0.315,1,"Elfn1","OPC","P08","Down"
"Wsb1",0.00294762703862071,-0.223614325984858,0.831,0.862,1,"Wsb1","OPC","P08","Down"
"Tnk2",0.00307899799898191,0.397617946109268,0.617,0.559,1,"Tnk2","OPC","P08","Up"
"Ewsr1",0.00321679561761793,-0.460999664010299,0.294,0.39,1,"Ewsr1","OPC","P08","Down"
"Cttn",0.00329241827580199,-0.480522733771785,0.241,0.343,1,"Cttn","OPC","P08","Down"
"Reep3",0.00331016338225028,0.616985574376056,0.297,0.205,1,"Reep3","OPC","P08","Up"
"Slc6a1",0.00344389265981087,0.29202245872964,0.795,0.764,1,"Slc6a1","OPC","P08","Up"
"Tmem59",0.00346477730359582,0.39047901095564,0.437,0.35,1,"Tmem59","OPC","P08","Up"
"Eya1",0.00351615958143693,-0.389416046841016,0.367,0.472,1,"Eya1","OPC","P08","Down"
"Grik1",0.00373965264745804,-0.469936363814222,0.255,0.346,1,"Grik1","OPC","P08","Down"
"Fis1",0.00379664001680018,-0.660524378153268,0.168,0.252,1,"Fis1","OPC","P08","Down"
"Smg5",0.00392824551840571,0.675589242353024,0.25,0.173,1,"Smg5","OPC","P08","Up"
"Wapl",0.00399166599683938,0.461137360915278,0.288,0.201,1,"Wapl","OPC","P08","Up"
"Lrrc45",0.00414915118103328,-0.448649637354611,0.243,0.335,1,"Lrrc45","OPC","P08","Down"
"Ercc6",0.00416784913361509,-0.539046534225238,0.243,0.331,1,"Ercc6","OPC","P08","Down"
"Pigt",0.00419583657754921,0.495917313991105,0.385,0.291,1,"Pigt","OPC","P08","Up"
"Arl2bp",0.00436705833935986,0.616566022742881,0.34,0.268,1,"Arl2bp","OPC","P08","Up"
"Tuba1a",0.00456286865965698,-0.313044616405825,0.681,0.776,1,"Tuba1a","OPC","P08","Down"
"Pfkm",0.00460570785294755,-0.53424072271553,0.196,0.276,1,"Pfkm","OPC","P08","Down"
"Gatad2b",0.00462529453471427,0.425820888599203,0.403,0.315,1,"Gatad2b","OPC","P08","Up"
"Tsc2",0.00472895075947334,-0.490852510960044,0.304,0.398,1,"Tsc2","OPC","P08","Down"
"Scarb2",0.00479186868534893,0.56639527953911,0.347,0.268,1,"Scarb2","OPC","P08","Up"
"Ebna1bp2",0.00479445771192074,-0.499789501808083,0.221,0.311,1,"Ebna1bp2","OPC","P08","Down"
"Srsf6",0.00489641935892709,-0.196089832970734,0.906,0.949,1,"Srsf6","OPC","P08","Down"
"Syt11",0.00503438463025061,0.266243754498277,0.752,0.728,1,"Syt11","OPC","P08","Up"
"Arvcf",0.00505202628758434,-0.500951608297481,0.301,0.402,1,"Arvcf","OPC","P08","Down"
"Ccdc85a",0.00506077537500426,-0.529293573852207,0.223,0.311,1,"Ccdc85a","OPC","P08","Down"
"Smpd2",0.0053199285383847,-0.463276089828942,0.173,0.256,1,"Smpd2","OPC","P08","Down"
"Ppp1r14c",0.005333785344128,0.489753916540255,0.469,0.398,1,"Ppp1r14c","OPC","P08","Up"
"Trappc9",0.00558312355619485,-0.444340668054871,0.205,0.299,1,"Trappc9","OPC","P08","Down"
