"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Cldn11",2.86357071342745e-08,-0.308831652010886,0.972,0.985,0.000496399983172648,"Cldn11","Mature_OL","P56","Down"
"Scd2",1.08517538013365e-06,-0.298262126433696,0.905,0.952,0.0188115152146169,"Scd2","Mature_OL","P56","Down"
"Trf",4.64566899093226e-06,-0.225189418109359,0.992,0.996,0.0805326719578107,"Trf","Mature_OL","P56","Down"
"Tecr",1.026861709209e-05,-0.389592837075027,0.614,0.754,0.17800647729138,"Tecr","Mature_OL","P56","Down"
"Rsrp1",1.36604766182686e-05,-0.405173436793657,0.74,0.833,0.236804362177686,"Rsrp1","Mature_OL","P56","Down"
"Tmem50a",7.162585278662e-05,-0.796292092601707,0.152,0.268,1,"Tmem50a","Mature_OL","P56","Down"
"Cdh19",9.85279469879384e-05,0.48367132488232,0.571,0.458,1,"Cdh19","Mature_OL","P56","Up"
"Msmo1",0.000136974717333743,-0.493785891480453,0.293,0.417,1,"Msmo1","Mature_OL","P56","Down"
"Tmod1",0.000230069710037505,0.632357829577608,0.537,0.447,1,"Tmod1","Mature_OL","P56","Up"
"Ptgds",0.000300625131571708,-0.439762255771568,0.653,0.721,1,"Ptgds","Mature_OL","P56","Down"
"Enpp6",0.00035720140464714,0.388990847294279,0.491,0.362,1,"Enpp6","Mature_OL","P56","Up"
"Itm2c",0.000446654355408331,-0.457375221368321,0.355,0.476,1,"Itm2c","Mature_OL","P56","Down"
"Adgrb1",0.000466777337915597,-0.513001830118264,0.29,0.408,1,"Adgrb1","Mature_OL","P56","Down"
"Ccnl2",0.000487594580496274,-0.353801918043251,0.548,0.656,1,"Ccnl2","Mature_OL","P56","Down"
"Pgbd5",0.000544354702016198,0.913705920838249,0.285,0.193,1,"Pgbd5","Mature_OL","P56","Up"
"Anln",0.000544495272381701,0.489782310068678,0.481,0.379,1,"Anln","Mature_OL","P56","Up"
"Daam2",0.000585720063176712,0.366122319909509,0.751,0.693,1,"Daam2","Mature_OL","P56","Up"
"Septin8",0.000699788004189618,0.310153898175775,0.812,0.706,1,"Septin8","Mature_OL","P56","Up"
"Acsl3",0.000923279028621514,-0.592827749207577,0.357,0.461,1,"Acsl3","Mature_OL","P56","Down"
"Emc10",0.000945013124831226,-0.403169671607938,0.306,0.428,1,"Emc10","Mature_OL","P56","Down"
"Acaca",0.000964621807467873,-0.46331640275187,0.321,0.439,1,"Acaca","Mature_OL","P56","Down"
"Zfp536",0.00108302452489703,-0.270216200911281,0.576,0.695,1,"Zfp536","Mature_OL","P56","Down"
"Kcna2",0.00118659585403825,0.841891675165479,0.265,0.184,1,"Kcna2","Mature_OL","P56","Up"
"Bcas1",0.0014473479184337,0.4346556383657,0.699,0.654,1,"Bcas1","Mature_OL","P56","Up"
"Chn2",0.00153473626073358,0.428227508050165,0.571,0.498,1,"Chn2","Mature_OL","P56","Up"
"Dmpk",0.00154117918197484,-0.548454889185653,0.373,0.48,1,"Dmpk","Mature_OL","P56","Down"
"Cyp51",0.00164181623846542,-0.507949465423538,0.254,0.355,1,"Cyp51","Mature_OL","P56","Down"
"Sec14l5",0.00186424811583867,0.205715680827463,0.913,0.906,1,"Sec14l5","Mature_OL","P56","Up"
"Puf60",0.00199752535368867,0.562164852534316,0.347,0.265,1,"Puf60","Mature_OL","P56","Up"
"mt-Atp8",0.00210276075478763,0.725971683045377,0.347,0.263,1,"mt-Atp8","Mature_OL","P56","Up"
"Ptbp2",0.00210986268379085,0.488384786266673,0.473,0.397,1,"Ptbp2","Mature_OL","P56","Up"
"Mllt6",0.00212496172725577,-0.444013324746914,0.244,0.351,1,"Mllt6","Mature_OL","P56","Down"
"Ints13",0.002130156702695,0.573803191799874,0.303,0.217,1,"Ints13","Mature_OL","P56","Up"
"Mfn1",0.00215528173569075,-0.489432555308818,0.386,0.487,1,"Mfn1","Mature_OL","P56","Down"
"Daam1",0.0024256515828166,0.290112809956181,0.812,0.75,1,"Daam1","Mature_OL","P56","Up"
"Ncapd3",0.00248028274220279,-0.487136633662689,0.19,0.287,1,"Ncapd3","Mature_OL","P56","Down"
"Ring1",0.00255786389342279,-0.593040003505103,0.208,0.307,1,"Ring1","Mature_OL","P56","Down"
"Laptm4b",0.00294853891488288,-0.526914951734256,0.208,0.307,1,"Laptm4b","Mature_OL","P56","Down"
"Zbtb16",0.00309912017951369,0.517319799141383,0.573,0.518,1,"Zbtb16","Mature_OL","P56","Up"
"Tyro3",0.00391699862659611,0.225477748766127,0.776,0.732,1,"Tyro3","Mature_OL","P56","Up"
"Phldb1",0.00419630271607624,-0.160951610888183,0.972,0.987,1,"Phldb1","Mature_OL","P56","Down"
"Apoe",0.00448218960115562,-0.431382604877161,0.429,0.522,1,"Apoe","Mature_OL","P56","Down"
"Sh3gl3",0.0052555300356211,0.665826391368446,0.332,0.259,1,"Sh3gl3","Mature_OL","P56","Up"
"Anapc2",0.00530266800635158,0.469102209983761,0.368,0.289,1,"Anapc2","Mature_OL","P56","Up"
"Elovl5",0.00551441472719619,-0.348528554922444,0.329,0.428,1,"Elovl5","Mature_OL","P56","Down"
"Atp6v0a1",0.00557044027875575,-0.426095879013546,0.27,0.364,1,"Atp6v0a1","Mature_OL","P56","Down"
"Nap1l5",0.00559303326097392,-0.554417305053381,0.183,0.263,1,"Nap1l5","Mature_OL","P56","Down"
"Plxnb1",0.00571873857496999,-0.32999472338067,0.337,0.436,1,"Plxnb1","Mature_OL","P56","Down"
"Stk16",0.00607907533603106,0.481373065058608,0.298,0.221,1,"Stk16","Mature_OL","P56","Up"
"Cadm4",0.00612973900663555,-0.275433478320438,0.512,0.596,1,"Cadm4","Mature_OL","P56","Down"
"mt-Co1",0.00622932730888489,0.669856544047587,0.301,0.226,1,"mt-Co1","Mature_OL","P56","Up"
"Cpd",0.00638093854115849,-0.321886829288134,0.522,0.614,1,"Cpd","Mature_OL","P56","Down"
"Aplp1",0.00640249959516164,-0.140336950579322,0.992,0.989,1,"Aplp1","Mature_OL","P56","Down"
"Gdi1",0.00655370453006255,0.285717269190569,0.717,0.662,1,"Gdi1","Mature_OL","P56","Up"
"Insig1",0.00671159163356242,-0.556893811936644,0.344,0.428,1,"Insig1","Mature_OL","P56","Down"
"Gpm6b",0.00699421909881832,-0.204470564505248,0.817,0.871,1,"Gpm6b","Mature_OL","P56","Down"
"Sytl2",0.00707057513796916,0.303756548973594,0.686,0.616,1,"Sytl2","Mature_OL","P56","Up"
"Plp1",0.00732400520143554,-0.0994777728820297,1,1,1,"Plp1","Mature_OL","P56","Down"
"Eef1akmt2",0.00749416749423656,0.621013115372623,0.254,0.184,1,"Eef1akmt2","Mature_OL","P56","Up"
"Pls1",0.00755662412067023,0.522265811261257,0.303,0.228,1,"Pls1","Mature_OL","P56","Up"
"Srsf7",0.00801042786730644,-0.341840337465093,0.396,0.482,1,"Srsf7","Mature_OL","P56","Down"
"Vps16",0.00807492330933415,-0.538948903276124,0.172,0.25,1,"Vps16","Mature_OL","P56","Down"
