"","MouseID","TotalCells","nCount_mean","nFeature_RNA_mean","percent_mt_rna_mean","nCount_median","nFeature_RNA_median","percent_mt_rna_median","nCount_min","nCount_max","nFeature_RNA_min","nFeature_RNA_max","percent_mt_rna_min","percent_mt_rna_max"
"1","SOM333",6848,12202.1666179907,4318.29672897196,0.521503384757043,7582,4064.5,0.132330691830799,506,267473,359,12575,0,21.6845878136201
"2","SOM318",7471,9232.49109891581,4073.39124615179,0.228499588296531,7724,4121,0.133868808567604,504,302903,356,12786,0,20.1941747572816
"3","SOM303",5914,15184.8975312817,4759.10094690565,0.258791271460394,9034,4478,0.140246669380235,497,439660,391,13153,0,14.5310435931308
"4","SOM301",7573,10951.4073682821,4163.24891060346,0.419831018472347,7491,4037,0.130967972377664,500,365152,386,13136,0,17.7235772357724
"5","SOM326",5987,12322.9518957742,4392.74427927176,0.625422629169299,7793,4128,0.138248847926267,505,246583,432,12252,0,20.5157268347974
"6","SOM325",6402,7291.04029990628,3534.63776944705,1.14197131864218,6541,3691,0.065551099938949,503,135920,362,11237,0,27.2609819121447
"7","SOM323",6010,17458.4116472546,5015.57204658902,0.285652432852143,9411,4614,0.0723652709972906,501,408280,413,12949,0,18.2716049382716
"8","SOM322",6124,13238.8187459177,4508.10156760287,0.525117591995671,8162.5,4245,0.111596714106716,515,434060,411,13058,0,20.5203730976927
"9","SOM329",9353,10039.3936704801,4142.44221105528,0.265102643262085,7055,3917,0.169491525423729,510,196461,459,11658,0,5.77255444175596
"10","SOM328",11366,11966.2909554813,4629.19901460496,0.263647195899779,8767.5,4459,0.181575026068088,499,174760,435,11934,0,19.4616977225673
"11","SOM327",7392,12769.6554383117,4712.41517857143,0.155187392495019,8834,4495.5,0.0868910835835909,513,287709,455,12419,0,6.6628809388605
"12","SOM302",5912,11212.2011163735,4474.66864005413,0.259287628046684,8526.5,4336.5,0.0921658986175115,499,124674,407,11662,0,18.2259182259182
"13","SOM378",4589,14683.718893005,4389.06384833297,0.0824961141460296,7474,3891,0.0459664444955183,499,608904,395,12983,0,2.59938837920489
"14","SOM377",3513,12278.9479077711,3744.05550811272,0.143263720020303,4864,2991,0.0799776062702443,511,359082,316,12349,0,3.26840109818277
"15","SOM376",4063,13297.7519074575,3977.02658134383,0.161761166988361,5915,3380,0.0998567273043025,500,620792,438,12663,0,3.10421286031042
"16","P07",4298,17065.9004187994,4949.88040949279,0.151201815943433,9920,4673,0.101194456286844,511,433714,428,13184,0,4.73848904783192
